1 SLAC E142
2 SLAC E154
3 Zheng
4 Kramer
5 Flay
6 Solvignon
7 E97110
8 E94010


Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
1.1000,0.0350,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.2480,0.1682,-9.3140,10.9320,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
1.2000,0.0500,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1680,0.0769,2.1060,4.5028,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
1.8000,0.0820,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1460,0.0429,-0.6480,1.8650,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
2.5000,0.1240,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1410,0.0325,-0.2560,1.0274,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
3.1000,0.1750,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1050,0.0269,-0.7640,0.7007,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
3.7000,0.2460,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0510,0.0175,-0.0880,0.3692,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
4.4000,0.3430,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0,0.0175,0.1400,0.2587,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
5.5000,0.4660,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0070,0.0141,-0.1880,0.1738,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,1
5.0000,0.0170,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.4470,0.1890,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.0240,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.4340,0.1029,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.0350,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.3170,0.0731,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.0490,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.2170,0.0434,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.0810,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1380,0.0230,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.1230,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.1060,0.0150,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.1730,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0660,0.0139,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.2420,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0490,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.3420,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0250,0.0117,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.4410,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0140,0.0122,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
5.0000,0.5640,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0,0.0100,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,2
2.7090,0.3270,2.5420,35.0000,5.7340,-1000.0000,-0.0240,0.0057,0.0111,0.0389,-0.0223,0.0053,0.0103,0.0362,-1000.0000,-1000.0000,-1000.0000,-1000.0000,3
3.5160,0.4660,2.2150,35.0000,5.7340,-1000.0000,-0.0040,0.0040,0.0263,0.0119,-0.0077,0.0075,0.0497,0.0224,-1000.0000,-1000.0000,-1000.0000,-1000.0000,3
4.8330,0.6010,2.0220,45.0000,5.7340,-1000.0000,0.0007,0.0019,-0.0062,0.0086,0.0031,0.0085,-0.0276,0.0384,-1000.0000,-1000.0000,-1000.0000,-1000.0000,3
0.5700,0.1600,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0754,0.0083,0.0650,0.0136,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,4
0.7800,0.1800,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0684,0.0101,0.0720,0.0163,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,4
0.9400,0.1900,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0643,0.0072,0.0706,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,4
1.1300,0.1900,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0612,0.0075,0.0457,0.0108,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,4
1.3400,0.2000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0560,0.0074,0.0422,0.0104,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,4
2.0380,0.2770,2.4899,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0090,0.0165,-0.0060,0.0345,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
2.3470,0.3250,2.3989,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0100,0.0091,-0.0010,0.0173,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
2.6390,0.3740,2.3016,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0010,0.0071,-0.0370,0.0126,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
2.9150,0.4240,2.2001,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0260,0.0073,0.0020,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.1760,0.4730,2.1021,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0230,0.0082,-0.0050,0.0110,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.4250,0.5230,2.0010,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0,0.0091,-0.0150,0.0122,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.6620,0.5740,1.8969,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0020,0.0112,-0.0200,0.0133,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.8860,0.6230,1.7978,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0310,0.0132,0.0,0.0141,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.0990,0.6730,1.6947,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0230,0.0161,-0.0170,0.0163,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.3070,0.7230,1.5907,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0260,0.0202,-0.0360,0.0191,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.5040,0.7730,1.4843,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0230,0.0260,-0.0390,0.0224,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.6940,0.8230,1.3747,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0320,0.0326,0.0180,0.0275,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.8760,0.8740,1.2583,45.0000,4740.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0350,0.0420,-0.0710,0.0334,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
2.6260,0.2770,2.7811,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0240,0.0286,0.0440,0.0447,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.0320,0.3250,2.6791,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0160,0.0122,0.0260,0.0173,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.4210,0.3740,2.5703,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0060,0.0091,-0.0010,0.0120,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.8020,0.4240,2.4587,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0220,0.0092,-0.0050,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.1690,0.4740,2.3466,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0210,0.0104,0.0070,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.5140,0.5240,2.2318,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0020,0.0120,0.0,0.0122,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.8480,0.5730,2.1197,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0040,0.0151,0.0060,0.0132,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.1760,0.6240,1.9998,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0030,0.0182,-0.0110,0.0150,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.4860,0.6740,1.8798,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0040,0.0221,-0.0030,0.0171,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.7770,0.7230,1.7589,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0010,0.0282,-0.0100,0.0212,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.0590,0.7730,1.6308,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0080,0.0352,0.0070,0.0252,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.3250,0.8230,1.4969,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0090,0.0488,-0.0950,0.0324,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.5850,0.8730,1.3558,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0110,0.0646,-0.0200,0.0416,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
1.2000,0.7820,1.1030,-1000.0000,-1000.0000,-1000.0000,-0.0026,0.0019,-0.0013,0.0012,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.6799,1.2030,-1000.0000,-1000.0000,-1000.0000,-0.0094,0.0025,0.0038,0.0020,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.5954,1.3030,-1000.0000,-1000.0000,-1000.0000,-0.0134,0.0038,0.0110,0.0039,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.5249,1.4030,-1000.0000,-1000.0000,-1000.0000,-0.0114,0.0044,0.0095,0.0055,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.4657,1.5030,-1000.0000,-1000.0000,-1000.0000,-0.0047,0.0058,0.0114,0.0097,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.4156,1.6030,-1000.0000,-1000.0000,-1000.0000,0.0007,0.0077,0.0146,0.0176,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.3729,1.7030,-1000.0000,-1000.0000,-1000.0000,-0.0032,0.0101,0.0041,0.0271,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.3363,1.8030,-1000.0000,-1000.0000,-1000.0000,-0.0050,0.0126,-0.0379,0.0380,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.8500,1.1030,-1000.0000,-1000.0000,-1000.0000,0.0001,0.0020,-0.0040,0.0022,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
