x,Q2,A1p,dA1p(stat),dA1p(sys),G1p,dG1p(stat),dG1p(sys),F1p,G1n,dG1n(stat),dG1n(sys),F1n,A1n,F1d,G1d,dG1d(stat),dG1d(sys),A1d,dA1d(stat),dA1d(sys)
0.0046,1.23,0.017,0.012,0.005,0.43,0.31,0.13,30.0839,-0.6595,0.4416,0.2419,22.8933,-0.0288,46.3956,-0.2505,0.3433,0.2227,-0.0054,0.0074,0.0048
0.0055,1.39,0.02,0.012,0.005,0.44,0.26,0.11,25.0915,-0.4264,0.3693,0.2234,24.3547,-0.0175,49.356,0.0148,0.2863,0.2122,0.0003,0.0058,0.0043
0.007,1.61,0.0244,0.0093,0.0041,0.43,0.16,0.08,18.2997,-0.4662,0.2115,0.1102,17.702,-0.0263,35.9392,-0.0395,0.1509,0.0827,-0.0011,0.0042,0.0023
0.009,1.91,0.019,0.01,0.006,0.27,0.15,0.09,14.8387,-0.5019,0.1989,0.1222,14.3055,-0.0351,29.0958,-0.2531,0.1426,0.0902,-0.0087,0.0049,0.0031
0.0154,3.03,0.0719,0.0091,0.006,0.642,0.081,0.061,8.6857,-0.6631,0.1017,0.0765,9.5048,-0.0698,19.4355,-0.0231,0.0672,0.0504,-0.0012,0.0035,0.0026
0.0244,4.11,0.0788,0.0097,0.0065,0.514,0.063,0.048,6.5441,-0.4269,0.0841,0.0622,6.1529,-0.0694,12.681,0.0951,0.0609,0.0431,0.0075,0.0048,0.0034
0.0346,5.6,0.088,0.013,0.01,0.424,0.063,0.054,4.692,-0.3456,0.0822,0.0642,4.3329,-0.0798,9.0149,0.0856,0.0577,0.0379,0.0095,0.0064,0.0042
0.0488,7.64,0.114,0.013,0.009,0.401,0.044,0.036,3.4654,-0.3051,0.0582,0.0448,3.1291,-0.0975,6.5878,0.1047,0.0415,0.029,0.0159,0.0063,0.0044
0.0767,11.7,0.166,0.014,0.013,0.376,0.031,0.033,2.2659,-0.1723,0.0413,0.0433,1.9584,-0.088,4.2198,0.2224,0.0295,0.0304,0.0527,0.007,0.0072
0.1215,18.0,0.264,0.019,0.019,0.372,0.027,0.029,1.417,-0.1473,0.0361,0.0391,1.1571,-0.1273,2.5827,0.2454,0.0258,0.0284,0.095,0.01,0.011
0.1715,24.8,0.318,0.027,0.024,0.298,0.025,0.024,0.953,-0.1121,0.0341,0.0345,0.7227,-0.1551,1.6773,0.2029,0.0252,0.0268,0.121,0.015,0.016
0.2225,31.3,0.337,0.036,0.03,0.224,0.024,0.021,0.6706,-0.0566,0.0334,0.0298,0.473,-0.1196,1.1423,0.1828,0.0251,0.0228,0.16,0.022,0.02
0.291,39.5,0.389,0.037,0.029,0.166,0.016,0.013,0.4286,-0.0432,0.0219,0.0194,0.2747,-0.1573,0.7007,0.1341,0.0162,0.0155,0.1913,0.0232,0.0222
0.406,52.0,0.484,0.055,0.051,0.095,0.011,0.01,0.1986,-0.0057,0.0152,0.0143,0.1087,-0.0522,0.3054,0.0975,0.0114,0.0111,0.3193,0.0373,0.0363
0.5685,67.4,0.73,0.11,0.09,0.0396,0.0058,0.0053,0.0534,-0.0038,0.0083,0.0081,0.0243,-0.1548,0.0785,0.0391,0.0065,0.0067,0.4985,0.0828,0.0848
