x,Q2,A1p,dA1p(stat),dA1p(sys),G1p,dG1p(stat),dG1p(sys),F1p,G1n,dG1n(stat),dG1n(sys),F1n,A1n,A1d,dA1d(stat),dA1d(sys),F1d,G1d,dG1d(stat),dG1d(sys)
0.0046,1.23,0.017,0.012,0.005,0.43,0.31,0.13,0.2263,-0.431,0.31,0.1645,0.1726,-2.497,-0.0054,0.0074,0.0048,0.1995,-0.0011,0.0015,0.11
0.0055,1.39,0.02,0.012,0.005,0.44,0.26,0.11,0.2219,-0.4399,0.26,0.1375,0.17,-2.5886,0.0003,0.0058,0.0043,0.1959,0.0001,0.0011,0.09
0.007,1.61,0.0244,0.0093,0.0041,0.43,0.16,0.08,0.2167,-0.4302,0.16,0.088,0.1676,-2.5672,-0.0011,0.0042,0.0023,0.1922,-0.0002,0.0008,0.04
0.009,1.91,0.019,0.01,0.006,0.27,0.15,0.09,0.2127,-0.2715,0.15,0.0965,0.1661,-1.6345,-0.0087,0.0049,0.0031,0.1894,-0.0016,0.0009,0.038
0.0154,3.03,0.0719,0.0091,0.006,0.642,0.081,0.061,0.2197,-0.6422,0.081,0.0634,0.1814,-3.541,-0.0011,0.0032,0.0024,0.2016,-0.0002,0.0006,0.019
0.0244,4.11,0.0788,0.0097,0.0065,0.514,0.063,0.048,0.2311,-0.5125,0.063,0.0508,0.2025,-2.5313,0.0075,0.0048,0.0034,0.2168,0.0016,0.001,0.018
0.0346,5.6,0.088,0.013,0.01,0.424,0.063,0.054,0.235,-0.422,0.063,0.0565,0.2171,-1.9443,0.0095,0.0064,0.0042,0.2261,0.0021,0.0014,0.018
0.0488,7.64,0.114,0.013,0.009,0.401,0.044,0.036,0.234,-0.3977,0.044,0.0382,0.2245,-1.7716,0.0159,0.0063,0.0044,0.2292,0.0036,0.0014,0.014
0.0767,11.7,0.166,0.014,0.013,0.376,0.031,0.033,0.2253,-0.3652,0.031,0.0357,0.2213,-1.6503,0.0527,0.007,0.0072,0.2233,0.0118,0.0016,0.015
0.1215,18.0,0.264,0.019,0.019,0.372,0.027,0.029,0.207,-0.3542,0.0271,0.0317,0.2015,-1.7581,0.095,0.01,0.011,0.2043,0.0194,0.002,0.014
0.1715,24.8,0.318,0.027,0.024,0.298,0.025,0.024,0.1853,-0.2773,0.0251,0.0272,0.1834,-1.5118,0.121,0.015,0.016,0.1864,0.0226,0.0028,0.014
0.2225,31.3,0.337,0.036,0.03,0.224,0.024,0.021,0.1626,-0.2004,0.0242,0.0228,0.1591,-1.2594,0.16,0.022,0.02,0.1609,0.0257,0.0035,0.0096
0.291,39.5,0.389,0.037,0.029,0.166,0.016,0.013,0.1308,-0.1433,0.0162,0.0154,0.1304,-1.0988,0.19,0.023,0.022,0.1306,0.0248,0.003,0.009
0.406,52.0,0.484,0.055,0.051,0.095,0.011,0.01,0.0812,-0.071,0.0114,0.0117,0.0843,-0.8421,0.317,0.037,0.036,0.0827,0.0262,0.0031,0.0067
0.5685,67.4,0.73,0.11,0.09,0.0396,0.0058,0.0053,0.0247,-0.0277,0.0061,0.0067,0.0277,-0.9998,0.494,0.082,0.084,0.0262,0.0129,0.0021,0.0045
