x,Q2,G1p,dG1p(stat),dG1p(sys),F1p,A1p,dA1p(stat),dA1p(sys),G1d,dG1d(stat),dG1d(sys),F1d,A1d,dA1d(stat),dA1d(sys),G1n,dG1n(stat),dG1n(sys),F1n,dF1n(tot),g1/F1n,dg1/F1n(stat),dg1/F1n(sys)
0.0046,1.23,0.4767,0.3366,0.1404,28.0397,0.017,0.012,0.005,-0.2988,-0.4095,-0.2656,55.3319,-0.0054,-0.0074,-0.0048,-0.7504,0.504,0.281,27.2922,0.4861,-0.0275,-0.0185,0.0103
0.0055,1.39,0.505,0.3031,0.1265,25.2477,0.02,0.012,0.005,0.0149,0.289,0.2142,49.8228,0.0003,0.0058,0.0043,-0.4913,0.4024,0.2335,24.5751,0.4099,-0.02,-0.0164,0.0095
0.007,1.61,0.5132,0.1957,0.0865,21.0328,0.0244,0.0093,0.0041,-0.0457,-0.1743,-0.0955,41.5086,-0.0011,-0.0042,-0.0023,-0.555,0.2526,0.123,20.4758,0.3084,-0.0271,-0.0123,0.006
0.009,1.91,0.3435,0.1808,0.1085,18.0774,0.019,0.01,0.006,-0.3105,-0.1749,-0.1107,35.691,-0.0087,-0.0049,-0.0031,-0.6279,0.2416,0.1486,17.6136,0.2186,-0.0356,-0.0137,0.0084
0.0154,3.03,0.8551,0.1084,0.0716,11.8935,0.0719,0.0091,0.006,-0.0312,-0.0908,-0.0681,28.3655,-0.0011,-0.0032,-0.0024,-0.8837,0.1366,0.095,13.1146,0.1233,-0.0674,-0.0104,0.0072
0.0244,4.11,0.6941,0.0855,0.0574,8.8081,0.0788,0.0097,0.0065,0.1295,0.0829,0.0587,17.2614,0.0075,0.0048,0.0034,-0.5755,0.1144,0.0787,8.4533,0.0797,-0.0681,-0.0135,0.0093
0.0346,5.6,0.5604,0.0828,0.0637,6.3685,0.088,0.013,0.01,0.1175,0.0792,0.052,12.3728,0.0095,0.0064,0.0042,-0.4528,0.1101,0.0796,6.0043,0.0552,-0.0754,-0.0184,0.0133
0.0488,7.64,0.5415,0.0618,0.0428,4.7496,0.114,0.013,0.009,0.1453,0.0576,0.0402,9.1398,0.0159,0.0063,0.0044,-0.4083,0.0813,0.0565,4.3902,0.0364,-0.093,-0.0185,0.0129
0.0767,11.7,0.497,0.042,0.039,2.9941,0.166,0.014,0.013,0.2985,0.0397,0.0408,5.6636,0.0527,0.007,0.0072,-0.2236,0.0557,0.0542,2.6695,0.0175,-0.0838,-0.0209,0.0203
0.1215,18.0,0.4412,0.0318,0.0318,1.6711,0.264,0.019,0.019,0.2904,0.0306,0.0337,3.057,0.095,0.01,0.011,-0.1751,0.0426,0.0445,1.386,0.0095,-0.1264,-0.0308,0.0321
0.1715,24.8,0.3274,0.0278,0.0248,1.0296,0.318,0.027,0.024,0.2394,0.0297,0.0317,1.9782,0.121,0.015,0.016,-0.1081,0.0391,0.0383,0.8592,0.0065,-0.1259,-0.0455,0.0446
0.2225,31.3,0.2388,0.0255,0.0213,0.7086,0.337,0.036,0.03,0.1926,0.0265,0.0241,1.2039,0.16,0.022,0.02,-0.0624,0.0353,0.0308,0.4953,0.0033,-0.1259,-0.0713,0.0621
0.291,39.5,0.1751,0.0167,0.0131,0.4502,0.389,0.037,0.029,0.1407,0.017,0.0163,0.7404,0.19,0.023,0.022,-0.0463,0.0229,0.0199,0.2902,0.0016,-0.1595,-0.079,0.0687
0.406,52.0,0.1013,0.0115,0.0107,0.2092,0.484,0.055,0.051,0.104,0.0121,0.0118,0.3279,0.317,0.037,0.036,-0.006,0.0161,0.0153,0.1187,0.0008,-0.0508,-0.1354,0.1287
0.5685,67.4,0.0333,0.005,0.0041,0.0456,0.73,0.11,0.09,0.0323,0.0054,0.0055,0.0654,0.494,0.082,0.084,-0.0037,0.007,0.0065,0.0198,0.0003,-0.1876,-0.3561,0.3295
