x,Q2,G1p,dG1p(stat),dG1p(sys),F1p,A1p,dA1p(stat),dA1p(sys),G1d,dG1d(stat),dG1d(sys),F1d,A1d,dA1d(stat),dA1d(sys),G1n,dG1n(stat),dG1n(sys),F1n,A1n,dA1n(stat),dA1n(sys)
0.0046,1.23,0.5114,0.361,0.1504,30.0839,0.017,0.012,0.005,-0.2505,0.3433,0.2227,46.3956,-0.0054,0.0074,0.0048,-0.7409,0.4788,0.2535,22.8933,-0.0324,0.0209,0.0111
0.0055,1.39,0.5018,0.3011,0.1255,25.0915,0.02,0.012,0.005,0.0148,0.2863,0.2122,49.356,0.0003,0.0058,0.0043,-0.4883,0.3993,0.2314,24.3547,-0.02,0.0164,0.0095
0.007,1.61,0.4465,0.1702,0.075,18.2997,0.0244,0.0093,0.0041,-0.0395,0.1509,0.0827,35.9392,-0.0011,0.0042,0.0023,-0.4827,0.2193,0.1066,17.702,-0.0273,0.0124,0.006
0.009,1.91,0.2819,0.1484,0.089,14.8387,0.019,0.01,0.006,-0.2531,0.1426,0.0902,29.0958,-0.0087,0.0049,0.0031,-0.5138,0.1977,0.1215,14.3055,-0.0359,0.0138,0.0085
0.0154,3.03,0.6245,0.079,0.0521,8.6857,0.0719,0.0091,0.006,-0.0231,0.0672,0.0504,20.9852,-0.0011,0.0032,0.0024,-0.6456,0.1002,0.0696,9.5048,-0.0679,0.0105,0.0073
0.0244,4.11,0.5157,0.0635,0.0425,6.5441,0.0788,0.0097,0.0065,0.0951,0.0609,0.0431,12.681,0.0075,0.0048,0.0034,-0.4286,0.0845,0.0581,6.1529,-0.0697,0.0137,0.0094
0.0346,5.6,0.4129,0.061,0.0469,4.692,0.088,0.013,0.01,0.0856,0.0577,0.0379,9.0149,0.0095,0.0064,0.0042,-0.3345,0.0807,0.0584,4.3329,-0.0772,0.0186,0.0135
0.0488,7.64,0.3951,0.0451,0.0312,3.4654,0.114,0.013,0.009,0.1047,0.0415,0.029,6.5878,0.0159,0.0063,0.0044,-0.2991,0.059,0.041,3.1291,-0.0956,0.0188,0.0131
0.0767,11.7,0.3761,0.0317,0.0295,2.2659,0.166,0.014,0.013,0.2224,0.0295,0.0304,4.2198,0.0527,0.007,0.0072,-0.1724,0.0418,0.0407,1.9584,-0.0881,0.0214,0.0208
0.1215,18.0,0.3741,0.0269,0.0269,1.417,0.264,0.019,0.019,0.2454,0.0258,0.0284,2.5827,0.095,0.01,0.011,-0.1493,0.036,0.0376,1.1571,-0.1291,0.0311,0.0325
0.1715,24.8,0.3031,0.0257,0.0229,0.953,0.318,0.027,0.024,0.2029,0.0252,0.0268,1.6773,0.121,0.015,0.016,-0.1171,0.0347,0.0337,0.7227,-0.1621,0.048,0.0467
0.2225,31.3,0.226,0.0241,0.0201,0.6706,0.337,0.036,0.03,0.1828,0.0251,0.0228,1.1423,0.16,0.022,0.02,-0.0586,0.0335,0.0292,0.473,-0.1238,0.0708,0.0616
0.291,39.5,0.1667,0.0159,0.0124,0.4286,0.389,0.037,0.029,0.1341,0.0162,0.0155,0.7055,0.19,0.023,0.022,-0.0439,0.0218,0.019,0.2747,-0.1599,0.0795,0.0691
0.406,52.0,0.0961,0.0109,0.0101,0.1986,0.484,0.055,0.051,0.0975,0.0114,0.0111,0.3076,0.317,0.037,0.036,-0.0068,0.0152,0.0144,0.1087,-0.0626,0.1396,0.1326
0.5685,67.4,0.039,0.0059,0.0048,0.0534,0.73,0.11,0.09,0.0391,0.0065,0.0067,0.0792,0.494,0.082,0.084,-0.0032,0.0084,0.0078,0.0243,-0.1306,0.3451,0.3205
