Q2,X,A1,A1.err,a1.err,G1,G1.err,g1.err
1.10,0.0046,-0.0054,0.0074,0.0048,-0.13,0.17,0.11
1.22,0.0055,0.0003,0.0058,0.0043,0.00,0.12,0.09
1.39,0.0070,-0.0011,0.0042,0.0023,-0.016,0.071,0.040
1.62,0.0090,-0.0087,0.0049,0.0031,-0.121,0.064,0.038
2.19,0.0141,-0.0011,0.0032,0.0024,-0.010,0.027,0.019
3.29,0.0244,0.0075,0.0048,0.0034,0.043,0.028,0.018
4.43,0.0346,0.0095,0.0064,0.0042,0.043,0.028,0.018
6.06,0.0487,0.0159,0.0063,0.0044,0.051,0.021,0.014
9.00,0.0766,0.0527,0.0070,0.0072,0.111,0.015,0.015
13.5,0.121,0.095,0.010,0.011,0.123,0.013,0.014
18.6,0.171,0.121,0.015,0.016,0.101,0.013,0.014
23.8,0.222,0.160,0.022,0.020,0.00744,0.0096,0.0096
31.1,0.290,0.190,0.023,0.022,0.076,0.010,0.009
43.9,0.405,0.317,0.037,0.036,0.0576,0.0069,0.0067
60.8,0.567,0.494,0.082,0.084,0.0254,0.042,0.0045
