Q2,X,G1,G1.err,g1.err,A1,A1.err,a1.err
1.23,0.0045,0.43,0.31,0.13,0.017,0.012,0.005 
1.39,0.0055,0.44,0.26,0.11,0.020,0.012,0.005 
1.61,0.0070,0.43,0.16,0.08,0.0244,0.0093,0.0041
1.91,0.0090,0.27,0.15,0.09,0.019,0.010,0.006 
3.03,0.0167,0.642,0.081,0.061,0.0719,0.0091,0.0060  
4.11,0.0244,0.514,0.063,0.048,0.0788,0.0097,0.0065  
5.60,0.0346,0.424,0.063,0.054,0.088,0.013,0.010
7.64,0.0488,0.401,0.044,0.036,0.114,0.013,0.009
11.7,0.0768,0.376,0.031,0.033,0.166,0.014,0.013 
18.0,0.122,0.372,0.027,0.029,0.264,0.019,0.019 
24.8,0.172,0.298,0.025,0.024,0.318,0.027,0.024 
31.3,0.223,0.224,0.024,0.021,0.337,0.036,0.030 
39.5,0.292,0.166,0.016,0.013,0.389,0.037,0.029 
52.0,0.407,0.095,0.011,0.010,0.484,0.055,0.051
67.4,0.570,0.0396,0.0058,0.0053,0.73,0.11,0.09
