W,Theta,Eb,nu,g1,dg1(tot),g2,dg2(tot),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot)
0.9203,15.5,0.862,0.0106,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001
0.9308,15.5,0.862,0.0206,-0.2545,0.0527,0.0015,0.0038,-5467.0,1140.0,-853.8,911.0
0.9411,15.5,0.862,0.0306,-0.102,0.0405,-0.0119,0.0076,-1109.0,409.0,731.5,556.0
0.9514,15.5,0.862,0.0406,0.0758,0.0554,-0.075,0.0148,4.408,325.0,2378.0,458.0
0.9615,15.5,0.862,0.0506,0.3028,0.067,-0.0343,0.0157,944.6,243.0,776.1,251.0
0.9715,15.5,0.862,0.0606,0.2292,0.0665,-0.044,0.0182,451.5,168.0,547.6,170.0
0.9815,15.5,0.862,0.0706,0.2648,0.0579,-0.0096,0.021,455.4,111.0,203.9,122.0
0.9913,15.5,0.862,0.0806,0.1837,0.0478,-0.0165,0.0191,227.5,70.8,152.7,75.1
1.001,15.5,0.862,0.0906,0.1941,0.0479,-0.0078,0.0199,199.2,55.8,105.8,55.9
1.0107,15.5,0.862,0.1006,0.0627,0.0509,0.0243,0.0228,74.99,48.1,-20.62,47.3
1.0202,15.5,0.862,0.1106,0.09,0.051,0.0877,0.0251,125.9,40.3,-89.48,39.5
1.0297,15.5,0.862,0.1206,0.1213,0.0527,0.0346,0.0279,92.29,35.3,3.54,34.3
1.0391,15.5,0.862,0.1306,0.0186,0.0549,0.0837,0.0303,51.25,31.2,-63.09,30.0
1.0484,15.5,0.862,0.1406,0.0093,0.0518,0.0593,0.0298,29.44,25.4,-35.87,24.3
1.0576,15.5,0.862,0.1506,0.0031,0.0525,0.1059,0.0345,40.54,23.3,-54.39,22.7
1.0667,15.5,0.862,0.1606,-0.0278,0.0555,0.1048,0.0403,25.03,22.3,-51.35,22.0
1.0757,15.5,0.862,0.1706,-0.0512,0.0468,0.1019,0.0271,14.47,14.9,-47.5,14.5
1.1112,15.5,0.862,0.2106,-0.1295,0.12,0.1694,0.125,7.255,31.9,-54.12,31.6
1.1456,15.5,0.862,0.2506,-0.2796,0.134,0.3593,0.172,9.925,27.4,-79.5,27.2
1.179,15.5,0.862,0.2906,-0.4992,0.0883,0.7235,0.125,20.08,13.7,-110.8,14.2
1.2114,15.5,0.862,0.3306,-0.7138,0.116,1.076,0.228,24.14,17.4,-125.8,16.3
1.243,15.5,0.862,0.3706,-0.6406,0.123,0.8911,0.293,12.78,16.6,-90.56,15.0
1.2738,15.5,0.862,0.4106,-0.5066,0.136,0.5316,0.431,0.9959,18.5,-57.94,14.9
1.3039,15.5,0.862,0.4506,-0.3104,0.17,0.4403,0.741,4.104,24.7,-32.46,17.2
0.8602,15.5,1.7169,0.037,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001
0.8718,15.5,1.7169,0.047,0.0127,0.0072,0.0011,0.0011,113.9,61.6,-76.19,91.4
0.8832,15.5,1.7169,0.057,-0.0179,0.0106,-0.0016,0.0021,-109.2,61.9,58.68,92.3
0.8944,15.5,1.7169,0.067,-0.0328,0.0142,-0.0063,0.0033,-158.0,60.5,152.9,91.6
0.9056,15.5,1.7169,0.077,-0.082,0.0208,-0.0204,0.0056,-312.0,67.8,322.1,100.0
0.9165,15.5,1.7169,0.087,-0.0502,0.0269,-0.0282,0.0088,-186.4,70.4,324.5,109.0
0.9274,15.5,1.7169,0.097,-0.1485,0.0346,-0.0734,0.0136,-423.6,75.2,588.3,121.0
0.9381,15.5,1.7169,0.107,-0.1372,0.0405,-0.1015,0.0178,-373.4,73.7,614.0,118.0
0.9487,15.5,1.7169,0.117,-0.0988,0.0447,-0.1282,0.0221,-295.9,69.8,604.8,111.0
0.9592,15.5,1.7169,0.127,0.0628,0.0494,-0.1258,0.0235,-69.51,63.8,506.7,92.1
0.9696,15.5,1.7169,0.137,0.0198,0.0502,-0.1446,0.026,-117.9,56.8,448.6,81.1
0.9799,15.5,1.7169,0.147,0.1409,0.0494,-0.1361,0.0246,3.939,47.3,373.6,62.2
0.99,15.5,1.7169,0.157,0.1457,0.0428,-0.1028,0.0221,30.69,36.0,243.7,45.7
1.0001,15.5,1.7169,0.167,0.1411,0.036,-0.0546,0.0203,54.51,27.3,124.3,34.7
1.01,15.5,1.7169,0.177,0.0475,0.0329,-0.0198,0.0206,15.46,23.0,38.17,29.5
