X,W,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err
0.1112,1.0535,1.147,0.1376,-0.0484,0.0316,0.0078,0.0226
0.1027,1.0624,1.147,0.1475,-0.0305,0.0323,0.0221,0.025
0.0952,1.0714,1.147,0.1576,-0.0376,0.0348,0.0137,0.0276
0.0886,1.0802,1.147,0.1676,-0.0468,0.0348,-0.0362,0.031
0.0829,1.0889,1.147,0.1774,0.0028,0.036,-0.0156,0.0339
0.0776,1.0976,1.147,0.1874,-0.0539,0.0411,-0.0313,0.0393
0.0732,1.1057,1.147,0.1968,-0.0259,0.0477,-0.0215,0.0498
0.0686,1.1149,1.147,0.2075,-0.0869,0.5151,0.023,0.0808
0.0648,1.1234,1.147,0.2175,-0.0693,0.0478,0.1328,0.0729
0.0613,1.1318,1.147,0.2275,-0.1033,0.0496,0.0052,0.079
0.0581,1.1403,1.147,0.2375,-0.0578,0.0515,-0.041,0.0864
0.0551,1.1486,1.147,0.2475,-0.075,0.0539,0.1924,0.0953
0.0524,1.1568,1.147,0.2575,-0.1085,0.0564,0.1827,0.1041
0.0499,1.1648,1.147,0.2672,-0.2394,0.0731,0.1812,0.1004
0.0475,1.1732,1.147,0.2776,-0.2445,0.0629,0.5739,0.163
0.0453,1.1813,1.147,0.2875,-0.3136,0.066,0.3489,0.1745
0.0433,1.1893,1.147,0.2975,-0.4084,0.0694,0.517,0.1877
0.0414,1.1973,1.147,0.3075,-0.4217,0.0718,-0.0957,0.1997
0.0396,1.2052,1.147,0.3175,-0.4131,0.0727,-0.1786,0.2124
0.0379,1.2132,1.147,0.3276,-0.4153,0.0741,0.3252,0.2245
0.0363,1.221,1.147,0.3376,-0.4727,0.0918,0.4046,0.2691
0.0349,1.2288,1.147,0.3476,-0.381,0.0933,0.4509,0.2822
0.0335,1.2365,1.147,0.3576,-0.2944,0.0908,0.5886,0.2941
0.0322,1.2441,1.147,0.3675,-0.3407,0.0908,0.3957,0.3035
0.0309,1.2518,1.147,0.3776,-0.3411,0.0926,0.5042,0.3194
0.0297,1.2593,1.147,0.3874,-0.3901,0.1014,0.6522,0.3723
0.0286,1.2669,1.147,0.3976,-0.2195,0.0928,1.0034,0.3616
0.0275,1.2744,1.147,0.4075,-0.3569,0.0931,-0.33,0.3676
0.0265,1.2819,1.147,0.4176,-0.1493,0.0991,0.3256,0.3818
0.0255,1.2892,1.147,0.4275,-0.0251,0.0925,0.7234,0.3997
0.0245,1.2971,1.147,0.4382,-0.3913,0.0915,-0.2203,0.3766
0.0236,1.3043,1.147,0.4481,-0.2495,0.1081,0.1298,0.5129
0.0228,1.3112,1.147,0.4575,-0.2374,0.1022,-0.2131,0.5001
0.022,1.3185,1.147,0.4676,-0.075,0.1012,-0.3545,0.5163
0.0213,1.3256,1.147,0.4775,-0.2554,0.1043,0.4771,0.5403
0.0205,1.3328,1.147,0.4875,-0.122,0.1043,0.4023,0.563
0.0199,1.3391,1.147,0.4962,-0.2915,0.1251,-0.1044,0.5254
0.0191,1.347,1.147,0.5075,-0.1134,0.1372,-0.6112,0.7243
0.0184,1.3541,1.147,0.5175,-0.3274,0.1365,0.7206,0.7341
0.0178,1.3611,1.147,0.5275,-0.0271,0.1368,0.8344,0.7656
0.0172,1.368,1.147,0.5373,-0.2243,0.1471,0.8529,0.8306
0.0166,1.3753,1.147,0.5479,-0.1242,0.161,-0.0348,1.0102
0.016,1.382,1.147,0.5575,-0.0673,0.1527,0.6999,0.9873
0.0155,1.3888,1.147,0.5675,-0.0883,0.1517,-1.4446,1.0167
0.0149,1.3957,1.147,0.5776,0.0117,0.1555,-1.2011,1.0701
0.0145,1.402,1.147,0.5868,-0.0478,0.1837,0.8708,0.888
0.0139,1.4092,1.147,0.5975,-0.0239,0.178,1.2649,1.3458
0.0135,1.416,1.147,0.6075,-0.1412,0.1767,-0.1154,1.3691
0.013,1.4227,1.147,0.6176,-0.1681,0.1822,3.9662,1.47
0.0125,1.4303,1.147,0.629,-0.3817,0.1812,-0.4743,1.1052
0.0121,1.4364,1.147,0.638,-0.667,0.3282,4.5706,1.6534
0.0117,1.4427,1.147,0.6476,-0.3251,0.3032,-2.9582,1.5765
0.0113,1.4492,1.147,0.6575,-0.5589,0.3124,-1.0761,1.6612
0.0108,1.4566,1.147,0.6688,-0.3447,0.2674,-0.1657,1.2984
0.0105,1.4623,1.147,0.6775,-0.0594,0.2761,2.3127,2.0404
0.0101,1.4689,1.147,0.6876,-0.7566,0.2845,1.4362,2.0503
0.0097,1.4759,1.147,0.6985,0.2133,0.2531,-0.2066,1.9868
0.1741,1.0528,2.135,0.1471,-0.086,0.0303,0.0256,0.0211
0.1622,1.0617,2.135,0.1571,-0.0433,0.0312,0.0646,0.0237
0.1517,1.0707,2.135,0.1671,-0.0304,0.0322,0.0196,0.0258
0.1425,1.0795,2.135,0.177,-0.0694,0.034,0.1012,0.0291
0.1342,1.0882,2.135,0.187,0.0102,0.0355,-0.0216,0.032
0.1265,1.0971,2.135,0.1973,-0.0672,0.0185,0.0485,0.021
0.12,1.1055,2.135,0.207,-0.1014,0.0197,0.0633,0.0232
0.1139,1.1141,2.135,0.217,-0.0209,0.0195,0.0092,0.0252
0.1083,1.1226,2.135,0.227,-0.0244,0.0254,0.0565,0.0277
0.1032,1.131,2.135,0.237,-0.0594,0.0218,0.1351,0.0313
0.0985,1.1394,2.135,0.247,-0.0621,0.0228,0.1048,0.0336
0.0941,1.1477,2.135,0.257,-0.0768,0.024,0.0398,0.0363
0.0901,1.1559,2.135,0.267,-0.1049,0.0258,0.0603,0.0413
0.0864,1.1641,2.135,0.277,-0.0577,0.0267,0.1656,0.0445
0.083,1.1723,2.135,0.287,-0.1918,0.03,0.208,0.049
0.0797,1.1804,2.135,0.297,-0.2844,0.0334,0.1992,0.0526
0.0767,1.1883,2.135,0.3069,-0.2228,0.0338,0.1382,0.0575
0.0739,1.1963,2.135,0.3169,-0.3201,0.0378,0.2667,0.0637
0.0714,1.2038,2.135,0.3264,-0.3329,0.0442,0.3894,0.0786
0.0686,1.2126,2.135,0.3376,-0.3876,0.0436,0.4174,0.0795
0.0664,1.22,2.135,0.347,-0.3896,0.0421,0.5056,0.0787
0.0642,1.2277,2.135,0.357,-0.3359,0.0409,0.4104,0.0806
0.0621,1.2354,2.135,0.367,-0.3889,0.0423,0.2668,0.0824
0.0601,1.2431,2.135,0.377,-0.3799,0.0423,0.3963,0.1531
0.0582,1.2508,2.135,0.3871,-0.3374,0.0409,0.3544,0.0897
0.0564,1.2583,2.135,0.3971,-0.2827,0.0391,0.1916,0.0907
0.0547,1.2658,2.135,0.407,-0.3196,0.0401,0.3503,0.095
0.0531,1.2733,2.135,0.417,-0.2446,0.0386,0.3537,0.0988
0.0515,1.2808,2.135,0.427,-0.2361,0.0386,0.158,0.1007
0.0501,1.2882,2.135,0.437,-0.1213,0.0374,0.3513,0.1056
0.0486,1.2955,2.135,0.447,-0.225,0.0395,0.2035,0.1095
0.0474,1.3022,2.135,0.4561,-0.1362,0.0459,0.4581,0.1331
0.0459,1.3104,2.135,0.4675,-0.0821,0.0489,0.1385,0.1744
0.0448,1.3174,2.135,0.4771,-0.1055,0.0342,0.2174,0.1479
0.0436,1.3245,2.135,0.487,-0.1366,0.0339,-0.0533,0.1499
0.0425,1.3317,2.135,0.497,-0.0882,0.0337,0.2398,0.1545
0.0414,1.3388,2.135,0.5071,-0.1081,0.0346,0.077,0.1595
0.0403,1.3459,2.135,0.517,-0.118,0.0379,-0.1723,0.1646
0.0393,1.3529,2.135,0.527,-0.1315,0.035,0.0016,0.169
0.0383,1.36,2.135,0.537,-0.0701,0.0355,-0.112,0.1746
0.0374,1.3669,2.135,0.547,-0.0259,0.0351,0.0896,0.1819
