,Unnamed: 0.1,Unnamed: 0,Q2,X,W,Theta,Eb,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,G1.mes,G1.mes.err
0,0,0,2.038,0.277,2.4899,45.0,4740.0,-0.009,0.0165,-0.006,0.0345,-0.01246304467241692,0.022848915232764354
1,1,1,2.347,0.325,2.3989,45.0,4740.0,-0.01,0.0091,-0.001,0.0173,-0.01092962302805565,0.009945956955530641
2,2,2,2.639,0.374,2.3016,45.0,4740.0,0.001,0.0071,-0.037,0.0126,0.0008569987045799931,0.006084690802517951
3,3,3,2.915,0.424,2.2001,45.0,4740.0,-0.026,0.0073,0.002,0.0112,-0.0172790298204564,0.004851419911128143
4,4,4,3.176,0.473,2.1021,45.0,4740.0,-0.023,0.0082,-0.005,0.011,-0.011782094311996682,0.004200572754711861
5,5,5,3.425,0.523,2.001,45.0,4740.0,0.0,0.0091,-0.015,0.0122,0.0,0.0035538043161714144
6,6,6,3.662,0.574,1.8969,45.0,4740.0,0.002,0.0112,-0.02,0.0133,0.0005775152748802987,0.0032340855393296723
7,7,7,3.886,0.623,1.7978,45.0,4740.0,0.031,0.0132,0.0,0.0141,0.006691387381768757,0.0028492359173983095
8,8,8,4.099,0.673,1.6947,45.0,4740.0,0.023,0.0161,-0.017,0.0163,0.003619842024015133,0.002533889416810593
9,9,9,4.307,0.723,1.5907,45.0,4740.0,0.026,0.0202,-0.036,0.0191,0.002876373900027802,0.0022347212607908306
10,10,10,4.504,0.773,1.4843,45.0,4740.0,-0.023,0.026,-0.039,0.0224,-0.0017208777362808327,0.0019453400497087673
11,11,11,4.694,0.823,1.3747,45.0,4740.0,-0.032,0.0326,0.018,0.0275,-0.001555045051031664,0.0015842021457385075
12,12,12,4.876,0.874,1.2583,45.0,4740.0,-0.035,0.042,-0.071,0.0334,-0.001098594624905547,0.0013183135498866564
13,13,13,2.626,0.277,2.7811,45.0,5890.0,0.024,0.0286,0.044,0.0447,0.03329596037695631,0.03967768611587294
14,14,14,3.032,0.325,2.6791,45.0,5890.0,-0.016,0.0122,0.026,0.0173,-0.01730736711790279,0.013196867427400878
15,15,15,3.421,0.374,2.5703,45.0,5890.0,-0.006,0.0091,-0.001,0.012,-0.0050169349589535865,0.007609018021079606
16,16,16,3.802,0.424,2.4587,45.0,5890.0,-0.022,0.0092,-0.005,0.0112,-0.014023611190208417,0.005864419224996247
17,17,17,4.169,0.474,2.3466,45.0,5890.0,-0.021,0.0104,0.007,0.0112,-0.010072600661599446,0.004988335565744488
18,18,18,4.514,0.524,2.2318,45.0,5890.0,0.002,0.012,0.0,0.0122,0.0007138349586213006,0.004283009751727804
19,19,19,4.848,0.573,2.1197,45.0,5890.0,0.004,0.0151,0.006,0.0132,0.0010496036948332618,0.003962253947995563
20,20,20,5.176,0.624,1.9998,45.0,5890.0,0.003,0.0182,-0.011,0.015,0.0005536502096180142,0.0033588112716826193
21,21,21,5.486,0.674,1.8798,45.0,5890.0,-0.004,0.0221,-0.003,0.0171,-0.0005130971701090036,0.002834861864852245
22,22,22,5.777,0.723,1.7589,45.0,5890.0,0.001,0.0282,-0.01,0.0212,8.759278337722989e-05,0.002470116491237883
23,23,23,6.059,0.773,1.6308,45.0,5890.0,0.008,0.0352,0.007,0.0252,0.00045619862871376237,0.0020072739663405544
24,24,24,6.325,0.823,1.4969,45.0,5890.0,0.009,0.0488,-0.095,0.0324,0.0003243969440852112,0.001758952319039812
25,25,25,6.585,0.873,1.3558,45.0,5890.0,0.011,0.0646,-0.02,0.0416,0.0002347692514871187,0.00137873578600617
