x,Q2,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
0.154,1.078,,,,,,,,0.222,0.021,0.02,0.029,,,,,CLAS_EG1dvcs
0.167,1.229,,,,,,,,0.24,0.003,0.018,0.0182,,,,,CLAS_EG1dvcs
0.177,1.422,,,,,,,,0.249,0.003,0.016,0.0163,,,,,CLAS_EG1dvcs
0.191,1.633,,,,,,,,0.257,0.005,0.016,0.0168,,,,,CLAS_EG1dvcs
0.207,1.282,,,,,,,,0.278,0.018,0.023,0.0292,,,,,CLAS_EG1dvcs
0.22,1.455,,,,,,,,0.295,0.004,0.021,0.0214,,,,,CLAS_EG1dvcs
0.223,1.715,,,,,,,,0.3,0.003,0.018,0.0182,,,,,CLAS_EG1dvcs
0.235,1.98,,,,,,,,0.314,0.004,0.017,0.0175,,,,,CLAS_EG1dvcs
0.267,1.505,,,,,,,,0.364,0.009,0.025,0.0266,,,,,CLAS_EG1dvcs
0.272,1.724,,,,,,,,0.346,0.004,0.023,0.0233,,,,,CLAS_EG1dvcs
0.273,2.047,,,,,,,,0.347,0.003,0.019,0.0192,,,,,CLAS_EG1dvcs
0.282,2.366,,,,,,,,0.365,0.004,0.018,0.0184,,,,,CLAS_EG1dvcs
0.307,1.545,,,,,,,,0.442,0.038,0.026,0.046,,,,,CLAS_EG1dvcs
0.322,1.738,,,,,,,,0.399,0.006,0.026,0.0267,,,,,CLAS_EG1dvcs
0.323,2.052,,,,,,,,0.397,0.004,0.023,0.0233,,,,,CLAS_EG1dvcs
0.324,2.431,,,,,,,,0.392,0.003,0.02,0.0202,,,,,CLAS_EG1dvcs
0.331,2.796,,,,,,,,0.415,0.005,0.019,0.0196,,,,,CLAS_EG1dvcs
0.371,1.769,,,,,,,,0.405,0.01,0.027,0.0288,,,,,CLAS_EG1dvcs
0.373,2.059,,,,,,,,0.442,0.005,0.026,0.0265,,,,,CLAS_EG1dvcs
0.373,2.438,,,,,,,,0.44,0.004,0.023,0.0233,,,,,CLAS_EG1dvcs
0.374,2.896,,,,,,,,0.434,0.004,0.02,0.0204,,,,,CLAS_EG1dvcs
0.384,3.288,,,,,,,,0.46,0.008,0.019,0.0206,,,,,CLAS_EG1dvcs
0.42,1.812,,,,,,,,0.461,0.017,0.028,0.0328,,,,,CLAS_EG1dvcs
0.423,2.064,,,,,,,,0.421,0.008,0.026,0.0272,,,,,CLAS_EG1dvcs
0.423,2.438,,,,,,,,0.465,0.005,0.025,0.0255,,,,,CLAS_EG1dvcs
0.424,2.898,,,,,,,,0.48,0.005,0.022,0.0226,,,,,CLAS_EG1dvcs
0.426,3.424,,,,,,,,0.477,0.005,0.019,0.0196,,,,,CLAS_EG1dvcs
0.442,3.868,,,,,,,,0.47,0.024,0.02,0.0312,,,,,CLAS_EG1dvcs
0.468,1.839,,,,,,,,0.535,0.032,0.029,0.0432,,,,,CLAS_EG1dvcs
0.473,2.449,,,,,,,,0.447,0.007,0.026,0.0269,,,,,CLAS_EG1dvcs
0.474,2.052,,,,,,,,0.496,0.01,0.028,0.0297,,,,,CLAS_EG1dvcs
0.474,2.9,,,,,,,,0.49,0.006,0.025,0.0257,,,,,CLAS_EG1dvcs
0.474,3.455,,,,,,,,0.514,0.005,0.021,0.0216,,,,,CLAS_EG1dvcs
0.478,3.968,,,,,,,,0.508,0.008,0.02,0.0215,,,,,CLAS_EG1dvcs
0.502,1.858,,,,,,,,0.516,0.097,0.03,0.1015,,,,,CLAS_EG1dvcs
0.523,2.071,,,,,,,,0.54,0.012,0.029,0.0314,,,,,CLAS_EG1dvcs
0.523,2.453,,,,,,,,0.529,0.008,0.028,0.0291,,,,,CLAS_EG1dvcs
0.524,2.897,,,,,,,,0.481,0.007,0.026,0.0269,,,,,CLAS_EG1dvcs
0.524,3.454,,,,,,,,0.508,0.006,0.024,0.0247,,,,,CLAS_EG1dvcs
0.525,4.082,,,,,,,,0.528,0.007,0.021,0.0221,,,,,CLAS_EG1dvcs
0.539,4.572,,,,,,,,0.597,0.042,0.02,0.0465,,,,,CLAS_EG1dvcs
0.572,2.088,,,,,,,,0.537,0.016,0.03,0.034,,,,,CLAS_EG1dvcs
0.573,3.457,,,,,,,,0.512,0.008,0.025,0.0262,,,,,CLAS_EG1dvcs
0.574,2.459,,,,,,,,0.545,0.01,0.029,0.0307,,,,,CLAS_EG1dvcs
0.574,2.911,,,,,,,,0.556,0.008,0.027,0.0282,,,,,CLAS_EG1dvcs
0.574,4.117,,,,,,,,0.533,0.008,0.022,0.0234,,,,,CLAS_EG1dvcs
0.578,4.666,,,,,,,,0.588,0.017,0.021,0.027,,,,,CLAS_EG1dvcs
0.1115,0.0496,1.13,,,,,,,,,,,0.0526,0.7281,0.3039,0.789,CLAS_EG1b
0.1011,0.0496,1.15,,,,,,,,,,,-0.4909,0.4117,0.2283,0.4708,CLAS_EG1b
0.0924,0.0496,1.17,,,,,,,,,,,-0.2476,0.2445,0.1487,0.2862,CLAS_EG1b
0.0849,0.0496,1.19,,,,,,,,,,,-0.2228,0.1673,0.1145,0.2027,CLAS_EG1b
0.0785,0.0496,1.21,,,,,,,,,,,-0.3349,0.1235,0.1016,0.1599,CLAS_EG1b
0.0729,0.0496,1.23,,,,,,,,,,,-0.1657,0.1117,0.0944,0.1462,CLAS_EG1b
0.0679,0.0496,1.25,,,,,,,,,,,-0.2932,0.1141,0.0982,0.1505,CLAS_EG1b
0.0635,0.0496,1.27,,,,,,,,,,,-0.0711,0.1273,0.0983,0.1608,CLAS_EG1b
0.0596,0.0496,1.29,,,,,,,,,,,0.1618,0.1347,0.0982,0.1667,CLAS_EG1b
0.0561,0.0496,1.31,,,,,,,,,,,-0.2442,0.1403,0.0981,0.1712,CLAS_EG1b
0.0529,0.0496,1.33,,,,,,,,,,,-0.1294,0.1356,0.0905,0.163,CLAS_EG1b
0.0501,0.0496,1.35,,,,,,,,,,,-0.1233,0.1369,0.0819,0.1595,CLAS_EG1b
0.0475,0.0496,1.37,,,,,,,,,,,-0.1501,0.1327,0.0727,0.1513,CLAS_EG1b
0.0451,0.0496,1.39,,,,,,,,,,,-0.1745,0.1328,0.0654,0.148,CLAS_EG1b
0.0429,0.0496,1.41,,,,,,,,,,,-0.2989,0.1261,0.0607,0.1399,CLAS_EG1b
0.0409,0.0496,1.43,,,,,,,,,,,-0.155,0.1193,0.0582,0.1327,CLAS_EG1b
0.039,0.0496,1.45,,,,,,,,,,,-0.0256,0.1039,0.058,0.119,CLAS_EG1b
0.0373,0.0496,1.47,,,,,,,,,,,-0.0008,0.0885,0.0575,0.1055,CLAS_EG1b
0.0357,0.0496,1.49,,,,,,,,,,,0.0699,0.076,0.0548,0.0937,CLAS_EG1b
0.0343,0.0496,1.51,,,,,,,,,,,-0.2326,0.07,0.0549,0.089,CLAS_EG1b
