Q2,X,W,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.2,0.782,1.103,-0.0026,0.0019,0.0002,0.0019,-0.0013,0.0012,0.0001,0.0012,,,,
1.2,0.6799,1.203,-0.0094,0.00237,0.0009,0.0025,0.0038,0.0019,0.0005,0.002,,,,
1.2,0.5954,1.303,-0.0134,0.0036,0.0011,0.0038,0.011,0.0038,0.001,0.0039,,,,
1.2,0.5249,1.403,-0.0114,0.00426,0.001,0.0044,0.0095,0.0055,0.0006,0.0055,,,,
1.2,0.4657,1.503,-0.0047,0.00576,0.0005,0.0058,0.0114,0.0094,0.0025,0.0097,,,,
1.2,0.4156,1.603,0.0007,0.00767,0.0008,0.0077,0.0146,0.0175,0.0017,0.0176,,,,
1.2,0.3729,1.703,-0.0032,0.00994,0.0016,0.0101,0.0041,0.027,0.0027,0.0271,,,,
1.2,0.3363,1.803,-0.005,0.01222,0.003,0.0126,-0.0379,0.0379,0.0034,0.038,,,,
1.9,0.85,1.103,0.0001,0.00198,0.0002,0.002,-0.004,0.002,0.0007,0.0022,,,,
1.9,0.7706,1.203,-0.0044,0.00289,0.0005,0.0029,0.0008,0.0029,0.0002,0.0029,,,,
1.9,0.6995,1.303,-0.0067,0.00471,0.0004,0.0047,0.0056,0.0044,0.0002,0.0045,,,,
1.9,0.6362,1.403,-0.0093,0.00479,0.0009,0.0048,0.0097,0.006,0.0007,0.006,,,,
1.9,0.5798,1.503,-0.0071,0.00514,0.0002,0.0051,-0.007,0.0082,0.001,0.0082,,,,
1.9,0.5296,1.603,-0.0006,0.00602,0.0002,0.006,0.0052,0.0122,0.0012,0.0122,,,,
1.9,0.4849,1.703,-0.0012,0.00745,0.0018,0.0077,0.0197,0.0174,0.0028,0.0176,,,,
1.9,0.4451,1.803,-0.0065,0.00869,0.0021,0.0089,-0.0241,0.0231,0.0019,0.0232,,,,
2.6,0.8857,1.103,0.0001,0.00107,0.0001,0.0011,-0.0033,0.0013,0.0003,0.0013,,,,
2.6,0.8212,1.203,-0.0008,0.00134,0.0002,0.0013,-0.0004,0.0016,0.0002,0.0017,,,,
2.6,0.761,1.303,-0.0008,0.00189,0.0001,0.0019,0.0012,0.0025,0.0002,0.0025,,,,
2.6,0.7052,1.403,-0.001,0.00206,0.0001,0.0021,-0.0007,0.0034,0.0003,0.0034,,,,
2.6,0.6537,1.503,-0.0001,0.00246,0.0008,0.0025,0.001,0.0045,0.0004,0.0045,,,,
2.6,0.6064,1.603,0.0002,0.00292,0.0001,0.0029,0.0024,0.0057,0.0003,0.0057,,,,
2.6,0.563,1.703,-0.0089,0.0037,0.0017,0.0041,0.0075,0.0076,0.0023,0.008,,,,
2.6,0.5233,1.803,-0.0043,0.00457,0.0008,0.0046,0.0056,0.0105,0.0014,0.0106,,,,
3.3,0.9077,1.103,-0.0002,0.00053,0.0,0.0005,-0.0024,0.0008,0.0001,0.0008,,,,
3.3,0.8536,1.203,0.0008,0.00052,0.0,0.0005,-0.0011,0.001,0.0002,0.001,,,,
3.3,0.8016,1.303,0.0012,0.00066,0.0003,0.0007,-0.0015,0.0015,0.0003,0.0015,,,,
3.3,0.7522,1.403,0.0012,0.00105,0.0,0.0011,-0.0038,0.0022,0.0001,0.0023,,,,
3.3,0.7055,1.503,0.0003,0.00151,0.0,0.0015,0.0007,0.0031,0.0001,0.0031,,,,
3.3,0.6616,1.603,0.0008,0.00202,0.0001,0.002,0.0039,0.0043,0.0005,0.0043,,,,
3.3,0.6205,1.703,0.0016,0.00283,0.0001,0.0028,-0.0058,0.007,0.0006,0.007,,,,
3.3,0.5821,1.803,0.0031,0.00392,0.0006,0.004,0.0235,0.012,0.0026,0.0123,,,,
1.22,0.735,1.15,,,,,,,,,-0.0214,0.0085,0.0053,0.01
1.16,0.631,1.25,,,,,,,,,-0.0422,0.0081,0.0078,0.0112
1.1,0.539,1.35,,,,,,,,,-0.0377,0.0081,0.005,0.0095
1.04,0.459,1.45,,,,,,,,,-0.0189,0.0073,0.0026,0.0077
0.97,0.389,1.55,,,,,,,,,-0.0101,0.0076,0.0011,0.0077
0.89,0.327,1.65,,,,,,,,,-0.0077,0.0073,0.0012,0.0074
0.81,0.272,1.75,,,,,,,,,-0.0135,0.0062,0.0022,0.0066
0.73,0.223,1.85,,,,,,,,,-0.0022,0.0074,0.0015,0.0076
2.0,0.782,1.2,,,,,,,,,-0.0077,0.0163,0.0121,0.0203
1.85,0.632,1.4,,,,,,,,,-0.0398,0.0143,0.0045,0.015
1.68,0.501,1.6,,,,,,,,,-0.0033,0.0107,0.0013,0.0108
1.48,0.387,1.8,,,,,,,,,-0.0004,0.0106,0.0044,0.0115
1.32,0.312,1.95,,,,,,,,,-0.0238,0.0193,0.0021,0.0194
2.95,0.841,1.2,,,,,,,,,0.0171,0.0105,0.0035,0.0111
2.77,0.72,1.4,,,,,,,,,0.0027,0.0105,0.0003,0.0105
2.57,0.606,1.6,,,,,,,,,-0.0011,0.0084,0.0016,0.0086
2.35,0.499,1.8,,,,,,,,,-0.0156,0.0086,0.0055,0.0102
2.16,0.425,1.95,,,,,,,,,-0.0208,0.0134,0.035,0.0375
3.96,0.876,1.2,,,,,,,,,0.0228,0.0177,0.0004,0.0177
3.72,0.775,1.4,,,,,,,,,0.0081,0.0143,0.0034,0.0147
3.46,0.673,1.6,,,,,,,,,-0.0002,0.0105,0.0016,0.0106
3.15,0.572,1.8,,,,,,,,,-0.0137,0.0095,0.0046,0.0106
