Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
1.1,0.035,NaN,NaN,NaN,NaN,-0.248,0.1682,-9.314,10.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
1.2,0.05,NaN,NaN,NaN,NaN,-0.168,0.0769,2.106,4.5028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
1.8,0.082,NaN,NaN,NaN,NaN,-0.146,0.0429,-0.648,1.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
2.5,0.124,NaN,NaN,NaN,NaN,-0.141,0.0325,-0.256,1.0274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
3.1,0.175,NaN,NaN,NaN,NaN,-0.105,0.0269,-0.764,0.7007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
3.7,0.246,NaN,NaN,NaN,NaN,-0.051,0.0175,-0.088,0.3692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
4.4,0.343,NaN,NaN,NaN,NaN,0.0,0.0175,0.14,0.2587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
5.5,0.466,NaN,NaN,NaN,NaN,-0.007,0.0141,-0.188,0.1738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E142
5.0,0.017,NaN,NaN,NaN,NaN,-0.447,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.024,NaN,NaN,NaN,NaN,-0.434,0.1029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.035,NaN,NaN,NaN,NaN,-0.317,0.0731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.049,NaN,NaN,NaN,NaN,-0.217,0.0434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.081,NaN,NaN,NaN,NaN,-0.138,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.123,NaN,NaN,NaN,NaN,-0.106,0.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.173,NaN,NaN,NaN,NaN,-0.066,0.0139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.242,NaN,NaN,NaN,NaN,-0.049,0.0112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
5.0,0.342,NaN,NaN,NaN,NaN,-0.025,0.0117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SLAC E154
