W,x,Q2,A1,dA1(stat),dA1(sys)
1.085,0.1437,0.0496,-4.0897,3.2359,6.7112
1.095,0.1352,0.0496,0.8676,2.3378,0.366
1.105,0.1275,0.0496,0.0935,1.7699,0.3179
1.115,0.1207,0.0496,1.0428,1.4214,0.3998
1.125,0.1144,0.0496,0.0396,1.042,0.2135
1.135,0.1087,0.0496,-1.9087,0.8828,0.7649
1.145,0.1036,0.0496,1.1177,0.7273,0.2379
1.155,0.0988,0.0496,-0.0296,0.6177,0.1041
1.165,0.0945,0.0496,-0.8282,0.5177,0.1428
1.175,0.0904,0.0496,-0.2237,0.4405,0.0586
1.185,0.0867,0.0496,0.0705,0.3825,0.0511
1.195,0.0832,0.0496,0.0339,0.3397,0.0421
1.205,0.08,0.0496,-0.5676,0.3054,0.081
1.215,0.077,0.0496,-0.5017,0.2846,0.0793
1.225,0.0742,0.0496,-0.1828,0.2731,0.043
1.235,0.0716,0.0496,-0.2202,0.2713,0.0445
1.245,0.0691,0.0496,0.2131,0.2752,0.0399
1.255,0.0668,0.0496,0.0313,0.2867,0.0354
1.265,0.0646,0.0496,0.0813,0.3031,0.035
1.275,0.0625,0.0496,-0.4367,0.3156,0.0705
1.285,0.0606,0.0496,-0.0132,0.3251,0.0348
1.295,0.0587,0.0496,-0.3144,0.3319,0.062
1.305,0.057,0.0496,-0.1785,0.3279,0.0438
1.315,0.0553,0.0496,-0.5992,0.3193,0.0645
1.325,0.0537,0.0496,0.3621,0.3133,0.053
1.335,0.0522,0.0496,-0.3152,0.3115,0.0401
1.345,0.0508,0.0496,0.4493,0.3025,0.036
1.355,0.0494,0.0496,-0.1693,0.2988,0.0269
1.365,0.0481,0.0496,-0.0557,0.3011,0.0271
1.375,0.0469,0.0496,-0.6124,0.3001,0.0589
1.385,0.0457,0.0496,-0.0319,0.2957,0.0205
1.395,0.0445,0.0496,-0.285,0.2928,0.0288
1.405,0.0434,0.0496,-0.5422,0.2847,0.0672
1.415,0.0424,0.0496,0.0675,0.2777,0.018
1.425,0.0414,0.0496,-0.4619,0.2669,0.0358
1.435,0.0404,0.0496,0.2511,0.2586,0.025
1.445,0.0395,0.0496,-0.1567,0.2487,0.0182
1.455,0.0386,0.0496,-0.2526,0.2382,0.0527
1.465,0.0377,0.0496,0.0312,0.2268,0.0151
1.475,0.0369,0.0496,-0.0835,0.2178,0.0146
1.485,0.0361,0.0496,-0.1677,0.2091,0.0255
1.495,0.0354,0.0496,-0.2988,0.2041,0.0228
1.505,0.0346,0.0496,-0.4626,0.2004,0.0323
1.515,0.0339,0.0496,-0.087,0.2005,0.0136
1.525,0.0332,0.0496,-0.2463,0.1997,0.0212
1.535,0.0325,0.0496,0.0833,0.2018,0.0157
1.545,0.0319,0.0496,0.066,0.2028,0.0226
1.555,0.0313,0.0496,-0.1662,0.2046,0.0152
1.565,0.0307,0.0496,-0.062,0.2056,0.0123
1.575,0.0301,0.0496,-0.2898,0.2104,0.0339
1.585,0.0295,0.0496,0.0808,0.2112,0.0296
1.085,0.1669,0.0592,2.9002,1.9186,3.0487
1.095,0.1572,0.0592,-0.1629,1.4463,0.6397
1.105,0.1486,0.0592,0.6584,1.1541,0.2785
1.115,0.1407,0.0592,0.0575,0.9438,0.2335
1.125,0.1336,0.0592,-0.3637,0.778,0.2432
1.135,0.1271,0.0592,0.3151,0.6543,0.1403
1.145,0.1212,0.0592,-0.1428,0.5593,0.1154
1.155,0.1157,0.0592,-0.5979,0.4827,0.1339
1.165,0.1107,0.0592,-0.1138,0.4212,0.0762
1.175,0.1061,0.0592,-0.3745,0.3705,0.0857
1.185,0.1018,0.0592,-0.3218,0.3294,0.0763
1.195,0.0978,0.0592,-0.2082,0.299,0.0526
1.205,0.094,0.0592,-0.39,0.273,0.0693
1.215,0.0906,0.0592,-0.6084,0.256,0.0817
1.225,0.0873,0.0592,-0.4142,0.2454,0.0798
1.235,0.0842,0.0592,-0.1499,0.2398,0.0444
1.245,0.0814,0.0592,-0.5622,0.2384,0.0708
1.255,0.0787,0.0592,-0.2695,0.2442,0.0574
1.265,0.0761,0.0592,-0.5154,0.2509,0.0649
1.275,0.0737,0.0592,0.293,0.2574,0.0441
1.285,0.0714,0.0592,-0.1894,0.2653,0.0391
1.295,0.0693,0.0592,-0.5475,0.2713,0.0757
1.305,0.0672,0.0592,-0.5366,0.2741,0.0774
1.315,0.0653,0.0592,-0.1418,0.274,0.0455
1.325,0.0634,0.0592,-0.0787,0.2783,0.0306
1.335,0.0617,0.0592,-0.3269,0.2797,0.0413
1.345,0.06,0.0592,-0.0967,0.2789,0.0269
1.355,0.0584,0.0592,-0.2111,0.2789,0.0521
1.365,0.0569,0.0592,0.1125,0.279,0.0321
1.375,0.0554,0.0592,0.0021,0.2763,0.0247
1.385,0.054,0.0592,-0.7045,0.2708,0.0644
1.395,0.0527,0.0592,0.1003,0.2656,0.0208
1.405,0.0514,0.0592,-0.3188,0.2578,0.0364
1.415,0.0502,0.0592,0.0726,0.2508,0.0304
1.425,0.049,0.0592,-0.2433,0.2456,0.0251
1.435,0.0479,0.0592,-0.2904,0.2416,0.025
1.445,0.0468,0.0592,-0.2421,0.2343,0.0524
1.455,0.0457,0.0592,-0.3053,0.2267,0.0415
1.465,0.0447,0.0592,-0.2367,0.2174,0.0409
1.475,0.0438,0.0592,0.3255,0.2076,0.032
1.485,0.0428,0.0592,-0.1856,0.1983,0.0287
1.495,0.0419,0.0592,0.0922,0.1913,0.0197
1.505,0.041,0.0592,-0.1917,0.1874,0.0182
1.515,0.0402,0.0592,0.0625,0.1877,0.0154
1.525,0.0394,0.0592,-0.3991,0.1876,0.0297
1.535,0.0386,0.0592,0.1341,0.1938,0.0228
1.545,0.0378,0.0592,-0.0168,0.1967,0.0126
1.555,0.0371,0.0592,-0.0747,0.2001,0.0172
1.565,0.0364,0.0592,-0.0283,0.2005,0.0114
1.575,0.0357,0.0592,-0.0941,0.2065,0.0164
1.585,0.035,0.0592,0.2333,0.2067,0.0217
1.085,0.1931,0.0707,1.7762,1.672,1.4333
1.095,0.1822,0.0707,1.287,1.3034,0.5948
1.105,0.1724,0.0707,0.7785,1.0611,0.2811
1.115,0.1636,0.0707,-0.0627,0.8873,0.2875
1.125,0.1555,0.0707,0.4474,0.7523,0.2006
1.135,0.1482,0.0707,0.9372,0.6367,0.1825
1.145,0.1414,0.0707,0.3142,0.5394,0.0932
1.155,0.1352,0.0707,-0.3084,0.4656,0.1034
1.165,0.1294,0.0707,-0.3059,0.4012,0.0834
1.175,0.1241,0.0707,0.1186,0.3469,0.056
1.185,0.1192,0.0707,-0.973,0.3051,0.1417
1.195,0.1146,0.0707,-0.5158,0.2738,0.0821
1.205,0.1103,0.0707,-0.4382,0.2492,0.0763
1.215,0.1063,0.0707,-0.3743,0.2334,0.0653
1.225,0.1025,0.0707,-0.5425,0.2255,0.0735
1.235,0.099,0.0707,-0.1259,0.2229,0.047
1.245,0.0957,0.0707,-0.0005,0.2254,0.0461
1.255,0.0925,0.0707,-0.3525,0.2342,0.0617
1.265,0.0896,0.0707,-0.4091,0.2442,0.073
1.275,0.0868,0.0707,0.0632,0.255,0.0668
1.285,0.0841,0.0707,-0.2164,0.2653,0.0472
1.295,0.0816,0.0707,0.3547,0.2729,0.0552
1.305,0.0793,0.0707,-0.2262,0.2766,0.0498
1.315,0.077,0.0707,-0.0177,0.2786,0.0335
1.325,0.0748,0.0707,-0.0408,0.279,0.0316
1.335,0.0728,0.0707,0.1401,0.2772,0.0301
1.345,0.0708,0.0707,0.0845,0.2744,0.0348
1.355,0.069,0.0707,0.4024,0.2684,0.0631
1.365,0.0672,0.0707,-0.191,0.2622,0.0409
1.375,0.0655,0.0707,-0.0755,0.2568,0.0257
1.385,0.0639,0.0707,-0.2028,0.2435,0.0296
1.395,0.0623,0.0707,0.0626,0.2455,0.0231
1.405,0.0608,0.0707,-0.5336,0.2414,0.0591
1.415,0.0594,0.0707,0.1921,0.2367,0.0335
1.425,0.058,0.0707,-0.1609,0.234,0.0281
1.435,0.0566,0.0707,-0.6087,0.2286,0.0462
1.445,0.0554,0.0707,0.2348,0.2204,0.0508
1.455,0.0541,0.0707,0.0374,0.2122,0.0235
1.465,0.053,0.0707,-0.2292,0.2041,0.023
1.475,0.0518,0.0707,-0.2772,0.1957,0.0254
1.485,0.0507,0.0707,-0.0898,0.1901,0.0258
1.495,0.0496,0.0707,-0.2997,0.1871,0.0358
1.505,0.0486,0.0707,-0.4474,0.1856,0.0418
1.515,0.0476,0.0707,0.0541,0.1839,0.0166
1.525,0.0467,0.0707,-0.0057,0.1842,0.0149
1.535,0.0458,0.0707,-0.176,0.1869,0.0271
1.545,0.0449,0.0707,0.2902,0.1892,0.041
1.555,0.044,0.0707,-0.286,0.1957,0.0235
1.565,0.0432,0.0707,0.009,0.1982,0.0114
1.575,0.0423,0.0707,-0.0704,0.203,0.0338
1.585,0.0416,0.0707,0.1865,0.1998,0.0241
1.085,0.2222,0.0844,-1.2347,1.6117,3.2547
1.095,0.2101,0.0844,1.2776,1.2682,0.5051
1.105,0.1992,0.0844,-0.7894,1.0259,0.6983
1.115,0.1893,0.0844,0.2059,0.8646,0.2463
1.125,0.1802,0.0844,0.8354,0.7308,0.2036
1.135,0.1719,0.0844,0.2332,0.6227,0.131
1.145,0.1643,0.0844,-0.3008,0.524,0.1302
1.155,0.1573,0.0844,0.6463,0.4512,0.1267
1.165,0.1507,0.0844,-0.6053,0.3918,0.1179
1.175,0.1447,0.0844,-0.4652,0.343,0.0917
1.185,0.1391,0.0844,-0.3004,0.3047,0.0667
1.195,0.1338,0.0844,-0.7917,0.2744,0.1178
1.205,0.1289,0.0844,-0.7462,0.2517,0.1112
1.215,0.1243,0.0844,-0.3768,0.2353,0.0654
1.225,0.12,0.0844,-0.5032,0.2263,0.0849
1.235,0.1159,0.0844,-0.4618,0.2219,0.0728
1.245,0.1121,0.0844,-0.6137,0.2227,0.0901
1.255,0.1085,0.0844,-0.5013,0.226,0.0837
1.265,0.1051,0.0844,-0.0801,0.2319,0.054
1.275,0.1019,0.0844,-0.3844,0.2381,0.0691
1.285,0.0988,0.0844,-0.5381,0.2449,0.0923
1.295,0.0959,0.0844,0.3837,0.2506,0.0572
1.305,0.0932,0.0844,-0.3089,0.256,0.0682
1.315,0.0906,0.0844,-0.217,0.2612,0.0476
1.325,0.0881,0.0844,-0.3312,0.2651,0.0542
1.335,0.0857,0.0844,0.4538,0.2643,0.069
1.345,0.0834,0.0844,0.0653,0.267,0.0287
1.355,0.0813,0.0844,-0.3743,0.2631,0.051
1.365,0.0792,0.0844,-0.0167,0.2574,0.0308
1.375,0.0772,0.0844,0.154,0.2508,0.0283
1.385,0.0753,0.0844,-0.1072,0.2455,0.0366
1.395,0.0735,0.0844,0.2021,0.2376,0.0253
1.405,0.0717,0.0844,0.141,0.2325,0.0329
1.415,0.07,0.0844,-0.2099,0.2263,0.0296
1.425,0.0684,0.0844,-0.0927,0.2244,0.0289
1.435,0.0669,0.0844,0.0648,0.2183,0.0198
1.445,0.0654,0.0844,-0.0354,0.2121,0.0358
1.455,0.064,0.0844,-0.5079,0.2071,0.0418
1.465,0.0626,0.0844,-0.0578,0.1999,0.0185
1.475,0.0612,0.0844,-0.1451,0.1943,0.019
1.485,0.0599,0.0844,0.2091,0.1877,0.0398
1.495,0.0587,0.0844,-0.0965,0.1835,0.0206
1.505,0.0575,0.0844,-0.0971,0.179,0.0233
1.515,0.0563,0.0844,-0.4075,0.1779,0.0388
1.525,0.0552,0.0844,0.1337,0.1773,0.0314
1.535,0.0541,0.0844,-0.1442,0.1793,0.0183
1.545,0.0531,0.0844,-0.3398,0.1827,0.0449
1.555,0.0521,0.0844,-0.124,0.1876,0.0158
1.565,0.0511,0.0844,0.1674,0.1885,0.0309
1.575,0.0501,0.0844,-0.2781,0.1917,0.0227
1.585,0.0492,0.0844,-0.3431,0.1909,0.0319
1.085,0.2547,0.101,3.5035,1.5358,3.7366
1.095,0.2415,0.101,2.0545,1.2324,0.9518
1.105,0.2294,0.101,0.1782,0.997,0.3758
1.115,0.2184,0.101,-0.7449,0.8356,0.5211
1.125,0.2083,0.101,0.4712,0.7108,0.1769
1.135,0.199,0.101,-1.0188,0.6063,0.2899
1.145,0.1905,0.101,-0.3809,0.5128,0.1509
1.155,0.1825,0.101,0.2343,0.4405,0.1298
1.165,0.1752,0.101,-0.428,0.3796,0.1019
1.175,0.1684,0.101,-0.5443,0.3321,0.1101
