W,x,Q2,g1/F1,dg1/F1(stat),dg1/F1(sys)
1.085,0.1437,0.0496,-1.7962,1.3107,2.6836
1.095,0.1352,0.0496,0.2568,1.0167,0.1248
1.105,0.1275,0.0496,-0.0499,0.8207,0.0867
1.115,0.1207,0.0496,0.4415,0.6984,0.1843
1.125,0.1144,0.0496,-0.0334,0.5397,0.0801
1.135,0.1087,0.0496,-1.0663,0.4796,0.4076
1.145,0.1036,0.0496,0.626,0.4126,0.1311
1.155,0.0988,0.0496,-0.0214,0.3645,0.0468
1.165,0.0945,0.0496,-0.5073,0.3168,0.0789
1.175,0.0904,0.0496,-0.14,0.2785,0.0242
1.185,0.0867,0.0496,0.0476,0.2492,0.0231
1.195,0.0832,0.0496,0.0164,0.2276,0.0133
1.205,0.08,0.0496,-0.4034,0.2099,0.0485
1.215,0.077,0.0496,-0.3662,0.2002,0.0494
1.225,0.0742,0.0496,-0.1449,0.1962,0.0202
1.235,0.0716,0.0496,-0.1749,0.1989,0.0216
1.245,0.0691,0.0496,0.1457,0.2055,0.0188
1.255,0.0668,0.0496,0.0124,0.2177,0.0124
1.265,0.0646,0.0496,0.0554,0.2338,0.0157
1.275,0.0625,0.0496,-0.3459,0.247,0.0494
1.285,0.0606,0.0496,-0.0117,0.2578,0.0191
1.295,0.0587,0.0496,-0.2587,0.2666,0.0454
1.305,0.057,0.0496,-0.1574,0.2664,0.0294
1.315,0.0553,0.0496,-0.5039,0.2623,0.0486
1.325,0.0537,0.0496,0.2897,0.26,0.0417
1.335,0.0522,0.0496,-0.2739,0.2609,0.0287
1.345,0.0508,0.0496,0.3708,0.2556,0.0281
1.355,0.0494,0.0496,-0.152,0.2546,0.0176
1.365,0.0481,0.0496,-0.0535,0.2585,0.0188
1.375,0.0469,0.0496,-0.5323,0.2596,0.049
1.385,0.0457,0.0496,-0.0275,0.2575,0.0123
1.395,0.0445,0.0496,-0.2473,0.2566,0.0218
1.405,0.0434,0.0496,-0.4739,0.251,0.0582
1.415,0.0424,0.0496,0.0655,0.2462,0.0091
1.425,0.0414,0.0496,-0.405,0.2379,0.0305
1.435,0.0404,0.0496,0.2326,0.2317,0.0176
1.445,0.0395,0.0496,-0.133,0.2239,0.0123
1.455,0.0386,0.0496,-0.22,0.2153,0.0466
1.465,0.0377,0.0496,0.0367,0.2059,0.0071
1.475,0.0369,0.0496,-0.0679,0.1985,0.0084
1.485,0.0361,0.0496,-0.1457,0.1913,0.0216
1.495,0.0354,0.0496,-0.267,0.1874,0.0201
1.505,0.0346,0.0496,-0.4191,0.1847,0.03
1.515,0.0339,0.0496,-0.0733,0.1854,0.0095
1.525,0.0332,0.0496,-0.2209,0.1852,0.019
1.535,0.0325,0.0496,0.0856,0.1877,0.0102
1.545,0.0319,0.0496,0.0705,0.1891,0.0186
1.555,0.0313,0.0496,-0.1455,0.1913,0.0134
1.565,0.0307,0.0496,-0.0475,0.1927,0.0093
1.575,0.0301,0.0496,-0.2609,0.1977,0.0325
1.585,0.0295,0.0496,0.0879,0.1989,0.0263
1.085,0.1669,0.0592,0.9436,0.7214,1.1725
1.095,0.1572,0.0592,-0.191,0.5849,0.2008
1.105,0.1486,0.0592,0.1868,0.4986,0.0672
1.115,0.1407,0.0592,-0.0488,0.433,0.0477
1.125,0.1336,0.0592,-0.2343,0.3771,0.0845
1.135,0.1271,0.0592,0.13,0.3334,0.0433
1.145,0.1212,0.0592,-0.0822,0.2983,0.0398
1.155,0.1157,0.0592,-0.3347,0.2684,0.0602
1.165,0.1107,0.0592,-0.0636,0.2434,0.0292
1.175,0.1061,0.0592,-0.2219,0.2218,0.0416
1.185,0.1018,0.0592,-0.1966,0.2037,0.04
1.195,0.0978,0.0592,-0.139,0.1905,0.0217
1.205,0.094,0.0592,-0.2708,0.1788,0.0354
1.215,0.0906,0.0592,-0.4241,0.172,0.0478
1.225,0.0873,0.0592,-0.3005,0.1688,0.049
1.235,0.0842,0.0592,-0.1212,0.1685,0.018
1.245,0.0814,0.0592,-0.4189,0.171,0.042
1.255,0.0787,0.0592,-0.2101,0.1784,0.0316
1.265,0.0761,0.0592,-0.3922,0.1865,0.0392
1.275,0.0737,0.0592,0.2161,0.1944,0.0246
1.285,0.0714,0.0592,-0.1468,0.2034,0.0192
1.295,0.0693,0.0592,-0.4336,0.211,0.0535
1.305,0.0672,0.0592,-0.4383,0.216,0.0555
1.315,0.0653,0.0592,-0.1278,0.2185,0.0295
1.325,0.0634,0.0592,-0.0769,0.2245,0.0155
1.335,0.0617,0.0592,-0.2786,0.228,0.0272
1.345,0.06,0.0592,-0.0906,0.2297,0.0142
1.355,0.0584,0.0592,-0.1851,0.2318,0.0397
1.365,0.0569,0.0592,0.0873,0.2339,0.0228
1.375,0.0554,0.0592,-0.0014,0.2335,0.0151
1.385,0.054,0.0592,-0.5997,0.2307,0.0521
1.395,0.0527,0.0592,0.0892,0.2279,0.0109
1.405,0.0514,0.0592,-0.27,0.2227,0.0278
1.415,0.0502,0.0592,0.0704,0.2181,0.0225
1.425,0.049,0.0592,-0.2042,0.2148,0.0175
1.435,0.0479,0.0592,-0.2458,0.2126,0.0181
1.445,0.0468,0.0592,-0.2038,0.2073,0.0447
1.455,0.0457,0.0592,-0.2608,0.2016,0.0352
1.465,0.0447,0.0592,-0.2009,0.1942,0.0347
1.475,0.0438,0.0592,0.3026,0.1863,0.0258
1.485,0.0428,0.0592,-0.1574,0.1788,0.0239
1.495,0.0419,0.0592,0.0929,0.1732,0.0142
1.505,0.041,0.0592,-0.1651,0.1703,0.0143
1.515,0.0402,0.0592,0.0661,0.1713,0.0094
1.525,0.0394,0.0592,-0.3557,0.1717,0.0268
1.535,0.0386,0.0592,0.1336,0.178,0.0177
1.545,0.0378,0.0592,-0.0041,0.1812,0.0072
1.555,0.0371,0.0592,-0.0565,0.1849,0.0137
1.565,0.0364,0.0592,-0.0126,0.1858,0.0066
1.575,0.0357,0.0592,-0.073,0.1919,0.0138
1.585,0.035,0.0592,0.2325,0.1926,0.0172
1.085,0.1931,0.0707,0.466,0.5847,0.5198
1.095,0.1822,0.0707,0.3544,0.4907,0.2127
1.105,0.1724,0.0707,0.2111,0.4273,0.0574
1.115,0.1636,0.0707,-0.1067,0.38,0.0734
1.125,0.1555,0.0707,0.1402,0.3409,0.0566
1.135,0.1482,0.0707,0.4159,0.3039,0.071
1.145,0.1414,0.0707,0.1541,0.2701,0.019
1.155,0.1352,0.0707,-0.1607,0.2436,0.0338
1.165,0.1294,0.0707,-0.1632,0.2186,0.028
1.175,0.1241,0.0707,0.0704,0.1962,0.0132
1.185,0.1192,0.0707,-0.5662,0.1786,0.0787
1.195,0.1146,0.0707,-0.3191,0.1654,0.0412
1.205,0.1103,0.0707,-0.2903,0.1551,0.0367
1.215,0.1063,0.0707,-0.257,0.1493,0.0312
1.225,0.1025,0.0707,-0.3739,0.1479,0.0409
1.235,0.099,0.0707,-0.1029,0.1497,0.0171
1.245,0.0957,0.0707,-0.0187,0.1548,0.0155
1.255,0.0925,0.0707,-0.263,0.1641,0.0306
1.265,0.0896,0.0707,-0.3033,0.1744,0.0423
1.275,0.0868,0.0707,0.0394,0.1854,0.0407
1.285,0.0841,0.0707,-0.1619,0.1961,0.0239
