W,x,Q2,g1,dg1(stat),dg1(sys)
1.085,0.1437,0.0496,-0.7008,0.5114,0.1148
1.095,0.1352,0.0496,0.1224,0.4848,0.0312
1.105,0.1275,0.0496,-0.0288,0.4732,0.0366
1.115,0.1207,0.0496,0.3061,0.4842,0.1037
1.125,0.1144,0.0496,-0.0278,0.448,0.0599
1.135,0.1087,0.0496,-1.0555,0.4747,0.3334
1.145,0.1036,0.0496,0.7353,0.4846,0.1285
1.155,0.0988,0.0496,-0.0296,0.5045,0.0623
1.165,0.0945,0.0496,-0.8193,0.5116,0.0902
1.175,0.0904,0.0496,-0.2604,0.518,0.032
1.185,0.0867,0.0496,0.1002,0.5243,0.0505
1.195,0.0832,0.0496,0.0382,0.5297,0.0317
1.205,0.08,0.0496,-1.012,0.5265,0.1101
1.215,0.077,0.0496,-0.9628,0.5263,0.1206
1.225,0.0742,0.0496,-0.3882,0.5259,0.049
1.235,0.0716,0.0496,-0.4659,0.5297,0.0511
1.245,0.0691,0.0496,0.3776,0.5327,0.0455
1.255,0.0668,0.0496,0.0309,0.5409,0.0308
1.265,0.0646,0.0496,0.1305,0.5509,0.0366
1.275,0.0625,0.0496,-0.7685,0.5487,0.1
1.285,0.0606,0.0496,-0.0244,0.5392,0.0398
1.295,0.0587,0.0496,-0.5098,0.5252,0.0834
1.305,0.057,0.0496,-0.2931,0.4961,0.051
1.315,0.0553,0.0496,-0.891,0.4638,0.0659
1.325,0.0537,0.0496,0.4893,0.4391,0.0654
1.335,0.0522,0.0496,-0.4445,0.4234,0.0392
1.345,0.0508,0.0496,0.5823,0.4014,0.0364
1.355,0.0494,0.0496,-0.2325,0.3895,0.0255
1.365,0.0481,0.0496,-0.0803,0.3881,0.0282
1.375,0.0469,0.0496,-0.7899,0.3852,0.0773
1.385,0.0457,0.0496,-0.0407,0.3805,0.0185
1.395,0.0445,0.0496,-0.3666,0.3805,0.0387
1.405,0.0434,0.0496,-0.7102,0.3762,0.0977
1.415,0.0424,0.0496,0.1001,0.376,0.0148
1.425,0.0414,0.0496,-0.6354,0.3733,0.0649
1.435,0.0404,0.0496,0.3779,0.3765,0.0383
1.445,0.0395,0.0496,-0.2256,0.3799,0.0265
1.455,0.0386,0.0496,-0.3927,0.3843,0.0881
1.465,0.0377,0.0496,0.0694,0.3887,0.0151
1.475,0.0369,0.0496,-0.1361,0.3977,0.0182
1.485,0.0361,0.0496,-0.309,0.4058,0.0472
1.495,0.0354,0.0496,-0.5951,0.4176,0.0432
1.505,0.0346,0.0496,-0.9686,0.4268,0.0586
1.515,0.0339,0.0496,-0.1729,0.4368,0.0217
1.525,0.0332,0.0496,-0.5222,0.4378,0.039
1.535,0.0325,0.0496,0.2005,0.4395,0.0225
1.545,0.0319,0.0496,0.1625,0.4357,0.0427
1.555,0.0313,0.0496,-0.3293,0.4329,0.0314
1.565,0.0307,0.0496,-0.1058,0.4296,0.0212
1.575,0.0301,0.0496,-0.5758,0.4364,0.0782
1.585,0.0295,0.0496,0.1935,0.4376,0.0587
1.085,0.1669,0.0592,0.3744,0.2863,0.0844
1.095,0.1572,0.0592,-0.0926,0.2835,0.0225
1.105,0.1486,0.0592,0.1095,0.2922,0.0376
1.115,0.1407,0.0592,-0.0344,0.3051,0.0103
1.125,0.1336,0.0592,-0.1977,0.3181,0.0199
1.135,0.1271,0.0592,0.1308,0.3354,0.0491
1.145,0.1212,0.0592,-0.0981,0.3561,0.0327
1.155,0.1157,0.0592,-0.4709,0.3777,0.0513
1.165,0.1107,0.0592,-0.1045,0.3997,0.0414
1.175,0.1061,0.0592,-0.4196,0.4194,0.068
1.185,0.1018,0.0592,-0.4204,0.4357,0.0779
1.195,0.0978,0.0592,-0.3288,0.4508,0.0446
1.205,0.094,0.0592,-0.6907,0.456,0.0876
1.215,0.0906,0.0592,-1.1335,0.4596,0.1249
1.225,0.0873,0.0592,-0.8186,0.4597,0.1301
1.235,0.0842,0.0592,-0.328,0.4561,0.0457
1.245,0.0814,0.0592,-1.1033,0.4502,0.1032
1.255,0.0787,0.0592,-0.5301,0.4501,0.0758
1.265,0.0761,0.0592,-0.9378,0.446,0.0841
1.275,0.0737,0.0592,0.4871,0.4382,0.0558
1.285,0.0714,0.0592,-0.3111,0.4312,0.0355
1.295,0.0693,0.0592,-0.8654,0.4211,0.0969
1.305,0.0672,0.0592,-0.8262,0.4071,0.0941
1.315,0.0653,0.0592,-0.2285,0.3907,0.0505
1.325,0.0634,0.0592,-0.1313,0.3829,0.0246
1.335,0.0617,0.0592,-0.4563,0.3735,0.0361
1.345,0.06,0.0592,-0.1434,0.3636,0.0208
1.355,0.0584,0.0592,-0.2852,0.3572,0.0599
1.365,0.0569,0.0592,0.1318,0.3533,0.0344
1.375,0.0554,0.0592,-0.0021,0.3483,0.0226
1.385,0.054,0.0592,-0.8896,0.3422,0.0835
1.395,0.0527,0.0592,0.1326,0.3388,0.0167
1.405,0.0514,0.0592,-0.4054,0.3343,0.0476
1.415,0.0502,0.0592,0.1075,0.3332,0.0346
1.425,0.049,0.0592,-0.3202,0.3368,0.0346
1.435,0.0479,0.0592,-0.3988,0.3449,0.0396
1.445,0.0468,0.0592,-0.3449,0.3507,0.0792
1.455,0.0457,0.0592,-0.4637,0.3584,0.0709
1.465,0.0447,0.0592,-0.3775,0.365,0.0713
1.475,0.0438,0.0592,0.6027,0.3711,0.0642
1.485,0.0428,0.0592,-0.3317,0.3768,0.0515
1.495,0.0419,0.0592,0.2057,0.3832,0.0308
1.505,0.041,0.0592,-0.3788,0.3906,0.0292
1.515,0.0402,0.0592,0.1547,0.4004,0.0203
1.525,0.0394,0.0592,-0.8343,0.4028,0.0499
1.535,0.0386,0.0592,0.3104,0.4134,0.0391
1.545,0.0378,0.0592,-0.0093,0.414,0.0163
1.555,0.0371,0.0592,-0.1267,0.4149,0.0308
1.565,0.0364,0.0592,-0.0279,0.4107,0.0148
1.575,0.0357,0.0592,-0.1597,0.42,0.0314
1.585,0.035,0.0592,0.5071,0.4201,0.0452
1.085,0.1931,0.0707,0.1882,0.2362,0.0537
1.095,0.1822,0.0707,0.1748,0.242,0.0729
1.105,0.1724,0.0707,0.1258,0.2547,0.0336
1.115,0.1636,0.0707,-0.0764,0.2723,0.0216
1.125,0.1555,0.0707,0.1203,0.2925,0.054
1.135,0.1482,0.0707,0.4256,0.311,0.0747
1.145,0.1414,0.0707,0.1871,0.3279,0.0399
1.155,0.1352,0.0707,-0.2299,0.3486,0.0216
1.165,0.1294,0.0707,-0.2726,0.3651,0.0285
1.175,0.1241,0.0707,0.1354,0.3774,0.0337
1.185,0.1192,0.0707,-1.2321,0.3886,0.1777
1.195,0.1146,0.0707,-0.7683,0.3982,0.102
1.205,0.1103,0.0707,-0.7531,0.4023,0.1001
1.215,0.1063,0.0707,-0.6988,0.4058,0.0876
1.225,0.1025,0.0707,-1.0359,0.4098,0.1184
1.235,0.099,0.0707,-0.2832,0.4121,0.0453
1.245,0.0957,0.0707,-0.0502,0.4143,0.041
1.255,0.0925,0.0707,-0.6742,0.4207,0.0775
1.265,0.0896,0.0707,-0.7365,0.4234,0.1009
1.275,0.0868,0.0707,0.0902,0.4239,0.0936
1.285,0.0841,0.0707,-0.3481,0.4215,0.0479
1.295,0.0816,0.0707,0.5183,0.4142,0.0756
1.305,0.0793,0.0707,-0.3659,0.4019,0.0499
1.315,0.077,0.0707,-0.058,0.3888,0.0231
1.325,0.0748,0.0707,-0.0843,0.3759,0.0219
1.335,0.0728,0.0707,0.1578,0.3624,0.028
1.345,0.0708,0.0707,0.0862,0.3503,0.0361
1.355,0.069,0.0707,0.4862,0.3366,0.0754
1.365,0.0672,0.0707,-0.25,0.3251,0.0416
1.375,0.0655,0.0707,-0.0989,0.3169,0.0201
1.385,0.0639,0.0707,-0.2498,0.3011,0.0268
1.395,0.0623,0.0707,0.0843,0.3065,0.0185
1.405,0.0608,0.0707,-0.6663,0.3062,0.0764
1.415,0.0594,0.0707,0.2638,0.3075,0.0395
1.425,0.058,0.0707,-0.1984,0.3137,0.0324
1.435,0.0566,0.0707,-0.8287,0.3188,0.0773
1.445,0.0554,0.0707,0.3655,0.3222,0.0736
1.455,0.0541,0.0707,0.0817,0.3275,0.028
1.465,0.053,0.0707,-0.3502,0.3345,0.0394
1.475,0.0518,0.0707,-0.4572,0.3413,0.0453
1.485,0.0507,0.0707,-0.1398,0.3523,0.0416
1.495,0.0496,0.0707,-0.559,0.3656,0.0641
1.505,0.0486,0.0707,-0.8828,0.3772,0.0732
1.515,0.0476,0.0707,0.1397,0.3825,0.022
1.525,0.0467,0.0707,0.0167,0.3857,0.019
1.535,0.0458,0.0707,-0.3356,0.389,0.0503
1.545,0.0449,0.0707,0.6292,0.3886,0.0773
1.555,0.044,0.0707,-0.5435,0.3962,0.0447
1.565,0.0432,0.0707,0.0559,0.3965,0.0113
1.575,0.0423,0.0707,-0.1001,0.4032,0.0653
1.585,0.0416,0.0707,0.4116,0.3968,0.0469
1.085,0.2222,0.0844,-0.2276,0.2163,0.0409
1.095,0.2101,0.0844,0.1623,0.2236,0.0535
1.105,0.1992,0.0844,-0.2395,0.2339,0.0238
1.115,0.1893,0.0844,0.0045,0.2522,0.0201
1.125,0.1802,0.0844,0.264,0.2704,0.0622
1.135,0.1719,0.0844,0.0879,0.2898,0.0355
1.145,0.1643,0.0844,-0.1756,0.304,0.0236
1.155,0.1573,0.0844,0.4679,0.3229,0.1
1.165,0.1507,0.0844,-0.5216,0.3414,0.0723
1.175,0.1447,0.0844,-0.4791,0.3579,0.0701
1.185,0.1391,0.0844,-0.3606,0.373,0.0509
1.195,0.1338,0.0844,-1.1161,0.3843,0.1748
1.205,0.1289,0.0844,-1.185,0.392,0.1831
1.215,0.1243,0.0844,-0.667,0.3953,0.0948
1.225,0.12,0.0844,-0.9326,0.3979,0.1444
1.235,0.1159,0.0844,-0.8725,0.3975,0.1172
1.245,0.1121,0.0844,-1.1352,0.3972,0.1529
1.255,0.1085,0.0844,-0.9072,0.3943,0.1306
1.265,0.1051,0.0844,-0.1559,0.391,0.0594
1.275,0.1019,0.0844,-0.6326,0.3854,0.0914
1.285,0.0988,0.0844,-0.8339,0.3789,0.1314
1.295,0.0959,0.0844,0.5596,0.3708,0.0818
1.305,0.0932,0.0844,-0.4665,0.3627,0.0793
1.315,0.0906,0.0844,-0.3321,0.3557,0.039
1.325,0.0881,0.0844,-0.4679,0.3485,0.0508
1.335,0.0857,0.0844,0.5505,0.3373,0.0848
1.345,0.0834,0.0844,0.058,0.3326,0.0217
1.355,0.0813,0.0844,-0.4755,0.3219,0.0463
1.365,0.0792,0.0844,-0.0311,0.3113,0.0269
1.375,0.0772,0.0844,0.1814,0.3019,0.0269
1.385,0.0753,0.0844,-0.127,0.296,0.0355
1.395,0.0735,0.0844,0.2532,0.289,0.0233
1.405,0.0717,0.0844,0.186,0.2873,0.0345
1.415,0.07,0.0844,-0.2499,0.2862,0.0294
