x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),A1,dA1(stat),dA1(sys)
0.0046,1.23,-0.2988,0.4095,0.2656,55.3319,0.9408,-0.0054,0.0074,0.0048
0.0055,1.39,0.0149,0.289,0.2142,49.8228,0.7862,0.0003,0.0058,0.0043
0.007,1.61,-0.0466,0.1779,0.0974,42.3459,0.5758,-0.0011,0.0042,0.0023
0.009,1.91,-0.3105,0.1749,0.1107,35.691,0.396,-0.0087,0.0049,0.0031
0.0154,3.03,-0.0312,0.0908,0.0681,28.3655,0.208,-0.0011,0.0032,0.0024
0.0244,4.11,0.1308,0.0837,0.0593,17.446,0.1009,0.0075,0.0048,0.0034
0.0346,5.6,0.1175,0.0792,0.052,12.3728,0.0619,0.0095,0.0064,0.0042
0.0488,7.64,0.1453,0.0576,0.0402,9.1398,0.0385,0.0159,0.0063,0.0044
0.0767,11.7,0.2981,0.0396,0.0407,5.6563,0.0196,0.0527,0.007,0.0072
0.1215,18.0,0.2904,0.0306,0.0337,3.057,0.0136,0.095,0.01,0.011
0.1715,24.8,0.2394,0.0297,0.0317,1.9782,0.0091,0.121,0.015,0.016
0.2225,31.3,0.1926,0.0265,0.0241,1.2039,0.0043,0.16,0.022,0.02
0.291,39.5,0.1407,0.017,0.0163,0.7404,0.0023,0.19,0.023,0.022
0.406,52.0,0.1034,0.0121,0.0118,0.3262,0.0011,0.317,0.037,0.036
0.5685,67.4,0.0323,0.0054,0.0055,0.0654,0.0004,0.494,0.082,0.084
