x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),A1,dA1(stat),dA1(sys)
0.0046,1.23,-0.3343,0.3268,0.2128,61.9101,5.1092,0.0355,0.3915
0.0055,1.39,0.0166,0.2283,0.1692,55.387,4.2159,0.0017,0.2842
0.007,1.61,-0.0512,0.1387,0.076,46.5101,3.0791,0.0045,0.1582
0.009,1.91,-0.3326,0.1338,0.0857,38.2232,2.1616,0.0221,0.1604
0.0154,3.03,-0.0326,0.0671,0.0504,29.6256,1.1158,0.0014,0.0839
0.0244,4.11,0.1347,0.0611,0.0433,17.9626,0.5087,0.0039,0.075
0.0346,5.6,0.1198,0.0571,0.0376,12.6124,0.2871,0.0023,0.0684
0.0488,7.64,0.147,0.0413,0.0289,9.2448,0.1679,0.0017,0.0504
0.0767,11.7,0.2997,0.0284,0.0292,5.6866,0.0785,0.0016,0.0407
0.1215,18.0,0.2915,0.0219,0.024,3.0687,0.0348,0.0011,0.0325
0.1715,24.8,0.2402,0.0211,0.0226,1.9848,0.0207,0.0008,0.0309
0.2225,31.3,0.1925,0.0188,0.0171,1.2031,0.0113,0.0001,0.0254
0.291,39.5,0.1398,0.012,0.0115,0.7356,0.0064,0.0009,0.0166
0.406,52.0,0.102,0.0085,0.0082,0.3217,0.0031,0.0014,0.0119
0.5685,67.4,0.0318,0.0038,0.0039,0.0644,0.0012,0.0005,0.0054
0.0046,1.10,−0.13,0.17,0.11,,,,,,,,−0.0054,0.0074,0.0048
0.0055,1.22,0.00,0.12,0.09,,,,,,,,0.0003,0.0058,0.0043
0.0070,1.39,−0.016,0.071,0.040,,,,,,,,−0.0011,0.0042,0.0023
0.0090,1.62,−0.121,0.064,0.038,,,,,,,,−0.0087,0.0049,0.0031
0.0141,2.19,−0.010,0.027,0.019,,,,,,,,−0.0011,0.0032,0.0024
0.0244,3.29,0.043,0.028,0.018,,,,,,,,0.0075,0.0048,0.0034 
0.0346,4.43,0.043,0.028,0.018,,,,,,,,0.0095,0.0064,0.0042 
0.0487,6.06,0.051,0.021,0.014,,,,,,,,0.0159,0.0063,0.0044 
0.0766,9.00,0.111,0.015,0.015,,,,,,,,0.0527,0.0070,0.0072 
0.121,13.5,0.123,0.013,0.014,,,,,,,,0.095,0.010,0.011
0.171,18.6,0.101,0.013,0.014,,,,,,,,0.121,0.015,0.016
0.222,23.8,0.0744,0.0096,0.0096,,,,,,,,0.160,0.022,0.020
0.290,31.1,0.076,0.010,0.009,,,,,,,,0.190,0.023,0.022
0.405,43.9,0.0576,0.0069,0.0067,,,,,,,,0.317,0.037,0.036
0.567,60.8,0.0254,0.0042,0.0045,,,,,,,,0.494,0.082,0.084
0.0045,1.03,0.12,0.30,0.23,,,,,,,,0.005,0.013,0.010 
0.0046,1.09,−0.02,0.29,0.19,,,,,,,,−0.001,0.013,0.008
0.0047,1.20,−0.54,0.30,0.19,,,,,,,,−0.023,0.013,0.008
0.0055,1.07,−0.15,0.20,0.12,,,,,,,,−0.008,0.010,0.007
0.0055,1.21,0.06,0.21,0.16,,,,,,,,0.003,0.010,0.008 
0.0056,1.39,0.08,0.22,0.14,,,,,,,,0.004,0.011,0.006 
0.0069,1.13,−0.09,0.11,0.06,,,,,,,,−0.0058,0.0075,0.0042
0.0069,1.39,0.02,0.12,0.07,,,,,,,,0.0011,0.0075,0.0043
0.0072,1.70,0.01,0.13,0.07,,,,,,,,0.0007,0.0075,0.0043
