x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),A1,dA1(stat),dA1(sys)
0.0046,1.23,0.604,0.4306,0.1877,35.5314,3.5594,0.017,0.012,0.005
0.0055,1.39,0.6311,0.3834,0.1688,31.5541,2.9983,0.02,0.012,0.005
0.007,1.61,0.6276,0.2457,0.1194,25.7219,2.2958,0.0244,0.0093,0.0041
0.009,1.91,0.3985,0.2122,0.1298,20.9747,1.682,0.019,0.01,0.006
0.0154,3.03,0.9355,0.1333,0.0992,13.0114,0.8519,0.0719,0.0091,0.006
0.0244,4.11,0.7404,0.0972,0.0698,9.3966,0.428,0.0788,0.0097,0.0065
0.0346,5.6,0.5827,0.0887,0.0695,6.6214,0.2418,0.088,0.013,0.01
0.0488,7.64,0.5526,0.0652,0.0467,4.8477,0.146,0.114,0.013,0.009
0.0767,11.7,0.5015,0.0439,0.041,3.021,0.0711,0.166,0.014,0.013
0.1215,18.0,0.4471,0.0332,0.0332,1.6937,0.0303,0.264,0.019,0.019
0.1715,24.8,0.3325,0.0288,0.0257,1.0455,0.0177,0.318,0.027,0.024
0.2225,31.3,0.2414,0.026,0.0218,0.7162,0.0104,0.337,0.036,0.03
0.291,39.5,0.1754,0.0169,0.0133,0.4509,0.0064,0.389,0.037,0.029
0.406,52.0,0.0994,0.0114,0.0106,0.2053,0.0036,0.484,0.055,0.051
0.5685,67.4,0.0314,0.0049,0.004,0.0429,0.0016,0.73,0.11,0.09
