Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.51,0.024,16.2,,,,,−0.048,0.068,0.009,0.0686,−0.049,0.068,0.009,0.0686
0.55,0.027,16.2,,,,,−0.018,0.065,0.009,0.0656,−0.018,0.065,0.009,0.0656
1.17,0.027,29.1,,,,,−0.058,0.092,0.009,0.0924,−0.048,0.092,0.009,0.0924
0.59,0.031,16.2,,,,,0.019,0.065,0.008,0.0655,0.019,0.065,0.008,0.0655
1.27,0.031,29.1,,,,,0.041,0.04,0.008,0.0408,0.050,0.04,0.008,0.0408
0.31,0.035,9.7,,,,,−0.027,0.055,0.008,0.0556,−0.027,0.055,0.008,0.0556
0.64,0.035,16.2,,,,,−0.015,0.062,0.007,0.0624,−0.015,0.062,0.007,0.0624
1.4,0.035,29.1,,,,,0.008,0.029,0.007,0.0298,0.002,0.028,0.007,0.0289
0.33,0.039,9.7,,,,,0.035,0.053,0.008,0.0536,0.035,0.053,0.008,0.0536
0.68,0.039,16.2,,,,,0.099,0.06,0.007,0.0604,0.098,0.06,0.007,0.0604
1.52,0.039,29.1,,,,,0.062,0.026,0.007,0.0269,0.059,0.026,0.007,0.0269
0.35,0.044,9.7,,,,,0.003,0.054,0.008,0.0546,0.003,0.054,0.008,0.0546
0.73,0.044,16.2,,,,,−0.038,0.052,0.006,0.0523,−0.039,0.052,0.006,0.0523
0.98,0.044,16.2,,,,,−0.943,1.296,0.008,1.296,−0.944,1.296,0.008,1.296
1.65,0.044,29.1,,,,,−0.013,0.025,0.006,0.0257,−0.019,0.025,0.006,0.0257
0.36,0.049,9.7,,,,,0.055,0.057,0.008,0.0576,0.054,0.057,0.008,0.0576
0.78,0.049,16.2,,,,,0.092,0.052,0.006,0.0523,0.091,0.052,0.006,0.0523
1.06,0.049,16.2,,,,,−0.104,0.28,0.008,0.2801,−0.104,0.28,0.008,0.2801
1.78,0.049,29.1,,,,,−0.013,0.024,0.005,0.0245,−0.016,0.024,0.005,0.0245
0.38,0.056,9.7,,,,,−0.045,0.059,0.008,0.0595,−0.046,0.059,0.009,0.0597
0.57,0.056,9.7,,,,,2.992,2.465,0.007,2.465,2.991,2.465,0.007,2.465
0.83,0.056,16.2,,,,,0.007,0.054,0.006,0.0543,0.007,0.054,0.006,0.0543
1.16,0.056,16.2,,,,,0.091,0.153,0.007,0.1532,0.090,0.153,0.007,0.1532
1.92,0.056,29.1,,,,,0.016,0.023,0.005,0.0235,0.021,0.023,0.005,0.0235
0.4,0.063,9.7,,,,,−0.006,0.062,0.009,0.0626,−0.007,0.062,0.01,0.0628
0.6,0.063,9.7,,,,,0.221,0.252,0.007,0.2521,0.220,0.252,0.007,0.2521
0.87,0.063,16.2,,,,,0.049,0.057,0.005,0.0572,0.048,0.057,0.005,0.0572
1.26,0.063,16.2,,,,,−0.004,0.112,0.006,0.1122,−0.005,0.112,0.006,0.1122
2.07,0.063,29.1,,,,,0.014,0.023,0.004,0.0233,0.020,0.023,0.004,0.0233
2.69,0.063,29.1,,,,,−0.446,2.06,0.006,2.06,−0.309,2.063,0.006,2.063
0.41,0.071,9.7,,,,,0.104,0.07,0.011,0.0709,0.102,0.07,0.012,0.071
0.64,0.071,9.7,,,,,−0.072,0.109,0.006,0.1092,−0.074,0.109,0.007,0.1092
0.92,0.071,16.2,,,,,0.064,0.061,0.005,0.0612,0.063,0.061,0.006,0.0613
1.36,0.071,16.2,,,,,0.085,0.095,0.005,0.0951,0.084,0.095,0.005,0.0951
2.22,0.071,29.1,,,,,0.025,0.023,0.004,0.0233,0.023,0.023,0.004,0.0233
2.91,0.071,29.1,,,,,0.063,0.139,0.006,0.1391,0.052,0.139,0.006,0.1391
0.43,0.079,9.7,,,,,−0.014,0.075,0.014,0.0763,−0.016,0.075,0.015,0.0765
0.69,0.079,9.7,,,,,0.029,0.078,0.006,0.0782,0.027,0.078,0.007,0.0783
0.97,0.079,16.2,,,,,−0.043,0.066,0.005,0.0662,−0.044,0.066,0.006,0.0663
1.47,0.079,16.2,,,,,−0.119,0.088,0.005,0.0881,−0.120,0.088,0.005,0.0881
2.38,0.079,29.1,,,,,0.041,0.025,0.004,0.0253,0.043,0.025,0.004,0.0253
3.17,0.079,29.1,,,,,−0.020,0.065,0.005,0.0652,−0.031,0.065,0.005,0.0652
0.44,0.09,9.7,,,,,0.031,0.078,0.018,0.08,0.028,0.078,0.018,0.08
0.74,0.09,9.7,,,,,−0.028,0.062,0.007,0.0624,−0.030,0.062,0.007,0.0624
1.01,0.09,16.2,,,,,0.110,0.071,0.006,0.0713,0.109,0.071,0.006,0.0713
1.58,0.09,16.2,,,,,0.209,0.085,0.004,0.0851,0.208,0.085,0.005,0.0851
2.53,0.09,29.1,,,,,0.077,0.027,0.004,0.0273,0.070,0.027,0.004,0.0273
3.48,0.09,29.1,,,,,0.057,0.045,0.004,0.0452,0.061,0.045,0.004,0.0452
0.45,0.101,9.7,,,,,0.158,0.081,0.023,0.0842,0.154,0.081,0.023,0.0842
0.78,0.101,9.7,,,,,0.039,0.058,0.007,0.0584,0.037,0.058,0.008,0.0585
1.06,0.101,16.2,,,,,0.058,0.077,0.006,0.0772,0.057,0.077,0.006,0.0772
1.69,0.101,16.2,,,,,0.098,0.083,0.004,0.0831,0.097,0.083,0.004,0.0831
2.69,0.101,29.1,,,,,0.056,0.03,0.004,0.0303,0.064,0.03,0.004,0.0303
3.79,0.101,29.1,,,,,0.067,0.038,0.004,0.0382,0.055,0.038,0.004,0.0382
0.47,0.113,9.7,,,,,−0.008,0.086,0.027,0.0901,−0.012,0.086,0.028,0.0904
0.82,0.113,9.7,,,,,0.063,0.057,0.009,0.0577,0.061,0.057,0.009,0.0577
1.1,0.113,16.2,,,,,0.054,0.083,0.007,0.0833,0.052,0.083,0.007,0.0833
1.8,0.113,16.2,,,,,0.052,0.078,0.004,0.0781,0.051,0.078,0.004,0.0781
