x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.0046,1.23,-0.8029,0.5596,0.3223,27.2922,0.4861,-0.0294,0.0205,0.0118
0.0055,1.39,-0.4886,0.4375,0.2659,24.5751,0.4099,-0.0199,0.0178,0.0108
0.007,1.61,-0.5743,0.2785,0.1382,20.8914,0.3063,-0.0275,0.0133,0.0066
0.009,1.91,-0.6825,0.263,0.1625,17.6136,0.2186,-0.0387,0.0149,0.0092
0.0154,3.03,-0.8892,0.1468,0.1032,13.1146,0.1233,-0.0678,0.0112,0.0079
0.0244,4.11,-0.5586,0.1258,0.087,8.544,0.0799,-0.0654,0.0147,0.0102
0.0346,5.6,-0.4321,0.1197,0.0854,6.0043,0.0552,-0.072,0.0199,0.0142
0.0488,7.64,-0.3828,0.0882,0.0614,4.3902,0.0364,-0.0872,0.0201,0.014
0.0767,11.7,-0.1709,0.0604,0.0593,2.6663,0.0176,-0.0641,0.0227,0.0222
0.1215,18.0,-0.1241,0.0464,0.0489,1.386,0.0095,-0.0895,0.0335,0.0353
0.1715,24.8,-0.0661,0.0429,0.0427,0.8592,0.0065,-0.0769,0.0499,0.0497
0.2225,31.3,-0.0285,0.0387,0.034,0.4953,0.0033,-0.0575,0.0781,0.0686
0.291,39.5,-0.0216,0.0251,0.0222,0.2902,0.0016,-0.0744,0.0865,0.0765
0.406,52.0,0.0122,0.0176,0.0168,0.1181,0.0008,0.1033,0.149,0.1423
0.5685,67.4,0.002,0.0077,0.0073,0.0198,0.0003,0.101,0.3889,0.3687
