Q2,W,A1,dA1(stat),dA1(sys),g1,dg1(stat),dg1(sys),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.01739,1.7416,0.37424,0.82333,0.11366,0.51068,1.1242,0.154,0.37073,0.81275,0.11226
0.02078,1.7037,-0.58107,0.83196,0.07267,-0.79744,1.0688,0.09479,-0.57048,0.8176,0.07148
0.02068,1.7409,-0.7563,0.70807,0.09138,-1.0158,0.95785,0.12184,-0.7432,0.69726,0.08997
0.02062,1.7796,-0.16542,0.71482,0.15629,-0.24031,1.015,0.22743,-0.16002,0.70517,0.15427
0.02477,1.6226,0.20181,0.71165,0.04746,0.21867,0.73171,0.04922,0.2062,0.69247,0.04611
0.02468,1.6604,-0.13884,0.60011,0.05401,-0.18142,0.65588,0.06162,-0.13103,0.58601,0.05276
0.02462,1.702,-0.1034,0.43407,0.06513,-0.15159,0.55223,0.08039,-0.0999,0.42521,0.06377
0.0245,1.7406,-0.64177,0.4397,0.06466,-0.86197,0.59084,0.08421,-0.62899,0.43179,0.06344
0.02441,1.7781,0.49001,0.52746,0.19973,0.70088,0.73962,0.28215,0.48609,0.51898,0.1968
0.02973,1.5014,0.06132,0.74523,0.17347,0.07847,0.74895,0.1655,0.06995,0.70756,0.16434
0.02961,1.5419,0.1974,0.57064,0.13353,0.2151,0.57523,0.13388,0.20472,0.54617,0.12732
0.02946,1.5812,-0.34787,0.4811,0.08465,-0.33734,0.4868,0.08471,-0.32116,0.46339,0.08123
0.02934,1.6213,-0.25966,0.40273,0.05449,-0.25115,0.41129,0.05501,-0.23996,0.38994,0.05266
0.02928,1.6614,0.07491,0.36937,0.03964,0.08915,0.40255,0.0428,0.07905,0.3592,0.03846
0.02911,1.7,-0.30475,0.30563,0.03669,-0.38311,0.38415,0.04639,-0.29511,0.29827,0.03579
0.02909,1.7406,0.3729,0.42698,0.06373,0.49683,0.56608,0.08568,0.36567,0.41777,0.06247
0.0291,1.7785,-0.91347,0.80847,0.11154,-1.2679,1.1265,0.15495,-0.89204,0.79317,0.10951
0.03537,1.3808,-0.68662,0.89582,0.14345,-0.44283,0.60567,0.09898,-0.58631,0.80689,0.12998
0.03545,1.4219,-0.32712,0.66416,0.15697,-0.21738,0.47676,0.11588,-0.27443,0.60915,0.14383
0.03529,1.461,-0.35299,0.5062,0.15645,-0.24891,0.42322,0.13231,-0.30651,0.47106,0.14529
0.03514,1.5008,-0.6768,0.37336,0.14549,-0.65707,0.37086,0.13813,-0.62218,0.35141,0.13657
0.03497,1.5404,0.15698,0.33698,0.11936,0.17354,0.3358,0.11876,0.16571,0.32006,0.11295
0.03491,1.581,-0.58779,0.31066,0.08312,-0.57147,0.31171,0.08268,-0.54504,0.29728,0.07919
0.03477,1.62,-0.45038,0.29781,0.05171,-0.44212,0.30164,0.05113,-0.42047,0.2867,0.0496
0.03472,1.6607,-0.48178,0.28171,0.04289,-0.5113,0.30398,0.04564,-0.45891,0.2726,0.04143
0.03463,1.6991,-0.50914,0.45042,0.05118,-0.62492,0.55953,0.06063,-0.49146,0.43759,0.0496
0.03475,1.7404,-0.55861,0.52558,0.05649,-0.72743,0.6928,0.07085,-0.54315,0.51236,0.05495
0.03474,1.7796,-0.50281,0.65491,0.44781,-0.67203,0.90215,0.63763,-0.48644,0.64022,0.43875
0.03583,2.0604,0.36983,0.67841,0.09885,0.70726,1.3194,0.18244,0.36371,0.67108,0.09767
0.04262,1.2216,0.10074,0.54492,0.10561,0.13895,0.68986,0.10611,0.06812,0.40364,0.07615
0.04254,1.261,-0.51734,0.46266,0.08467,-0.54971,0.48439,0.09473,-0.38602,0.365,0.06756
0.04214,1.2998,0.62467,0.4924,0.0696,0.52869,0.39476,0.06601,0.543,0.40826,0.05931
0.04195,1.3401,0.22512,0.51835,0.08345,0.15612,0.35753,0.05991,0.2362,0.44627,0.07489
0.04212,1.3813,-0.47804,0.45061,0.12112,-0.29532,0.3012,0.08345,-0.38909,0.39881,0.10872
0.04183,1.4205,-0.64805,0.38309,0.13931,-0.43358,0.27088,0.1015,-0.55508,0.34642,0.12603
0.04163,1.4602,0.13069,0.33142,0.13586,0.14664,0.27228,0.11246,0.14549,0.30478,0.12457
0.04151,1.4999,-0.63448,0.2821,0.12247,-0.60367,0.27595,0.11427,-0.57339,0.26279,0.11371
0.04152,1.5403,-0.54159,0.26892,0.09623,-0.51213,0.26405,0.0942,-0.49122,0.25318,0.09012
0.04144,1.5801,0.06279,0.25223,0.05807,0.08285,0.24951,0.05706,0.07954,0.2395,0.05471
0.04143,1.6202,0.11885,0.31108,0.03251,0.1361,0.31099,0.03352,0.12943,0.29732,0.03104
0.04142,1.6601,-0.11118,0.38002,0.03417,-0.12869,0.40405,0.03759,-0.09907,0.36549,0.03283
0.04143,1.6999,-0.29541,0.40867,0.03137,-0.3701,0.50199,0.03628,-0.28225,0.39491,0.03011
0.04142,1.7401,0.01892,0.44182,0.07646,0.02261,0.57545,0.1,0.01897,0.42871,0.07428
0.04297,1.9848,0.46054,0.5572,0.05393,0.82088,0.99754,0.09655,0.45128,0.54856,0.05312
0.04257,2.0234,-0.80362,0.34371,0.05638,-1.501,0.63771,0.10199,-0.79511,0.33891,0.05553
0.04201,2.0571,-0.16308,0.26448,0.03757,-0.31841,0.5062,0.06866,-0.16338,0.26112,0.03702
0.05035,1.1814,0.27785,0.43831,0.10985,0.4125,0.35426,0.08341,0.21301,0.28519,0.06713
0.04995,1.2202,-0.53589,0.25811,0.09693,-0.64488,0.32118,0.10953,-0.37316,0.18366,0.06779
0.04965,1.2592,0.02696,0.27646,0.07721,0.06463,0.28921,0.08894,0.03729,0.21114,0.05954
0.04994,1.3,-0.41183,0.32727,0.05227,-0.28425,0.25868,0.04989,-0.30549,0.26407,0.04677
0.04989,1.3404,0.09212,0.31761,0.06438,0.09471,0.21592,0.04759,0.11204,0.26721,0.05929
0.04956,1.3798,0.11894,0.30259,0.09911,0.10819,0.19892,0.06832,0.14281,0.26272,0.08843
0.04952,1.4199,-0.72572,0.30371,0.11934,-0.48561,0.21028,0.0858,-0.61225,0.27013,0.10652
0.04943,1.4597,0.09196,0.28537,0.11409,0.11813,0.23015,0.09139,0.11357,0.25881,0.10302
0.04946,1.5,-0.18606,0.25336,0.09535,-0.15552,0.24318,0.08639,-0.15091,0.23317,0.08732
0.04951,1.5401,-0.25118,0.25113,0.07247,-0.2195,0.24198,0.06961,-0.21244,0.23389,0.06712
0.04949,1.5801,-0.16084,0.26811,0.04477,-0.13266,0.2602,0.04311,-0.12858,0.25223,0.04178
0.04945,1.6201,0.05868,0.30626,0.02128,0.07732,0.30043,0.02107,0.07429,0.29045,0.0202
0.04938,1.6596,0.02433,0.3415,0.02654,0.02756,0.35585,0.03145,0.03292,0.32616,0.02547
0.04945,1.7006,0.4717,0.36379,0.05147,0.57157,0.43927,0.06401,0.45732,0.34941,0.04944
0.04937,1.7394,-0.79685,0.57032,0.09396,-1.0097,0.72443,0.12219,-0.76812,0.54996,0.09075
0.05165,1.8646,-0.44752,0.79329,0.09497,-0.6601,1.2078,0.13743,-0.43214,0.77323,0.09257
0.05129,1.9038,-0.04365,0.38978,0.02555,-0.06872,0.6264,0.04051,-0.04153,0.38097,0.02537
0.05071,1.9422,-0.098,0.26682,0.02533,-0.16314,0.44866,0.04323,-0.09649,0.26142,0.02506
0.05022,1.9817,-0.20801,0.2031,0.03169,-0.36304,0.35561,0.05574,-0.20642,0.19942,0.03118
0.04985,2.0219,-0.38941,0.17062,0.03333,-0.715,0.31019,0.06016,-0.38612,0.16783,0.03274
0.04949,2.0552,-0.24094,0.18627,0.02577,-0.46225,0.34917,0.04755,-0.24018,0.18349,0.02532
0.0592,1.1405,-0.08939,0.87623,0.21392,0.12005,0.19087,0.03686,0.05011,0.4719,0.10312
0.05896,1.1801,-0.46631,0.33063,0.1022,-0.38072,0.25081,0.08734,-0.27798,0.20443,0.05976
0.05931,1.2201,-0.69522,0.2144,0.10741,-0.82885,0.2606,0.11455,-0.46754,0.14601,0.07014
0.05948,1.26,0.30235,0.21991,0.07908,0.33582,0.22457,0.09079,0.24202,0.16171,0.05825
0.05915,1.2995,-0.24633,0.24536,0.04736,-0.16698,0.19103,0.04794,-0.15818,0.19195,0.0435
0.05896,1.3394,-0.18121,0.26847,0.05908,-0.07752,0.17908,0.04569,-0.11173,0.22009,0.05655
0.05901,1.3797,-0.69013,0.27277,0.08806,-0.40888,0.17512,0.06054,-0.53775,0.23164,0.07867
0.05904,1.4196,-0.52658,0.27402,0.09989,-0.32139,0.18516,0.07008,-0.41545,0.2391,0.08789
0.05911,1.46,-0.16022,0.26689,0.08994,-0.09287,0.21014,0.06965,-0.10835,0.23808,0.07985
0.05915,1.5002,-0.03863,0.22282,0.06986,-0.01021,0.20887,0.06121,-0.01045,0.20221,0.06302
0.05902,1.5398,-0.1012,0.2283,0.05146,-0.06936,0.2149,0.04831,-0.06803,0.21004,0.04714
0.059,1.5799,-0.14273,0.25811,0.03839,-0.10657,0.24461,0.03611,-0.10452,0.24024,0.03561
0.05901,1.62,-0.29162,0.28869,0.03019,-0.25708,0.27647,0.02857,-0.25233,0.27131,0.02836
0.05893,1.6596,-0.05646,0.31,0.02874,-0.04534,0.31529,0.03043,-0.04183,0.29367,0.02698
0.05907,1.7007,-0.43476,0.42823,0.04451,-0.50561,0.50282,0.053,-0.40918,0.40826,0.04212
0.05902,1.7391,-0.87385,0.52058,0.06373,-1.0895,0.64833,0.07963,-0.83771,0.49924,0.06087
0.05922,1.7789,0.45363,0.36018,0.06372,0.60232,0.46979,0.0824,0.44373,0.34705,0.06133
0.06076,1.8217,-0.23594,0.3227,0.04307,-0.32049,0.44736,0.05826,-0.22144,0.31201,0.04203
0.06042,1.8627,-0.39544,0.21783,0.02787,-0.5709,0.32149,0.04194,-0.3794,0.21142,0.02791
0.05975,1.9009,-0.32344,0.16464,0.0284,-0.49784,0.25622,0.04435,-0.31339,0.16031,0.02823
0.0594,1.9408,-0.22048,0.14778,0.02824,-0.36064,0.24116,0.04662,-0.21592,0.1443,0.02792
0.05916,1.9805,0.11942,0.14198,0.03012,0.20232,0.24139,0.05154,0.11434,0.13897,0.02962
0.059,2.0203,-0.24558,0.13746,0.02966,-0.44302,0.24269,0.05225,-0.24445,0.13482,0.02917
0.05889,2.0538,0.09196,0.22711,0.02461,0.15674,0.41224,0.04442,0.08702,0.22306,0.0243
