x,Q2,g1,dg1(stat),dg1(sys),F1,g1/F1,dg1/F1(stat),dg1/F1(sys)
0.0046,1.23,-0.7409,0.4788,0.2535,22.8933,-0.0324,0.0209,0.0111
0.0055,1.39,-0.4883,0.3993,0.2314,24.3547,-0.02,0.0164,0.0095
0.007,1.61,-0.4827,0.2193,0.1066,17.702,-0.0273,0.0124,0.006
0.009,1.91,-0.5138,0.1977,0.1215,14.3055,-0.0359,0.0138,0.0085
0.0154,3.03,-0.6456,0.1002,0.0696,9.5048,-0.0679,0.0105,0.0073
0.0244,4.11,-0.4286,0.0845,0.0581,6.1529,-0.0697,0.0137,0.0094
0.0346,5.6,-0.3345,0.0807,0.0584,4.3329,-0.0772,0.0186,0.0135
0.0488,7.64,-0.2991,0.059,0.041,3.1291,-0.0956,0.0189,0.0131
0.0767,11.7,-0.1724,0.0418,0.0407,1.9584,-0.088,0.0213,0.0208
0.1215,18.0,-0.1493,0.036,0.0376,1.1571,-0.129,0.0311,0.0325
0.1715,24.8,-0.1171,0.0347,0.0337,0.7227,-0.162,0.048,0.0466
0.2225,31.3,-0.0586,0.0335,0.0292,0.473,-0.1239,0.0708,0.0617
0.291,39.5,-0.0439,0.0218,0.019,0.2747,-0.1598,0.0794,0.0692
0.406,52.0,-0.0068,0.0152,0.0144,0.1087,-0.0626,0.1398,0.1325
0.5685,67.4,-0.0032,0.0084,0.0078,0.0243,-0.1317,0.3457,0.321
