x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.0046,1.23,-0.8777,0.5711,0.3073,32.9568,6.5515,-0.0266,0.0173,0.0093
0.0055,1.39,-0.6174,0.4659,0.2588,29.397,5.3336,-0.021,0.0158,0.0088
0.007,1.61,-0.6694,0.293,0.148,24.1034,3.8143,-0.0278,0.0122,0.0061
0.009,1.91,-0.6829,0.2659,0.1648,19.7808,2.5764,-0.0345,0.0134,0.0083
0.0154,3.03,-0.9641,0.1571,0.1172,14.1063,1.1435,-0.0683,0.0111,0.0083
0.0244,4.11,-0.6219,0.1233,0.0881,8.9136,0.5561,-0.0698,0.0138,0.0099
0.0346,5.6,-0.475,0.1146,0.0843,6.2306,0.3142,-0.0762,0.0184,0.0135
0.0488,7.64,-0.4195,0.0839,0.0595,4.502,0.1806,-0.0932,0.0186,0.0132
0.0767,11.7,-0.2281,0.0572,0.0557,2.7028,0.0826,-0.0844,0.0212,0.0206
0.1215,18.0,-0.1811,0.0436,0.0455,1.3868,0.0384,-0.1306,0.0314,0.0328
0.1715,24.8,-0.1132,0.0398,0.0389,0.8544,0.0226,-0.1325,0.0466,0.0455
0.2225,31.3,-0.0649,0.0357,0.0311,0.4861,0.0133,-0.1335,0.0734,0.064
0.291,39.5,-0.0465,0.0231,0.0201,0.28,0.0079,-0.1661,0.0825,0.0718
0.406,52.0,-0.0041,0.016,0.0152,0.1136,0.0041,-0.0361,0.1408,0.1338
0.5685,67.4,-0.0017,0.0069,0.0065,0.0205,0.0022,-0.0829,0.3366,0.3171
