Q2,x,theta,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.277,,45.0,47.4,,,,,0.007,0.068,0.01,0.0687,,,,
0.325,,45.0,47.4,,,,,0.008,0.041,0.008,0.0418,,,,
0.374,,45.0,47.4,,,,,0.065,0.034,0.011,0.0357,,,,
0.424,,45.0,47.4,,,,,-0.066,0.038,0.013,0.0402,,,,
0.473,,45.0,47.4,,,,,-0.058,0.047,0.014,0.049,,,,
0.277,,45.0,58.9,,,,,0.143,0.112,0.014,0.1129,0.127,0.116,0.035,0.1212
0.325,,45.0,58.9,,,,,-0.019,0.056,0.009,0.0567,-0.031,0.058,0.009,0.0587
0.374,,45.0,58.9,,,,,0.031,0.046,0.009,0.0469,0.035,0.049,0.01,0.05
0.424,,45.0,58.9,,,,,-0.049,0.05,0.012,0.0514,-0.039,0.053,0.013,0.0546
0.474,,45.0,58.9,,,,,-0.044,0.062,0.015,0.0638,-0.044,0.066,0.017,0.0682
0.524,,45.0,58.9,,,,,0.098,0.082,0.017,0.0837,0.109,0.088,0.019,0.09
0.573,,45.0,58.9,,,,,0.132,0.116,0.021,0.1179,0.135,0.126,0.023,0.1281
3.08,0.277,45.0,,0.061,0.0804,0.0166,0.0821,0.044,0.058,0.012,0.0592,0.043,0.06,0.022,0.0639
3.08,0.325,45.0,,-0.0022,0.0357,0.0097,0.037,-0.002,0.033,0.009,0.0342,-0.004,0.035,0.009,0.0361
3.08,0.374,45.0,,0.0446,0.0236,0.0084,0.0251,0.053,0.028,0.01,0.0297,0.078,0.029,0.012,0.0314
3.08,0.424,45.0,,-0.0394,0.0197,0.0079,0.0212,-0.06,0.03,0.012,0.0323,-0.055,0.032,0.014,0.0349
3.08,0.474,45.0,,-0.0272,0.019,0.0077,0.0205,-0.053,0.037,0.015,0.0399,-0.044,0.04,0.016,0.0431
3.08,0.548,45.0,,0.0393,0.0239,0.0068,0.0248,0.11,0.067,0.019,0.0696,0.118,0.072,0.021,0.075
