Q2,x,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.1,0.035,-0.269,0.182,0.065,0.1933,-10.68,12.22,3.17,12.6245,-0.092,0.061,0.022,0.0648
1.2,0.05,-0.177,0.083,0.033,0.0893,2.44,4.92,1.63,5.183,-0.082,0.038,0.017,0.0416
1.8,0.081,-0.151,0.044,0.025,0.0506,-0.74,1.96,0.87,2.1444,-0.109,0.031,0.021,0.0374
2.5,0.124,-0.146,0.031,0.022,0.038,-0.29,1.07,0.49,1.1769,-0.162,0.033,0.03,0.0446
3.1,0.174,-0.105,0.026,0.017,0.0311,-0.88,0.74,0.34,0.8144,-0.17,0.041,0.042,0.0587
3.7,0.245,-0.045,0.018,0.009,0.0201,-0.11,0.39,0.18,0.4295,-0.113,0.044,0.055,0.0704
4.4,0.341,0.011,0.019,0.005,0.0196,0.16,0.28,0.09,0.2941,0.05,0.083,0.108,0.1362
5.5,0.466,0.0,0.016,0.003,0.0163,-0.22,0.2,0.05,0.2062,0.006,0.159,0.108,0.1922
2.0,0.035,-0.311,0.207,0.074,0.2198,,,,,,,,
2.0,0.05,-0.195,0.09,0.036,0.0969,,,,,,,,
2.0,0.081,-0.154,0.044,0.026,0.0511,,,,,,,,
2.0,0.124,-0.142,0.031,0.022,0.038,,,,,,,,
2.0,0.174,-0.099,0.026,0.016,0.0305,,,,,,,,
2.0,0.245,-0.042,0.018,0.009,0.0201,,,,,,,,
2.0,0.341,0.01,0.02,0.006,0.0209,,,,,,,,
2.0,0.466,0.0,0.02,0.003,0.0202,,,,,,,,
1.3,0.082,,,,,,,,,-0.13,,,0.08
1.6,0.082,,,,,,,,,-0.11,,,0.05
1.9,0.082,,,,,,,,,-0.18,,,0.07
2.0,0.082,,,,,,,,,0.01,,,0.1
2.5,0.082,,,,,,,,,-0.08,,,0.1
2.9,0.082,,,,,,,,,-0.07,,,0.13
1.5,0.124,,,,,,,,,-0.24,,,0.1
2.0,0.124,,,,,,,,,-0.04,,,0.07
2.4,0.124,,,,,,,,,-0.12,,,0.1
2.5,0.124,,,,,,,,,-0.16,,,0.09
3.1,0.124,,,,,,,,,-0.24,,,0.07
3.6,0.124,,,,,,,,,-0.2,,,0.09
1.7,0.175,,,,,,,,,0.01,,,0.15
2.2,0.175,,,,,,,,,-0.05,,,0.09
2.7,0.175,,,,,,,,,-0.14,,,0.15
2.9,0.175,,,,,,,,,-0.22,,,0.1
3.7,0.175,,,,,,,,,-0.23,,,0.07
4.4,0.175,,,,,,,,,-0.24,,,0.1
1.8,0.246,,,,,,,,,0.05,,,0.17
2.4,0.246,,,,,,,,,-0.05,,,0.1
3.0,0.246,,,,,,,,,-0.34,,,0.17
3.4,0.246,,,,,,,,,-0.13,,,0.12
4.3,0.246,,,,,,,,,-0.16,,,0.07
5.2,0.246,,,,,,,,,-0.02,,,0.11
2.0,0.343,,,,,,,,,0.3,,,0.34
2.6,0.343,,,,,,,,,0.0,,,0.18
3.3,0.343,,,,,,,,,-0.25,,,0.38
3.8,0.343,,,,,,,,,-0.12,,,0.24
5.0,0.343,,,,,,,,,-0.05,,,0.13
6.1,0.343,,,,,,,,,0.47,,,0.2
