Q2,x,g1,dg1(stat),dg1(sys),dg1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.2,0.014,-0.351,0.115,0.11,0.1591,-0.058,0.019,0.018,0.0262
1.6,0.024,-0.374,0.071,0.065,0.0963,-0.08,0.015,0.014,0.0205
2.0,0.035,-0.29,0.061,0.039,0.0724,-0.078,0.018,0.011,0.0211
2.6,0.049,-0.204,0.04,0.022,0.0457,-0.086,0.016,0.01,0.0189
4.4,0.081,-0.137,0.021,0.016,0.0264,-0.092,0.013,0.011,0.017
6.6,0.123,-0.108,0.015,0.012,0.0192,-0.106,0.014,0.012,0.0184
8.2,0.173,-0.061,0.014,0.009,0.0166,-0.092,0.021,0.012,0.0242
9.8,0.242,-0.042,0.011,0.007,0.013,-0.112,0.028,0.02,0.0344
11.7,0.342,-0.017,0.011,0.005,0.0121,-0.068,0.065,0.025,0.0696
13.3,0.441,-0.007,0.011,0.002,0.0112,-0.003,0.142,0.022,0.1437
15.0,0.564,0.003,0.008,0.001,0.0081,0.1,0.294,0.039,0.2966
5.0,0.014,-0.497,0.163,0.155,0.2249,,,,
5.0,0.024,-0.481,0.092,0.083,0.1239,,,,
5.0,0.035,-0.345,0.073,0.047,0.0868,,,,
5.0,0.049,-0.228,0.045,0.025,0.0515,,,,
5.0,0.081,-0.139,0.022,0.016,0.0272,,,,
5.0,0.123,-0.105,0.014,0.012,0.0184,,,,
5.0,0.173,-0.06,0.014,0.009,0.0166,,,,
5.0,0.242,-0.043,0.011,0.007,0.013,,,,
5.0,0.342,-0.018,0.013,0.005,0.0139,,,,
5.0,0.441,-0.009,0.014,0.003,0.0143,,,,
5.0,0.564,0.005,0.012,0.002,0.0122,,,,
