x,Q2,g1/F1n,dg1/F1n(stat),dg1/F1n(sys)
0.0046,1.23,-0.0167,-0.011,0.005
0.0055,1.39,-0.015,,
0.007,1.61,-0.0184,-0.0077,0.0037
0.009,1.91,-0.0193,-0.0085,0.0049
0.0154,3.03,-0.0462,-0.0071,0.0045
0.0244,4.11,-0.0532,-0.0083,0.0057
0.0346,5.6,-0.0617,-0.0114,0.0091
0.0488,7.64,-0.0787,-0.0111,0.0085
0.0767,11.7,-0.1015,-0.0129,0.0132
0.1215,18.0,-0.187,-0.0219,0.0229
0.1715,24.8,-0.2405,-0.0331,0.0319
0.2225,31.3,-0.4468,-0.054,0.0468
0.291,39.5,-0.3442,-0.0667,0.0551
0.406,52.0,-0.3717,-0.1127,0.1035
0.5685,67.4,-0.7985,-1.9039,0.3287
