x,Q2,g1/F1n,dg1/F1n(stat),dg1/F1n(sys)
0.0046,1.23,    -0.0191,-0.0121,-0.0057
0.0055,1.39,    -0.0185,-0.011,-0.0047
0.007,1.61,     -0.025,-0.0097,-0.005
0.009,1.91,     -0.029,-0.0123,-0.0074
0.0154,3.03,    -0.0769,-0.0101,-0.0076
0.0244,4.11,    -0.0822,-0.0119,-0.0089
0.0346,5.6,     -0.0868,-0.0154,-0.0128
0.0488,7.64,    -0.1068,-0.0145,-0.0116
0.0767,11.7,    -0.1286,-0.016,-0.0168
0.1215,18.0,    -0.2086,-0.0239,-0.0257
0.1715,24.8,    -0.2678,-0.0363,-0.0356
0.2225,31.3,    -0.4332,-0.0512,-0.0457
0.291,39.5,     -0.3272,-0.0628,-0.0525
0.406,52.0,     -0.3502,-0.1055,-0.0977
0.5685,67.4,    -0.5833,-1.3897,-0.2408
