x,Q2,g1/F1n,dg1/F1n(stat),dg1/F1n(sys)
0.0046,1.23,-0.024,0.0152,0.0072
0.0055,1.39,-0.0181,,
0.007,1.61,-0.0251,0.0098,0.005
0.009,1.91,-0.0266,0.0113,0.0067
0.0154,3.03,-0.0685,0.0089,0.0067
0.0244,4.11,-0.0771,0.0111,0.0082
0.0346,5.6,-0.0888,0.0157,0.013
0.0488,7.64,-0.1132,0.0153,0.0122
0.0767,11.7,-0.1401,0.0173,0.0183
0.1215,18.0,-0.2241,0.0256,0.0274
0.1715,24.8,-0.2843,0.0384,0.0377
0.2225,31.3,-0.4592,0.054,0.0481
0.291,39.5,-0.3508,0.0672,0.0562
0.406,52.0,-0.3886,0.117,0.1082
0.5685,67.4,-0.6723,1.6015,0.2768
