W,x,Q2,A1,dA1(stat),dA1(sys),,,	
1.13,0.1115,0.0496,0.0526,0.7281,0.3039,,,
1.15,0.1011,0.0496,-0.4909,0.4117,0.2283,,,
1.17,0.0924,0.0496,-0.2476,0.2445,0.1487,,,
1.19,0.0849,0.0496,-0.2228,0.1673,0.1145,,,
1.21,0.0785,0.0496,-0.3349,0.1235,0.1016,,,
1.23,0.0729,0.0496,-0.1657,0.1117,0.0944,,,
1.25,0.0679,0.0496,-0.2932,0.1141,0.0982,,,
1.27,0.0635,0.0496,-0.0711,0.1273,0.0983,,,
1.29,0.0596,0.0496,0.1618,0.1347,0.0982,,,
1.31,0.0561,0.0496,-0.2442,0.1403,0.0981,,,
1.33,0.0529,0.0496,-0.1294,0.1356,0.0905,,,
1.35,0.0501,0.0496,-0.1233,0.1369,0.0819,,,
1.37,0.0475,0.0496,-0.1501,0.1327,0.0727,,,
1.39,0.0451,0.0496,-0.1745,0.1328,0.0654,,,
1.41,0.0429,0.0496,-0.2989,0.1261,0.0607,,,
1.43,0.0409,0.0496,-0.155,0.1193,0.0582,,,
1.45,0.039,0.0496,-0.0256,0.1039,0.058,,,
1.47,0.0373,0.0496,-0.0008,0.0885,0.0575,,,
1.49,0.0357,0.0496,0.0699,0.076,0.0548,,,
1.51,0.0343,0.0496,-0.2326,0.07,0.0549,,,
1.53,0.0329,0.0496,-0.0511,0.0686,0.048,,,
1.55,0.0316,0.0496,-0.1236,0.0742,0.0456,,,
1.57,0.0304,0.0496,0.0608,0.0811,0.0376,,,
1.59,0.0292,0.0496,-0.0427,0.0858,0.0288,,,
1.61,0.0282,0.0496,-0.0571,0.0879,0.0231,,,
1.63,0.0272,0.0496,-0.1204,0.0888,0.0226,,,
1.65,0.0262,0.0496,-0.2287,0.0856,0.0266,,,
1.11,0.1445,0.0592,0.208,0.8606,0.5108,,,
1.13,0.1303,0.0592,0.7365,0.4207,0.3264,,,
1.15,0.1184,0.0592,-0.017,0.2482,0.2159,,,
1.17,0.1084,0.0592,-0.3001,0.1632,0.153,,,
1.19,0.0997,0.0592,-0.2348,0.1175,0.1125,,,
1.21,0.0923,0.0592,-0.2695,0.0945,0.0965,,,
1.23,0.0857,0.0592,-0.2542,0.0856,0.0895,,,
1.25,0.08,0.0592,-0.039,0.0939,0.0823,,,
1.27,0.0749,0.0592,-0.2882,0.1087,0.0877,,,
1.29,0.0703,0.0592,-0.0445,0.1296,0.0899,,,
1.31,0.0662,0.0592,0.0286,0.1372,0.0912,,,
1.33,0.0626,0.0592,0.085,0.1366,0.088,,,
1.35,0.0592,0.0592,0.0387,0.1362,0.0817,,,
1.37,0.0562,0.0592,0.0403,0.1365,0.0733,,,
