W,x,Q2,A1,dA1(stat),dA1(sys)
1.175,0.5863,0.707,-0.335,0.2194,0.138
1.225,0.5332,0.707,-0.2166,0.1541,0.0837
1.275,0.4873,0.707,-0.039,0.1517,0.1053
1.325,0.4472,0.707,0.2692,0.161,0.1288
1.375,0.412,0.707,0.2568,0.1434,0.1258
1.425,0.381,0.707,0.6681,0.1145,0.1152
1.475,0.3533,0.707,0.5625,0.0964,0.1062
1.525,0.3287,0.707,0.5584,0.0842,0.0734
1.575,0.3066,0.707,0.6087,0.0822,0.0613
1.625,0.2867,0.707,0.453,0.0753,0.0487
1.675,0.2687,0.707,0.3242,0.0657,0.0505
1.725,0.2524,0.707,0.4007,0.058,0.0402
1.775,0.2376,0.707,0.2443,0.0576,0.0345
1.825,0.224,0.707,0.1952,0.0561,0.0358
1.875,0.2116,0.707,0.0743,0.0583,0.0396
1.925,0.2002,0.707,0.1909,0.0535,0.0424
1.975,0.1898,0.707,0.121,0.0512,0.0424
2.025,0.1801,0.707,0.1648,0.047,0.0284
2.075,0.1711,0.707,0.224,0.0462,0.0282
2.125,0.1629,0.707,0.2341,0.0432,0.0251
2.175,0.1552,0.707,0.229,0.0417,0.0228
2.225,0.148,0.707,0.1781,0.0398,0.0208
2.275,0.1414,0.707,0.1483,0.0392,0.0198
2.325,0.1352,0.707,0.2073,0.0436,0.0192
2.375,0.1293,0.707,0.2041,0.0459,0.0188
2.425,0.1239,0.707,0.0745,0.045,0.0176
2.475,0.1188,0.707,0.1183,0.0419,0.0162
2.525,0.114,0.707,0.1675,0.0402,0.0155
2.575,0.1095,0.707,0.1522,0.0384,0.0143
2.625,0.1053,0.707,0.1468,0.0402,0.0142
2.675,0.1013,0.707,0.1903,0.0377,0.0138
2.725,0.0975,0.707,0.1496,0.0398,0.0133
2.775,0.0939,0.707,0.0695,0.0367,0.012
2.825,0.0906,0.707,0.1701,0.0368,0.0124
2.875,0.0874,0.707,0.107,0.0348,0.0115
2.925,0.0844,0.707,0.0816,0.0351,0.0114
2.975,0.0815,0.707,0.0321,0.0337,0.0106
3.025,0.0788,0.707,0.0895,0.0365,0.0127
3.075,0.0762,0.707,0.1251,0.0406,0.0181
1.175,0.6285,0.844,-0.0139,0.1992,0.1194
1.225,0.5769,0.844,-0.6755,0.1356,0.1112
1.275,0.5315,0.844,-0.1171,0.1361,0.1044
1.325,0.4913,0.844,0.4928,0.143,0.13
1.375,0.4555,0.844,0.2868,0.14,0.126
1.425,0.4235,0.844,0.2757,0.1125,0.1118
1.475,0.3948,0.844,0.7323,0.1003,0.1189
1.525,0.3689,0.844,0.4581,0.0759,0.0725
1.575,0.3455,0.844,0.3874,0.0726,0.0606
1.625,0.3243,0.844,0.4012,0.0683,0.0493
1.675,0.3049,0.844,0.2503,0.0663,0.0472
1.725,0.2873,0.844,0.4461,0.0621,0.0426
1.775,0.2711,0.844,0.4263,0.0624,0.0382
1.825,0.2563,0.844,0.3647,0.0608,0.0406
1.875,0.2427,0.844,0.1769,0.0588,0.0439
1.925,0.2301,0.844,0.1235,0.0555,0.0453
1.975,0.2185,0.844,0.2626,0.051,0.0463
2.025,0.2077,0.844,0.265,0.0511,0.0307
2.075,0.1978,0.844,0.2154,0.0514,0.0321
2.125,0.1885,0.844,0.202,0.05,0.0289
2.175,0.1798,0.844,0.2893,0.0446,0.0255
2.225,0.1718,0.844,0.1607,0.041,0.0229
2.275,0.1643,0.844,0.1926,0.0441,0.022
2.325,0.1572,0.844,0.2127,0.045,0.0208
2.375,0.1506,0.844,0.1716,0.0432,0.0193
2.425,0.1444,0.844,0.2258,0.0412,0.0183
2.475,0.1386,0.844,0.1308,0.0444,0.0179
2.525,0.1332,0.844,0.2328,0.0446,0.0178
2.575,0.128,0.844,0.1208,0.044,0.0165
2.625,0.1232,0.844,0.1692,0.038,0.0146
2.675,0.1186,0.844,0.2294,0.037,0.0144
2.725,0.1142,0.844,0.2072,0.0357,0.0141
2.775,0.1101,0.844,0.158,0.0371,0.0139
2.825,0.1063,0.844,0.2303,0.0388,0.0148
2.875,0.1026,0.844,0.1144,0.0379,0.0138
2.925,0.0991,0.844,0.2147,0.0397,0.0171
2.975,0.0958,0.844,0.1621,0.0363,0.0162
