W,x,Q2,g1,dg1(stat),dg1(sys)
1.175,0.5863,0.707,-0.0474,0.0243,0.0067
1.225,0.5332,0.707,-0.062,0.0364,0.0084
1.275,0.4873,0.707,-0.0177,0.0275,0.0072
1.325,0.4472,0.707,0.033,0.0245,0.0072
1.375,0.412,0.707,0.0379,0.0231,0.0087
1.425,0.381,0.707,0.1351,0.0229,0.0125
1.475,0.3533,0.707,0.1802,0.0297,0.0177
1.525,0.3287,0.707,0.236,0.0336,0.021
1.575,0.3066,0.707,0.2273,0.0282,0.0138
1.625,0.2867,0.707,0.196,0.0289,0.0111
1.675,0.2687,0.707,0.1904,0.034,0.0134
1.725,0.2524,0.707,0.2336,0.0301,0.0148
1.775,0.2376,0.707,0.1475,0.0281,0.0114
1.825,0.224,0.707,0.1297,0.0287,0.0143
1.875,0.2116,0.707,0.0722,0.0325,0.0197
1.925,0.2002,0.707,0.1461,0.0323,0.0231
1.975,0.1898,0.707,0.1078,0.0326,0.0255
2.025,0.1801,0.707,0.1402,0.0314,0.0169
2.075,0.1711,0.707,0.186,0.0325,0.0181
2.125,0.1629,0.707,0.1996,0.0319,0.0166
2.175,0.1552,0.707,0.2021,0.0322,0.0158
2.225,0.148,0.707,0.1677,0.032,0.015
2.275,0.1414,0.707,0.1475,0.0329,0.0152
2.325,0.1352,0.707,0.2028,0.0381,0.0155
2.375,0.1293,0.707,0.206,0.0416,0.0163
2.425,0.1239,0.707,0.09,0.0424,0.0162
2.475,0.1188,0.707,0.1345,0.0409,0.0154
2.525,0.114,0.707,0.1876,0.0407,0.0156
2.575,0.1095,0.707,0.1768,0.0404,0.0151
2.625,0.1053,0.707,0.1757,0.0437,0.016
2.675,0.1013,0.707,0.2295,0.0424,0.0163
2.725,0.0975,0.707,0.1886,0.0463,0.0167
2.775,0.0939,0.707,0.0974,0.0441,0.0161
2.825,0.0906,0.707,0.2245,0.0457,0.0174
2.875,0.0874,0.707,0.1497,0.0446,0.017
2.925,0.0844,0.707,0.1199,0.0464,0.0178
2.975,0.0815,0.707,0.0551,0.046,0.0176
3.025,0.0788,0.707,0.1366,0.0514,0.0209
3.075,0.0762,0.707,0.1917,0.0589,0.0286
1.175,0.6285,0.844,-0.0085,0.0187,0.005
1.225,0.5769,0.844,-0.1398,0.0266,0.0127
1.275,0.5315,0.844,-0.0253,0.0207,0.006
1.325,0.4913,0.844,0.0585,0.0185,0.006
1.375,0.4555,0.844,0.0379,0.0194,0.0077
1.425,0.4235,0.844,0.0496,0.0194,0.0104
1.475,0.3948,0.844,0.1984,0.0263,0.0158
1.525,0.3689,0.844,0.1646,0.0254,0.0165
1.575,0.3455,0.844,0.1296,0.0213,0.011
1.625,0.3243,0.844,0.1512,0.0225,0.0097
1.675,0.3049,0.844,0.1304,0.0293,0.0115
1.725,0.2873,0.844,0.2243,0.0281,0.015
1.775,0.2711,0.844,0.2082,0.0268,0.0128
1.825,0.2563,0.844,0.1917,0.0275,0.015
1.875,0.2427,0.844,0.1151,0.0291,0.0193
1.925,0.2301,0.844,0.0942,0.0297,0.0224
1.975,0.2185,0.844,0.1765,0.0289,0.0247
2.025,0.2077,0.844,0.1848,0.0302,0.0165
2.075,0.1978,0.844,0.1608,0.032,0.0186
2.125,0.1885,0.844,0.1577,0.0327,0.0176
2.175,0.1798,0.844,0.2228,0.0306,0.016
2.225,0.1718,0.844,0.1387,0.0293,0.0151
2.275,0.1643,0.844,0.1665,0.033,0.0154
2.325,0.1572,0.844,0.1871,0.035,0.0154
2.375,0.1506,0.844,0.1596,0.035,0.015
2.425,0.1444,0.844,0.2096,0.0346,0.0149
2.475,0.1386,0.844,0.133,0.0387,0.0157
2.525,0.1332,0.844,0.2287,0.0403,0.0164
2.575,0.128,0.844,0.1305,0.0413,0.016
2.625,0.1232,0.844,0.1807,0.0369,0.0149
2.675,0.1186,0.844,0.246,0.0372,0.0154
2.725,0.1142,0.844,0.23,0.037,0.016
2.775,0.1101,0.844,0.1838,0.0397,0.0167
2.825,0.1063,0.844,0.2687,0.043,0.0183
2.875,0.1026,0.844,0.1438,0.0433,0.0182
2.925,0.0991,0.844,0.2656,0.0468,0.0223
2.975,0.0958,0.844,0.209,0.0441,0.0222
3.025,0.0926,0.844,0.1634,0.0477,0.0236
1.175,0.6694,1.01,-0.0212,0.0168,0.0043
1.225,0.6201,1.01,-0.0728,0.0239,0.0067
1.275,0.5759,1.01,-0.0029,0.0176,0.0047
1.325,0.5361,1.01,0.0344,0.016,0.0051
1.375,0.5003,1.01,0.0259,0.0167,0.0066
1.425,0.4678,1.01,0.1259,0.0185,0.0089
1.475,0.4384,1.01,0.1966,0.0248,0.0155
1.525,0.4116,1.01,0.1731,0.0248,0.0146
1.575,0.3871,1.01,0.1331,0.021,0.0096
1.625,0.3648,1.01,0.1711,0.0224,0.0101
1.675,0.3443,1.01,0.1843,0.0277,0.0116
1.725,0.3254,1.01,0.2131,0.0266,0.0138
1.775,0.308,1.01,0.1149,0.0247,0.0112
1.825,0.292,1.01,0.1526,0.0253,0.0152
1.875,0.2772,1.01,0.1765,0.0256,0.0194
1.925,0.2634,1.01,0.1157,0.0257,0.0216
1.975,0.2507,1.01,0.1364,0.0272,0.0235
2.025,0.2388,1.01,0.1269,0.0269,0.0152
2.075,0.2278,1.01,0.1855,0.027,0.0186
2.125,0.2175,1.01,0.159,0.0261,0.0168
2.175,0.2079,1.01,0.1635,0.0265,0.0157
2.225,0.1989,1.01,0.2094,0.029,0.0158
2.275,0.1904,1.01,0.236,0.0342,0.0162
2.325,0.1825,1.01,0.1426,0.0358,0.0167
2.375,0.1751,1.01,0.1765,0.0354,0.0164
2.425,0.1681,1.01,0.1938,0.0372,0.0168
2.475,0.1615,1.01,0.1539,0.0389,0.0174
2.525,0.1553,1.01,0.2036,0.0397,0.0179
2.575,0.1494,1.01,0.2086,0.0354,0.0168
2.625,0.1439,1.01,0.1708,0.036,0.0168
2.675,0.1387,1.01,0.2484,0.0363,0.0172
2.725,0.1337,1.01,0.1984,0.0359,0.017
2.775,0.129,1.01,0.1932,0.0371,0.0172
2.825,0.1246,1.01,0.1133,0.0367,0.017
2.875,0.1203,1.01,0.1792,0.037,0.0195
2.925,0.1163,1.01,0.253,0.0388,0.0229
2.975,0.1125,1.01,0.1242,0.0388,0.0209
3.025,0.1088,1.01,0.0598,0.0484,0.021
1.125,0.7576,1.2,-0.0302,0.0201,0.018
1.175,0.7063,1.2,-0.044,0.0167,0.0051
1.225,0.6597,1.2,-0.0532,0.0217,0.0043
1.275,0.6173,1.2,0.0076,0.0167,0.0038
1.325,0.5786,1.2,0.0454,0.0144,0.0042
1.375,0.5433,1.2,0.0504,0.0155,0.0057
1.425,0.5109,1.2,0.0584,0.0175,0.0073
1.475,0.4812,1.2,0.1397,0.023,0.0136
1.525,0.4539,1.2,0.2259,0.0225,0.0154
1.575,0.4287,1.2,0.1416,0.0185,0.0111
1.625,0.4056,1.2,0.145,0.0205,0.0104
1.675,0.3841,1.2,0.2182,0.0248,0.0133
1.725,0.3643,1.2,0.226,0.0248,0.0153
1.775,0.3459,1.2,0.1425,0.022,0.0154
1.825,0.3289,1.2,0.104,0.0225,0.0157
1.875,0.313,1.2,0.1281,0.0226,0.0192
1.925,0.2982,1.2,0.1148,0.0232,0.021
1.975,0.2844,1.2,0.2073,0.0236,0.0234
2.025,0.2716,1.2,0.144,0.0235,0.0169
2.075,0.2595,1.2,0.2577,0.0238,0.0221
2.125,0.2482,1.2,0.2177,0.0243,0.0207
2.175,0.2377,1.2,0.1706,0.0259,0.0203
2.225,0.2278,1.2,0.225,0.0273,0.0189
2.275,0.2184,1.2,0.2106,0.0275,0.0186
2.325,0.2096,1.2,0.2134,0.0264,0.0182
2.375,0.2014,1.2,0.1922,0.0253,0.0181
2.425,0.1936,1.2,0.1923,0.024,0.0176
2.475,0.1862,1.2,0.1497,0.0233,0.0179
2.525,0.1793,1.2,0.1755,0.0233,0.0181
2.575,0.1727,1.2,0.1979,0.0236,0.0183
2.625,0.1665,1.2,0.2203,0.0246,0.0181
2.675,0.1606,1.2,0.231,0.025,0.0187
2.725,0.155,1.2,0.1964,0.0242,0.0191
2.775,0.1496,1.2,0.1708,0.0235,0.0197
