W,x,Q2,g1/F1,dg1/F1(stat),dg1/F1(sys)
1.175,0.5863,0.707,-0.158,0.081,0.0222
1.225,0.5332,0.707,-0.1088,0.0638,0.0147
1.275,0.4873,0.707,-0.0447,0.0696,0.0183
1.325,0.4472,0.707,0.1089,0.0807,0.0237
1.375,0.412,0.707,0.1276,0.0778,0.0294
1.425,0.381,0.707,0.3927,0.0665,0.0362
1.475,0.3533,0.707,0.3603,0.0594,0.0355
1.525,0.3287,0.707,0.384,0.0547,0.0342
1.575,0.3066,0.707,0.4514,0.056,0.0274
1.625,0.2867,0.707,0.3618,0.0534,0.0205
1.675,0.2687,0.707,0.2708,0.0484,0.0191
1.725,0.2524,0.707,0.3414,0.044,0.0216
1.775,0.2376,0.707,0.2362,0.045,0.0183
1.825,0.224,0.707,0.2031,0.0449,0.0224
1.875,0.2116,0.707,0.1061,0.0477,0.029
1.925,0.2002,0.707,0.202,0.0446,0.032
1.975,0.1898,0.707,0.1433,0.0434,0.0339
2.025,0.1801,0.707,0.1807,0.0405,0.0218
2.075,0.1711,0.707,0.2307,0.0403,0.0224
2.125,0.1629,0.707,0.2393,0.0382,0.0199
2.175,0.1552,0.707,0.2342,0.0373,0.0183
2.225,0.148,0.707,0.188,0.0359,0.0168
2.275,0.1414,0.707,0.1601,0.0357,0.0165
2.325,0.1352,0.707,0.2131,0.04,0.0163
2.375,0.1293,0.707,0.2097,0.0424,0.0165
2.425,0.1239,0.707,0.0887,0.0418,0.016
2.475,0.1188,0.707,0.1286,0.0391,0.0148
2.525,0.114,0.707,0.1739,0.0377,0.0144
2.575,0.1095,0.707,0.1588,0.0363,0.0135
2.625,0.1053,0.707,0.153,0.0381,0.014
2.675,0.1013,0.707,0.194,0.0358,0.0138
2.725,0.0975,0.707,0.1547,0.038,0.0137
2.775,0.0939,0.707,0.0775,0.0351,0.0128
2.825,0.0906,0.707,0.1736,0.0353,0.0134
2.875,0.0874,0.707,0.1124,0.0335,0.0128
2.925,0.0844,0.707,0.0875,0.0339,0.013
2.975,0.0815,0.707,0.039,0.0326,0.0125
3.025,0.0788,0.707,0.0941,0.0354,0.0144
3.075,0.0762,0.707,0.1285,0.0395,0.0192
1.175,0.6285,0.844,-0.0343,0.0753,0.02
1.225,0.5769,0.844,-0.2992,0.0568,0.0272
1.275,0.5315,0.844,-0.0765,0.0625,0.0182
1.325,0.4913,0.844,0.2249,0.0713,0.0231
1.375,0.4555,0.844,0.1463,0.0751,0.0296
1.425,0.4235,0.844,0.1648,0.0644,0.0344
1.475,0.3948,0.844,0.4581,0.0608,0.0366
1.525,0.3689,0.844,0.3135,0.0485,0.0313
1.575,0.3455,0.844,0.2951,0.0485,0.025
1.625,0.3243,0.844,0.3186,0.0475,0.0204
1.675,0.3049,0.844,0.2129,0.0478,0.0187
1.725,0.2873,0.844,0.369,0.0462,0.0247
1.775,0.2711,0.844,0.3714,0.0478,0.0229
1.825,0.2563,0.844,0.3328,0.0478,0.026
