x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),A1,dA1(stat),dA1(sys)
0.0046,1.23,0.4767,0.3366,0.1404,28.0397,0.4585,0.017,0.012,0.005
0.0055,1.39,0.505,0.3031,0.1265,25.2477,0.3805,0.02,0.012,0.005
0.007,1.61,0.5132,0.1957,0.0865,21.0328,0.2777,0.0244,0.0093,0.0041
0.009,1.91,0.3435,0.1808,0.1085,18.0774,0.1855,0.019,0.01,0.006
0.0154,3.03,0.8551,0.1084,0.0716,11.8935,0.0862,0.0719,0.0091,0.006
0.0244,4.11,0.6941,0.0855,0.0574,8.8081,0.0473,0.0788,0.0097,0.0065
0.0346,5.6,0.5604,0.0828,0.0637,6.3685,0.031,0.088,0.013,0.01
0.0488,7.64,0.5415,0.0618,0.0428,4.7496,0.0203,0.114,0.013,0.009
0.0767,11.7,0.497,0.042,0.039,2.9941,0.0117,0.166,0.014,0.013
0.1215,18.0,0.4412,0.0318,0.0318,1.6711,0.0075,0.264,0.019,0.019
0.1715,24.8,0.3274,0.0278,0.0248,1.0296,0.0047,0.318,0.027,0.024
0.2225,31.3,0.2388,0.0255,0.0213,0.7086,0.0021,0.337,0.036,0.03
0.291,39.5,0.1751,0.0167,0.0131,0.4502,0.0011,0.389,0.037,0.029
0.406,52.0,0.1013,0.0115,0.0107,0.2092,0.0007,0.484,0.055,0.051
0.5685,67.4,0.0333,0.005,0.0041,0.0456,0.0002,0.73,0.11,0.09
