Q2,x,W,g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
0.634,,2.987,0.08,0.092,0.013,0.0929
0.61,,3.019,0.088,0.058,0.013,0.0594
0.752,,2.888,0.105,0.083,0.015,0.0843
0.738,,2.93,0.165,0.033,0.014,0.0358
0.727,,2.979,0.158,0.023,0.014,0.0269
0.705,,3.007,0.134,0.042,0.013,0.044
0.906,,2.739,0.315,0.084,0.018,0.0859
0.895,,2.779,0.19,0.02,0.017,0.0262
0.877,,2.828,0.175,0.014,0.016,0.0213
0.86,,2.877,0.166,0.012,0.015,0.0192
0.858,,2.925,0.175,0.01,0.014,0.0172
0.847,,2.97,0.132,0.01,0.013,0.0164
1.076,,2.584,0.159,0.037,0.02,0.0421
1.061,,2.627,0.267,0.02,0.02,0.0283
1.043,,2.676,0.216,0.013,0.019,0.023
1.024,,2.726,0.209,0.01,0.018,0.0206
1.019,,2.776,0.195,0.009,0.017,0.0192
1.013,,2.826,0.196,0.008,0.016,0.0179
1.01,,2.875,0.176,0.007,0.015,0.0166
1.009,,2.925,0.177,0.007,0.014,0.0157
0.973,,2.96,0.164,0.014,0.013,0.0191
1.288,,2.382,0.311,0.027,0.023,0.0355
1.266,,2.428,0.251,0.019,0.022,0.0291
1.243,,2.476,0.275,0.014,0.022,0.0261
1.214,,2.526,0.24,0.012,0.021,0.0242
1.209,,2.575,0.25,0.01,0.02,0.0224
1.207,,2.626,0.249,0.009,0.019,0.021
1.214,,2.675,0.233,0.008,0.018,0.0197
1.209,,2.725,0.232,0.008,0.017,0.0188
1.209,,2.776,0.224,0.007,0.016,0.0175
1.205,,2.825,0.214,0.007,0.015,0.0166
1.202,,2.876,0.203,0.006,0.014,0.0152
1.184,,2.916,0.189,0.008,0.014,0.0161
1.554,,2.076,0.48,0.05,0.026,0.0564
1.526,,2.128,0.372,0.03,0.026,0.0397
1.512,,2.178,0.402,0.023,0.025,0.034
1.482,,2.226,0.374,0.018,0.025,0.0308
1.463,,2.276,0.324,0.014,0.024,0.0278
1.448,,2.325,0.322,0.012,0.024,0.0268
1.445,,2.375,0.326,0.01,0.023,0.0251
1.444,,2.426,0.278,0.01,0.022,0.0242
1.436,,2.475,0.293,0.009,0.021,0.0228
1.437,,2.526,0.272,0.008,0.021,0.0225
1.437,,2.575,0.279,0.008,0.02,0.0215
1.434,,2.624,0.266,0.007,0.019,0.0202
1.434,,2.676,0.255,0.007,0.018,0.0193
1.434,,2.726,0.254,0.006,0.017,0.018
1.436,,2.776,0.249,0.006,0.016,0.0171
1.436,,2.826,0.245,0.006,0.015,0.0162
1.415,,2.87,0.238,0.007,0.015,0.0166
1.339,,2.902,0.166,0.033,0.014,0.0358
1.856,,1.676,0.485,0.053,0.03,0.0609
1.826,,1.728,0.536,0.043,0.029,0.0519
1.816,,1.774,0.588,0.038,0.028,0.0472
1.809,,1.823,0.485,0.027,0.028,0.0389
1.789,,1.875,0.406,0.023,0.027,0.0355
1.773,,1.925,0.389,0.019,0.027,0.033
1.749,,1.976,0.402,0.016,0.027,0.0314
1.725,,2.027,0.4,0.015,0.027,0.0309
1.725,,2.077,0.416,0.013,0.026,0.0291
1.712,,2.126,0.396,0.012,0.026,0.0286
1.719,,2.175,0.389,0.011,0.025,0.0273
1.713,,2.225,0.365,0.01,0.025,0.0269
1.717,,2.276,0.361,0.009,0.024,0.0256
1.714,,2.327,0.352,0.009,0.023,0.0247
1.717,,2.378,0.34,0.008,0.022,0.0234
1.708,,2.426,0.335,0.008,0.022,0.0234
1.708,,2.476,0.313,0.007,0.021,0.0221
1.713,,2.525,0.317,0.007,0.02,0.0212
1.716,,2.575,0.308,0.007,0.019,0.0202
1.71,,2.626,0.292,0.006,0.018,0.019
1.713,,2.675,0.289,0.006,0.017,0.018
1.71,,2.725,0.292,0.006,0.016,0.0171
1.707,,2.776,0.275,0.006,0.016,0.0171
1.681,,2.822,0.265,0.007,0.016,0.0175
1.59,,2.857,0.265,0.026,0.016,0.0305
2.16,,1.228,0.097,0.049,0.028,0.0564
2.144,,1.277,0.172,0.059,0.028,0.0653
2.129,,1.327,0.346,0.053,0.029,0.0604
2.117,,1.373,0.434,0.05,0.03,0.0583
2.113,,1.423,0.429,0.037,0.03,0.0476
2.092,,1.475,0.516,0.029,0.03,0.0417
2.064,,1.527,0.499,0.022,0.03,0.0372
2.059,,1.577,0.571,0.024,0.03,0.0384
2.052,,1.622,0.554,0.023,0.03,0.0378
2.06,,1.674,0.523,0.016,0.029,0.0331
2.036,,1.726,0.533,0.016,0.029,0.0331
2.056,,1.775,0.498,0.015,0.028,0.0318
2.043,,1.826,0.467,0.016,0.028,0.0322
2.053,,1.875,0.435,0.014,0.027,0.0304
2.052,,1.926,0.431,0.014,0.026,0.0295
2.054,,1.976,0.423,0.012,0.026,0.0286
2.048,,2.026,0.452,0.011,0.026,0.0282
2.049,,2.076,0.446,0.01,0.026,0.0279
2.042,,2.126,0.432,0.01,0.025,0.0269
2.041,,2.175,0.425,0.009,0.025,0.0266
2.046,,2.225,0.431,0.009,0.024,0.0256
2.048,,2.275,0.4,0.008,0.023,0.0244
2.032,,2.325,0.377,0.008,0.023,0.0244
2.043,,2.375,0.364,0.007,0.022,0.0231
2.042,,2.425,0.365,0.007,0.021,0.0221
2.038,,2.475,0.338,0.007,0.02,0.0212
2.04,,2.525,0.348,0.007,0.019,0.0202
2.037,,2.575,0.335,0.006,0.018,0.019
