Q2,x,g1,dg1(stat),dg1(sys)
0.201,0.05356,0.00856,0.08823,0.02336
0.201,0.05607,0.10981,0.04328,0.02253
0.201,0.05876,-0.01588,0.03893,0.0147
0.201,0.06166,0.06446,0.04528,0.022
0.201,0.06479,-0.02119,0.04372,0.02288
0.201,0.06819,0.02047,0.04518,0.02229
0.201,0.07188,0.00997,0.03962,0.01961
0.201,0.0759,0.08023,0.0384,0.01991
0.201,0.08029,0.04386,0.03974,0.01593
0.201,0.08511,0.04797,0.04103,0.01473
0.201,0.09041,0.1136,0.04697,0.01742
0.201,0.09626,0.02039,0.04544,0.01552
0.201,0.10276,0.06247,0.04042,0.01889
0.201,0.11,0.06244,0.03718,0.0218
0.201,0.11812,0.07196,0.04275,0.02329
0.201,0.12727,0.07802,0.04792,0.02565
0.201,0.13765,0.05255,0.04042,0.02225
0.201,0.14952,0.0237,0.03529,0.01939
0.201,0.1632,0.04814,0.03307,0.01722
0.201,0.17912,0.00181,0.03497,0.01666
0.201,0.19785,-0.0212,0.03914,0.01896
0.201,0.22017,-0.16429,0.04464,0.04849
0.201,0.2472,-0.3039,0.04914,0.08191
0.201,0.28052,-0.12435,0.02813,0.0277
0.201,0.32255,-0.02296,0.01371,0.00811
0.201,0.3771,-0.00433,0.00204,0.00285
0.367,0.06073,0.15266,0.06714,0.02575
0.367,0.06282,0.18562,0.07309,0.02275
0.367,0.06503,0.02952,0.07078,0.01876
0.367,0.06735,0.13251,0.06943,0.018
0.367,0.06981,0.07094,0.07105,0.01708
0.367,0.07241,0.30053,0.06794,0.02154
0.367,0.07516,0.10806,0.06666,0.01664
0.367,0.07808,0.10211,0.06605,0.01624
0.367,0.08117,0.17152,0.07262,0.01791
0.367,0.08446,0.04926,0.06534,0.01628
0.367,0.08796,0.14807,0.06941,0.01688
0.367,0.09169,0.17061,0.07079,0.01838
0.367,0.09568,0.09381,0.03252,0.01782
0.367,0.09994,0.07945,0.02193,0.01368
0.367,0.1045,0.06239,0.01846,0.01042
0.367,0.1094,0.07629,0.01829,0.02295
0.367,0.11467,0.09008,0.01777,0.02456
0.367,0.12034,0.07511,0.01752,0.02109
0.367,0.12647,0.09216,0.01835,0.03177
0.367,0.1331,0.08894,0.01823,0.02271
0.367,0.1403,0.11844,0.02016,0.02262
0.367,0.14814,0.11965,0.02009,0.02584
0.367,0.15669,0.13486,0.02313,0.02437
0.367,0.16606,0.11546,0.02246,0.02461
0.367,0.17634,0.08631,0.01968,0.01787
0.367,0.18769,0.14974,0.01795,0.03202
0.367,0.20025,0.20873,0.02104,0.02987
0.367,0.21421,0.21443,0.02264,0.04239
0.367,0.22982,0.11629,0.01922,0.02357
0.367,0.24735,0.05445,0.01579,0.01896
0.367,0.26717,0.06782,0.01429,0.01151
0.367,0.28972,0.03111,0.01536,0.01065
0.367,0.31558,-0.02245,0.01672,0.01869
0.367,0.34547,-0.0821,0.01814,0.02614
0.367,0.38037,-0.15096,0.02031,0.03869
0.367,0.42159,-0.10246,0.01407,0.0221
0.367,0.47092,-0.01806,0.00625,0.00666
0.367,0.5309,-0.00363,0.00094,0.00219
0.608,0.10133,0.22295,0.07427,0.02508
0.608,0.10481,0.20843,0.05516,0.02125
0.608,0.10847,0.24042,0.05776,0.0199
0.608,0.11234,0.14213,0.06009,0.01351
0.608,0.11642,0.20005,0.05671,0.0135
0.608,0.12072,0.16984,0.05557,0.01294
0.608,0.12528,0.26359,0.05572,0.01548
0.608,0.1301,0.2871,0.05985,0.01717
0.608,0.13522,0.17849,0.05735,0.01222
0.608,0.14064,0.10471,0.06114,0.01333
0.608,0.14641,0.25617,0.0502,0.01424
0.608,0.15255,0.11115,0.05518,0.01139
0.608,0.15909,0.14634,0.04088,0.01403
0.608,0.16607,0.08659,0.01793,0.03051
0.608,0.17354,0.08187,0.01762,0.02774
0.608,0.18153,0.0883,0.01783,0.03567
0.608,0.1901,0.12444,0.01732,0.03024
0.608,0.19931,0.11461,0.01716,0.03672
0.608,0.20923,0.12332,0.0163,0.03309
0.608,0.21993,0.1649,0.01674,0.02603
0.608,0.2315,0.1602,0.019,0.03942
0.608,0.24404,0.14238,0.01833,0.0208
0.608,0.25767,0.13145,0.01771,0.03022
0.608,0.27251,0.14825,0.01678,0.02432
0.608,0.28873,0.18292,0.01724,0.02463
0.608,0.3065,0.21533,0.01878,0.03686
0.608,0.32604,0.13021,0.01559,0.01665
0.608,0.3476,0.05848,0.01352,0.0131
0.608,0.37149,0.05851,0.01156,0.01345
0.608,0.39806,0.04062,0.01152,0.00675
0.608,0.42776,0.00455,0.01311,0.00622
0.608,0.46112,-0.0595,0.01466,0.01462
0.608,0.4988,-0.11471,0.0154,0.03343
0.608,0.54163,-0.02897,0.01063,0.00632
0.608,0.59067,-0.01068,0.00539,0.00432
0.608,0.64724,-0.00309,0.00081,0.00221
0.902,0.15953,0.24296,0.04376,0.02083
0.902,0.16501,0.14236,0.03939,0.01131
0.902,0.17076,0.19332,0.04246,0.01162
0.902,0.17683,0.19523,0.04378,0.01108
0.902,0.18322,0.18535,0.0414,0.00902
0.902,0.18997,0.20069,0.03969,0.00903
0.902,0.19709,0.20718,0.04298,0.0097
0.902,0.20462,0.21316,0.03893,0.01028
0.902,0.2126,0.14969,0.04119,0.00843
0.902,0.22104,0.17838,0.03998,0.00696
0.902,0.23,0.17269,0.03962,0.01279
0.902,0.23951,0.14613,0.02768,0.01482
0.902,0.24962,0.11103,0.02055,0.02749
0.902,0.26038,0.11842,0.02186,0.02093
0.902,0.27186,0.1563,0.01792,0.0215
0.902,0.2841,0.15773,0.01587,0.02197
0.902,0.29719,0.17503,0.01534,0.01413
0.902,0.31121,0.20365,0.01684,0.02433
0.902,0.32623,0.12529,0.01486,0.02896
0.902,0.34237,0.14153,0.01301,0.02097
0.902,0.35973,0.13605,0.01161,0.02057
0.902,0.37844,0.15996,0.01265,0.02606
0.902,0.39864,0.18703,0.01453,0.02183
0.902,0.42049,0.10959,0.01142,0.01266
0.902,0.44418,0.0598,0.00981,0.00529
0.902,0.46992,0.02789,0.00886,0.00569
0.902,0.49796,0.04361,0.00801,0.00951
0.902,0.52856,0.00584,0.00889,0.00343
0.902,0.56206,-0.011,0.0097,0.01177
0.902,0.59883,-0.05825,0.01043,0.01146
0.902,0.6393,-0.03624,0.00795,0.00869
0.902,0.68398,-0.0076,0.00431,0.00262
0.902,0.73347,0.00029,0.00079,0.00096
1.34,0.24415,0.27747,0.0512,0.01956
1.34,0.25223,0.22632,0.04885,0.01239
1.34,0.26071,0.15845,0.02988,0.00893
1.34,0.2696,0.14469,0.03023,0.00804
1.34,0.27894,0.15405,0.03143,0.00828
1.34,0.28876,0.17635,0.03009,0.00832
1.34,0.29908,0.16923,0.03157,0.0071
1.34,0.30994,0.09843,0.0294,0.0098
1.34,0.32138,0.14626,0.03058,0.01068
1.34,0.33343,0.06222,0.02896,0.00939
1.34,0.34614,0.13652,0.02933,0.01089
1.34,0.35956,0.10948,0.02756,0.00956
1.34,0.37373,0.17366,0.02733,0.01235
1.34,0.3887,0.13092,0.02024,0.01367
1.34,0.40455,0.14615,0.0183,0.00976
1.34,0.42132,0.12927,0.0195,0.01782
1.34,0.4391,0.11869,0.01487,0.02258
1.34,0.45795,0.13827,0.01425,0.01736
1.34,0.47795,0.1209,0.01207,0.01816
1.34,0.49919,0.12138,0.01251,0.01471
1.34,0.52178,0.06873,0.0102,0.00565
1.34,0.5458,0.05058,0.01017,0.01114
1.34,0.57138,0.03271,0.00657,0.00711
1.34,0.59863,0.03568,0.00754,0.00473
1.34,0.62769,0.0253,0.00712,0.00881
1.34,0.65869,-0.0045,0.00726,0.00185
1.34,0.69179,-0.03251,0.00801,0.00655
1.34,0.72716,-0.00508,0.00606,0.00199
1.34,0.76495,0.00009,0.00336,0.00091
1.34,0.80538,-0.00112,0.00071,0.00084
