Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.0496,0.1115,1.13,,,,,,,,,0.0526,0.7281,0.3039,0.789
0.0496,0.1011,1.15,,,,,,,,,-0.4909,0.4117,0.2283,0.4708
0.0496,0.0924,1.17,,,,,,,,,-0.2476,0.2445,0.1487,0.2862
0.0496,0.0849,1.19,,,,,,,,,-0.2228,0.1673,0.1145,0.2027
0.0496,0.0785,1.21,,,,,,,,,-0.3349,0.1235,0.1016,0.1599
0.0496,0.0729,1.23,,,,,,,,,-0.1657,0.1117,0.0944,0.1462
0.0496,0.0679,1.25,,,,,,,,,-0.2932,0.1141,0.0982,0.1505
0.0496,0.0635,1.27,,,,,,,,,-0.0711,0.1273,0.0983,0.1608
0.0496,0.0596,1.29,,,,,,,,,0.1618,0.1347,0.0982,0.1667
0.0496,0.0561,1.31,,,,,,,,,-0.2442,0.1403,0.0981,0.1712
0.0496,0.0529,1.33,,,,,,,,,-0.1294,0.1356,0.0905,0.163
0.0496,0.0501,1.35,,,,,,,,,-0.1233,0.1369,0.0819,0.1595
0.0496,0.0475,1.37,,,,,,,,,-0.1501,0.1327,0.0727,0.1513
0.0496,0.0451,1.39,,,,,,,,,-0.1745,0.1328,0.0654,0.148
0.0496,0.0429,1.41,,,,,,,,,-0.2989,0.1261,0.0607,0.1399
0.0496,0.0409,1.43,,,,,,,,,-0.155,0.1193,0.0582,0.1327
0.0496,0.039,1.45,,,,,,,,,-0.0256,0.1039,0.058,0.119
0.0496,0.0373,1.47,,,,,,,,,-0.0008,0.0885,0.0575,0.1055
0.0496,0.0357,1.49,,,,,,,,,0.0699,0.076,0.0548,0.0937
0.0496,0.0343,1.51,,,,,,,,,-0.2326,0.07,0.0549,0.089
0.0496,0.0329,1.53,,,,,,,,,-0.0511,0.0686,0.048,0.0837
0.0496,0.0316,1.55,,,,,,,,,-0.1236,0.0742,0.0456,0.0871
0.0496,0.0304,1.57,,,,,,,,,0.0608,0.0811,0.0376,0.0894
0.0496,0.0292,1.59,,,,,,,,,-0.0427,0.0858,0.0288,0.0905
0.0496,0.0282,1.61,,,,,,,,,-0.0571,0.0879,0.0231,0.0909
0.0496,0.0272,1.63,,,,,,,,,-0.1204,0.0888,0.0226,0.0916
0.0496,0.0262,1.65,,,,,,,,,-0.2287,0.0856,0.0266,0.0896
0.0592,0.1445,1.11,,,,,,,,,0.208,0.8606,0.5108,1.0008
0.0592,0.1303,1.13,,,,,,,,,0.7365,0.4207,0.3264,0.5325
0.0592,0.1184,1.15,,,,,,,,,-0.017,0.2482,0.2159,0.329
0.0592,0.1084,1.17,,,,,,,,,-0.3001,0.1632,0.153,0.2237
0.0592,0.0997,1.19,,,,,,,,,-0.2348,0.1175,0.1125,0.1627
0.0592,0.0923,1.21,,,,,,,,,-0.2695,0.0945,0.0965,0.1351
0.0592,0.0857,1.23,,,,,,,,,-0.2542,0.0856,0.0895,0.1238
0.0592,0.08,1.25,,,,,,,,,-0.039,0.0939,0.0823,0.1249
0.0592,0.0749,1.27,,,,,,,,,-0.2882,0.1087,0.0877,0.1397
0.0592,0.0703,1.29,,,,,,,,,-0.0445,0.1296,0.0899,0.1577
0.0592,0.0662,1.31,,,,,,,,,0.0286,0.1372,0.0912,0.1647
0.0592,0.0626,1.33,,,,,,,,,0.085,0.1366,0.088,0.1625
0.0592,0.0592,1.35,,,,,,,,,0.0387,0.1362,0.0817,0.1588
0.0592,0.0562,1.37,,,,,,,,,0.0403,0.1365,0.0733,0.1549
0.0592,0.0534,1.39,,,,,,,,,-0.0232,0.1321,0.0654,0.1474
0.0592,0.0508,1.41,,,,,,,,,0.0875,0.1257,0.0596,0.1391
0.0592,0.0484,1.43,,,,,,,,,-0.1102,0.1099,0.0552,0.123
0.0592,0.0463,1.45,,,,,,,,,-0.1607,0.0974,0.0536,0.1112
0.0592,0.0442,1.47,,,,,,,,,-0.0105,0.083,0.0521,0.098
0.0592,0.0424,1.49,,,,,,,,,-0.0782,0.0726,0.049,0.0876
0.0592,0.0406,1.51,,,,,,,,,-0.1076,0.0681,0.046,0.0822
0.0592,0.039,1.53,,,,,,,,,-0.0418,0.0724,0.0426,0.084
0.0592,0.0375,1.55,,,,,,,,,-0.1477,0.0795,0.0417,0.0898
0.0592,0.036,1.57,,,,,,,,,-0.1672,0.084,0.0362,0.0915
0.0592,0.0347,1.59,,,,,,,,,0.0826,0.0901,0.0275,0.0942
0.0592,0.0334,1.61,,,,,,,,,-0.087,0.0892,0.022,0.0919
0.0592,0.0323,1.63,,,,,,,,,-0.0504,0.0806,0.0204,0.0831
0.0592,0.0312,1.65,,,,,,,,,-0.2018,0.0759,0.0244,0.0797
0.0707,0.1679,1.11,,,,,,,,,0.5878,0.7515,0.5449,0.9283
0.0707,0.1518,1.13,,,,,,,,,-0.364,0.4315,0.3683,0.5673
0.0707,0.1382,1.15,,,,,,,,,0.4198,0.2787,0.2212,0.3558
0.0707,0.1267,1.17,,,,,,,,,-0.378,0.1882,0.1515,0.2416
0.0707,0.1168,1.19,,,,,,,,,-0.4411,0.1312,0.107,0.1693
0.0707,0.1083,1.21,,,,,,,,,-0.6172,0.0976,0.0929,0.1347
0.0707,0.1007,1.23,,,,,,,,,-0.4868,0.0926,0.0849,0.1256
0.0707,0.0941,1.25,,,,,,,,,-0.2326,0.0938,0.0841,0.126
0.0707,0.0882,1.27,,,,,,,,,-0.102,0.1078,0.0899,0.1404
0.0707,0.0829,1.29,,,,,,,,,-0.0866,0.1185,0.0956,0.1523
0.0707,0.0781,1.31,,,,,,,,,-0.1007,0.1269,0.0966,0.1595
0.0707,0.0738,1.33,,,,,,,,,-0.0312,0.1248,0.0923,0.1552
0.0707,0.0699,1.35,,,,,,,,,0.0212,0.1254,0.0847,0.1513
0.0707,0.0663,1.37,,,,,,,,,0.0591,0.1264,0.0752,0.1471
