x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),dg1(model),dg1(tot),A1,dA1(stat),dA1(sys)
0.0046,1.23,0.5404,0.2733,0.1172,31.7856,2.009,0.0636,0.3041
0.0055,1.39,0.568,0.2444,0.1055,28.4009,1.6894,0.063,0.2735
0.007,1.61,0.5704,0.1571,0.0737,23.3774,1.2867,0.0572,0.1827
0.009,1.91,0.371,0.1394,0.0846,19.526,0.9338,0.0275,0.1654
0.0154,3.03,0.8953,0.0859,0.0612,12.4524,0.469,0.0402,0.1129
0.0244,4.11,0.7172,0.0647,0.0452,9.1024,0.2376,0.0231,0.0823
0.0346,5.6,0.5716,0.0607,0.0471,6.495,0.1364,0.0111,0.0776
0.0488,7.64,0.547,0.0449,0.0317,4.7986,0.0832,0.0055,0.0552
0.0767,11.7,0.4992,0.0304,0.0283,3.0076,0.0414,0.0022,0.0416
0.1215,18.0,0.4442,0.023,0.023,1.6824,0.0189,0.003,0.0326
0.1715,24.8,0.33,0.02,0.0179,1.0376,0.0112,0.0025,0.0269
0.2225,31.3,0.2401,0.0182,0.0152,0.7124,0.0062,0.0013,0.0238
0.291,39.5,0.1753,0.0119,0.0093,0.4506,0.0038,0.0001,0.0151
0.406,52.0,0.1004,0.0081,0.0075,0.2072,0.0022,0.0009,0.0111
0.5685,67.4,0.0324,0.0035,0.0029,0.0442,0.0009,0.001,0.0046
0.0046,1.10,0.133,0.389,0.183,,,,,0.006,0.017,0.008 
0.0055,1.20,0.385,0.256,0.123,,,,,0.019,0.013,0.006 
0.0070,1.37,0.571,0.147,0.079,,,,,0.035,0.009,0.005 
0.0090,1.59,0.445,0.130,0.067,,,,,0.033,0.010,0.005 
0.0147,2.14,0.427,0.052,0.036,,,,,0.047,0.006,0.004 
0.0247,3.24,0.459,0.053,0.037,,,,,0.076,0.009,0.006 
0.0346,4.36,0.525,0.054,0.041,,,,,0.115,0.012,0.009 
0.0487,6.05,0.438,0.039,0.032,,,,,0.130,0.012,0.010 
0.0765,9.42,0.383,0.028,0.026,,,,,0.172,0.013,0.012 
0.122,14.9,0.303,0.024,0.021,,,,,0.218,0.017,0.015
0.172,20.9,0.268,0.023,0.019,,,,,0.286,0.024,0.020
0.222,26.7,0.298,0.022,0.020,,,,,0.446,0.032,0.030
0.290,34.6,0.196,0.014,0.013,,,,,0.453,0.033,0.032
0.405,47.1,0.120,0.010,0.008,,,,,0.594,0.049,0.043
0.568,62.1,0.048,0.005,0.004,,,,,0.855,0.094,0.068
0.0035,1.03,1.79,0.87,0.45,,,,,0.059,0.029,0.014
0.0036,1.10,−0.12,0.81,0.37,,,,,−0.004,0.027,0.012
0.0038,1.22,0.05,0.98,0.37,,,,,0.002,0.032,0.012
0.0044,1.07,0.15,0.50,0.19,,,,,0.006,0.021,0.008
0.0045,1.24,0.53,0.51,0.20,,,,,0.021,0.020,0.008
0.0046,1.44,0.60,0.59,0.28,,,,,0.023,0.022,0.011
0.0055,1.11,0.18,0.46,0.21,,,,,0.009,0.024,0.011
0.0055,1.36,0.56,0.42,0.17,,,,,0.026,0.020,0.008
0.0056,1.68,0.51,0.47,0.18,,,,,0.022,0.020,0.008
0.0069,1.14,0.50,0.32,0.14,,,,,0.033,0.020,0.009
0.0069,1.50,0.71,0.27,0.12,,,,,0.041,0.015,0.007
0.0071,2.02,0.12,0.27,0.13,,,,,0.006,0.014,0.007
