x,Q2,g1,dg1(stat),dg1(sys),F1,A1,dA1(stat),dA1(sys)
0.0046,1.23,0.5114,0.361,0.1504,30.0839,0.017,0.012,0.005
0.0055,1.39,0.5018,0.3011,0.1255,25.0915,0.02,0.012,0.005
0.007,1.61,0.4465,0.1702,0.075,18.2997,0.0244,0.0093,0.0041
0.009,1.91,0.2819,0.1484,0.089,14.8387,0.019,0.01,0.006
0.0154,3.03,0.6245,0.079,0.0521,8.6857,0.0719,0.0091,0.006
0.0244,4.11,0.5157,0.0635,0.0425,6.5441,0.0788,0.0097,0.0065
0.0346,5.6,0.4129,0.061,0.0469,4.692,0.088,0.013,0.01
0.0488,7.64,0.3951,0.0451,0.0312,3.4654,0.114,0.013,0.009
0.0767,11.7,0.3761,0.0317,0.0295,2.2659,0.166,0.014,0.013
0.1215,18.0,0.3741,0.0269,0.0269,1.417,0.264,0.019,0.019
0.1715,24.8,0.3031,0.0257,0.0229,0.953,0.318,0.027,0.024
0.2225,31.3,0.226,0.0241,0.0201,0.6706,0.337,0.036,0.03
0.291,39.5,0.1667,0.0159,0.0124,0.4286,0.389,0.037,0.029
0.406,52.0,0.0961,0.0109,0.0101,0.1986,0.484,0.055,0.051
0.5685,67.4,0.039,0.0059,0.0048,0.0534,0.73,0.11,0.09
