Q2,x,g1,dg1(stat),dg1(sys),dg1(tot),A1,dA1(stat),dA1(sys)
3.5,0.015,0.279,0.361,0.106,0.3762,0.027,0.035,0.010
4.5,0.025,0.564,0.26,0.08,0.272,0.091,0.042,0.013
6.0,0.035,0.115,0.23,0.057,0.237,0.026,0.052,0.014
8.0,0.05,0.254,0.146,0.044,0.1525,0.082,0.047,0.016
10.3,0.078,0.28,0.093,0.036,0.0997,0.141,0.047,0.021
12.9,0.114,0.225,0.076,0.028,0.081,0.181,0.061,0.027
15.2,0.175,0.311,0.072,0.026,0.0766,0.363,0.084,0.037
18.0,0.248,0.253,0.048,0.019,0.0516,0.458,0.086,0.041
22.5,0.344,0.167,0.044,0.013,0.0459,0.525,0.139,0.045
29.5,0.466,0.094,0.025,0.007,0.026,0.638,0.172,0.049
