Q2,x,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
0.26,0.0058,0.2584,0.3138,0.0331,0.0697,0.3231,,,,
0.41,0.0096,0.1357,0.1632,0.0213,0.022,0.166,,,,
0.57,0.0142,0.2361,0.1229,0.0219,0.0231,0.127,,,,
0.73,0.019,0.2416,0.12,0.0217,0.0152,0.1229,,,,
0.82,0.0248,0.2812,0.089,0.0207,0.0126,0.0922,,,,
1.12,0.0264,0.4736,0.149,0.0375,0.0182,0.1547,,,,
0.87,0.0325,0.3781,0.1609,0.0208,0.0135,0.1628,,,,
1.25,0.0329,0.3459,0.0949,0.0273,0.0109,0.0993,,,,
0.9,0.0399,0.3591,0.2147,0.0216,0.0121,0.2161,,,,
1.38,0.0403,0.2696,0.0706,0.0215,0.0079,0.0742,,,,
0.93,0.0498,0.2059,0.2534,0.0205,0.0069,0.2543,,,,
1.54,0.0506,0.264,0.0498,0.022,0.0078,0.055,,,,
1.25,0.0643,0.2637,0.1011,0.0153,0.0091,0.1027,,,,
1.85,0.0645,0.2063,0.0591,0.0163,0.0064,0.0616,,,,
2.58,0.0655,0.1949,0.0702,0.0185,0.0048,0.0728,,,,
1.31,0.0823,0.2177,0.1049,0.0149,0.008,0.1063,,,,
2.06,0.0824,0.3104,0.052,0.0192,0.0106,0.0564,,,,
3.08,0.0835,0.3535,0.0504,0.024,0.009,0.0565,,,,
1.38,0.1051,0.2942,0.1133,0.0182,0.0107,0.1153,,,,
2.29,0.1054,0.2104,0.0472,0.0141,0.0075,0.0498,,,,
3.65,0.1064,0.2989,0.0396,0.02,0.0086,0.0452,,,,
1.46,0.1344,0.2283,0.124,0.0144,0.0072,0.125,,,,
2.56,0.1347,0.2724,0.043,0.0166,0.009,0.047,,,,
4.3,0.1358,0.2977,0.0325,0.0189,0.0093,0.0387,,,,
1.56,0.1719,0.2623,0.1396,0.0159,0.0063,0.1406,,,,
2.87,0.1722,0.2741,0.0398,0.0166,0.0074,0.0438,,,,
5.05,0.1734,0.2768,0.0274,0.0173,0.008,0.0334,,,,
1.67,0.2191,0.2075,0.1545,0.0158,0.004,0.1554,,,,
3.18,0.22,0.2076,0.0367,0.0133,0.0043,0.0393,,,,
5.87,0.2213,0.2245,0.0232,0.0133,0.0052,0.0272,,,,
1.98,0.2786,0.2548,0.1329,0.0143,0.0047,0.1337,,,,
