x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),A1,dA1(stat),dA1(sys),dg1(tot),dA1(tot)
0.0046,1.23,0.5057,0.3571,0.149,29.7465,0.5715,0.017,0.012,0.005,0.3869,0.013
0.0055,1.39,0.4778,0.2868,0.1198,23.8925,0.4269,0.02,0.012,0.005,0.3108,0.013
0.007,1.61,0.439,0.1675,0.0742,17.9926,0.3233,0.0244,0.0093,0.0041,0.1832,0.0102
0.009,1.91,0.2568,0.1353,0.0812,13.5175,0.2471,0.019,0.01,0.006,0.1578,0.0117
0.0154,3.03,0.5771,0.0737,0.0491,8.0258,0.1358,0.0719,0.0091,0.006,0.0886,0.0109
0.0244,4.11,0.4852,0.0601,0.0406,6.157,0.0887,0.0788,0.0097,0.0065,0.0725,0.0117
0.0346,5.6,0.4129,0.0612,0.0472,4.6921,0.0551,0.088,0.013,0.01,0.0773,0.0164
0.0488,7.64,0.421,0.0482,0.0335,3.6928,0.0353,0.114,0.013,0.009,0.0587,0.0158
0.0767,11.7,0.4156,0.0352,0.0327,2.5036,0.0193,0.166,0.014,0.013,0.048,0.0191
0.1215,18.0,0.3936,0.0285,0.0285,1.491,0.0112,0.264,0.019,0.019,0.0403,0.0269
0.1715,24.8,0.3046,0.026,0.0231,0.9579,0.0067,0.318,0.027,0.024,0.0348,0.0361
0.2225,31.3,0.2292,0.0245,0.0205,0.6802,0.0046,0.337,0.036,0.03,0.0319,0.0469
0.291,39.5,0.1747,0.0167,0.0131,0.449,0.0031,0.389,0.037,0.029,0.0212,0.047
0.406,52.0,0.1081,0.0123,0.0114,0.2233,0.0017,0.484,0.055,0.051,0.0168,0.075
0.5685,67.4,0.0405,0.0061,0.005,0.0555,0.0005,0.73,0.11,0.09,0.0079,0.1421
