Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.51,0.024,16.2,,,,,0.092,0.027,0.014,0.0304,0.091,0.027,0.014,0.0304
0.55,0.027,16.2,,,,,0.086,0.026,0.013,0.0291,0.085,0.026,0.013,0.0291
1.17,0.027,29.1,,,,,−0.032,0.068,0.01,0.0687,−0.034,0.068,0.01,0.0687
0.59,0.031,16.2,,,,,0.084,0.026,0.012,0.0286,0.084,0.026,0.012,0.0286
1.27,0.031,29.1,,,,,0.064,0.034,0.009,0.0352,0.063,0.034,0.009,0.0352
0.31,0.035,9.7,,,,,0.096,0.037,0.018,0.0411,0.093,0.037,0.018,0.0411
0.64,0.035,16.2,,,,,0.059,0.024,0.011,0.0264,0.058,0.024,0.011,0.0264
1.4,0.035,29.1,,,,,0.123,0.025,0.008,0.0262,0.122,0.025,0.008,0.0262
0.33,0.039,9.7,,,,,0.024,0.037,0.018,0.0411,0.022,0.037,0.018,0.0411
0.68,0.039,16.2,,,,,0.072,0.024,0.011,0.0264,0.072,0.024,0.011,0.0264
1.52,0.039,29.1,,,,,0.083,0.023,0.008,0.0244,0.083,0.023,0.008,0.0244
0.35,0.044,9.7,,,,,0.106,0.037,0.019,0.0416,0.103,0.037,0.019,0.0416
0.73,0.044,16.2,,,,,0.096,0.023,0.011,0.0255,0.095,0.023,0.011,0.0255
0.98,0.044,16.2,,,,,0.097,0.52,0.01,0.5201,0.096,0.52,0.01,0.5201
1.65,0.044,29.1,,,,,0.110,0.021,0.008,0.0225,0.110,0.021,0.008,0.0225
0.36,0.049,9.7,,,,,0.108,0.039,0.02,0.0438,0.103,0.039,0.02,0.0438
0.78,0.049,16.2,,,,,0.147,0.024,0.011,0.0264,0.146,0.024,0.011,0.0264
1.06,0.049,16.2,,,,,0.078,0.109,0.01,0.1095,0.077,0.109,0.01,0.1095
1.78,0.049,29.1,,,,,0.125,0.02,0.008,0.0215,0.125,0.02,0.008,0.0215
0.38,0.056,9.7,,,,,0.108,0.041,0.021,0.0461,0.103,0.041,0.021,0.0461
0.57,0.056,9.7,,,,,−0.214,1.891,0.014,1.8911,−0.217,1.891,0.014,1.8911
0.83,0.056,16.2,,,,,0.110,0.025,0.011,0.0273,0.109,0.025,0.011,0.0273
1.16,0.056,16.2,,,,,0.132,0.063,0.01,0.0638,0.131,0.063,0.01,0.0638
1.92,0.056,29.1,,,,,0.130,0.02,0.008,0.0215,0.129,0.02,0.008,0.0215
0.4,0.063,9.7,,,,,0.078,0.043,0.022,0.0483,0.071,0.043,0.022,0.0483
0.6,0.063,9.7,,,,,−0.024,0.177,0.014,0.1776,−0.027,0.177,0.014,0.1776
0.87,0.063,16.2,,,,,0.157,0.027,0.012,0.0295,0.155,0.027,0.012,0.0295
1.26,0.063,16.2,,,,,0.052,0.046,0.009,0.0469,0.050,0.046,0.01,0.0471
2.07,0.063,29.1,,,,,0.138,0.02,0.008,0.0215,0.136,0.02,0.008,0.0215
2.69,0.063,29.1,,,,,1.138,0.833,0.009,0.833,1.146,0.834,0.009,0.834
0.41,0.071,9.7,,,,,0.096,0.049,0.023,0.0541,0.088,0.049,0.023,0.0541
0.64,0.071,9.7,,,,,0.064,0.077,0.014,0.0783,0.060,0.077,0.014,0.0783
0.92,0.071,16.2,,,,,0.107,0.029,0.012,0.0314,0.105,0.029,0.012,0.0314
1.36,0.071,16.2,,,,,0.144,0.041,0.009,0.042,0.143,0.041,0.009,0.042
2.22,0.071,29.1,,,,,0.150,0.02,0.008,0.0215,0.149,0.02,0.008,0.0215
2.91,0.071,29.1,,,,,0.324,0.121,0.01,0.1214,0.340,0.122,0.01,0.1224
0.43,0.079,9.7,,,,,0.113,0.053,0.025,0.0586,0.102,0.053,0.025,0.0586
0.69,0.079,9.7,,,,,0.164,0.053,0.014,0.0548,0.160,0.053,0.014,0.0548
0.97,0.079,16.2,,,,,0.122,0.031,0.013,0.0336,0.120,0.031,0.013,0.0336
1.47,0.079,16.2,,,,,0.135,0.039,0.009,0.04,0.134,0.039,0.009,0.04
2.38,0.079,29.1,,,,,0.188,0.021,0.009,0.0228,0.191,0.021,0.009,0.0228
3.17,0.079,29.1,,,,,0.209,0.057,0.01,0.0579,0.210,0.057,0.01,0.0579
0.44,0.09,9.7,,,,,0.069,0.055,0.027,0.0613,0.057,0.055,0.027,0.0613
0.74,0.09,9.7,,,,,0.145,0.043,0.014,0.0452,0.140,0.043,0.014,0.0452
