Q2,x,Eb,g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
1.22,0.015,48.35,0.048,0.009,0.004,0.0098
1.59,0.025,48.35,0.057,0.008,0.006,0.01
2.05,0.035,48.35,0.07,0.008,0.007,0.0106
2.58,0.05,48.35,0.111,0.009,0.009,0.0127
4.01,0.05,48.35,0.222,0.088,0.009,0.0885
3.24,0.08,48.35,0.155,0.009,0.013,0.0158
5.36,0.08,48.35,0.15,0.011,0.013,0.017
4.03,0.125,48.35,0.186,0.012,0.018,0.0216
7.17,0.125,48.35,0.209,0.007,0.018,0.0193
10.99,0.125,48.35,0.307,0.051,0.018,0.0541
4.62,0.175,48.35,0.273,0.023,0.023,0.0325
8.9,0.175,48.35,0.247,0.012,0.023,0.0259
13.19,0.175,48.35,0.305,0.022,0.023,0.0318
5.06,0.25,48.35,0.358,0.023,0.03,0.0378
10.64,0.25,48.35,0.353,0.011,0.03,0.032
17.21,0.25,48.35,0.396,0.014,0.03,0.0331
5.51,0.35,48.35,0.424,0.049,0.039,0.0626
12.6,0.35,48.35,0.466,0.02,0.039,0.0438
22.73,0.35,48.35,0.5,0.025,0.038,0.0455
5.77,0.5,48.35,0.561,0.058,0.048,0.0753
14.02,0.5,48.35,0.561,0.024,0.048,0.0537
26.86,0.5,48.35,0.507,0.042,0.048,0.0638
15.7,0.75,48.35,0.622,0.091,0.05,0.1038
34.72,0.75,48.35,0.559,0.405,0.05,0.4081
