Q2,X,W,Theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot),Experiment
1.1,0.035,,,,,-0.248,,,0.1682,-9.314,,,10.932,,,,,-0.0264,0.0168,0.0054,0.0176,,,,,,,,SLAC E142
1.2,0.05,,,,,-0.168,,,0.0769,2.106,,,4.5028,,,,,-0.0238,0.0102,0.0039,0.0109,,,,,,,,SLAC E142
1.8,0.082,,,,,-0.146,,,0.0429,-0.648,,,1.865,,,,,-0.0317,0.0081,0.0048,0.0094,,,,,,,,SLAC E142
2.5,0.124,,,,,-0.141,,,0.0325,-0.256,,,1.0274,,,,,-0.0447,0.0083,0.0068,0.0107,,,,,,,,SLAC E142
3.1,0.175,,,,,-0.105,,,0.0269,-0.764,,,0.7007,,,,,-0.0463,0.0098,0.0094,0.0136,,,,,,,,SLAC E142
3.7,0.246,,,,,-0.051,,,0.0175,-0.088,,,0.3692,,,,,-0.0333,0.0099,0.0121,0.0156,,,,,,,,SLAC E142
4.4,0.343,,,,,0.0,,,0.0175,0.14,,,0.2587,,,,,-0.0003,0.0172,0.022,0.0279,,,,,,,,SLAC E142
5.5,0.466,,,,,-0.007,,,0.0141,-0.188,,,0.1738,,,,,-0.0145,0.0301,0.0199,0.0361,,,,,,,,SLAC E142
5.0,0.017,,,,,-0.447,,,0.189,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.024,,,,,-0.434,,,0.1029,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.035,,,,,-0.317,,,0.0731,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.049,,,,,-0.217,,,0.0434,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.081,,,,,-0.138,,,0.023,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.123,,,,,-0.106,,,0.015,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.173,,,,,-0.066,,,0.0139,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.242,,,,,-0.049,,,0.0112,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.342,,,,,-0.025,,,0.0117,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.441,,,,,-0.014,,,0.0122,,,,,,,,,,,,,,,,,,,,SLAC E154
5.0,0.564,,,,,0.0,,,0.01,,,,,,,,,,,,,,,,,,,,SLAC E154
2.709,0.327,2.542,35.0,5.734,,-0.024,0.006,0.001,0.0061,0.0111,0.0389,0.001,0.0389,-0.0223,0.0053,0.001,0.0054,-0.024,0.006,0.001,0.0061,0.0103,0.0362,0.002,,,,,Zheng
3.516,0.466,2.215,35.0,5.734,,-0.004,0.004,0.0,0.004,0.0263,0.013,0.002,0.0132,-0.0077,0.0075,0.001,0.0076,-0.019,0.006,0.001,0.0061,0.0497,0.0224,0.003,,,,,Zheng
4.833,0.601,2.022,45.0,5.734,,0.0007,0.002,0.0,0.002,-0.0062,0.009,0.001,0.0091,0.0031,0.0085,0.001,0.0086,0.01,0.009,0.001,0.0091,-0.0276,0.0384,0.002,,,,,Zheng
0.57,0.16,,,,,-0.0754,0.0051,0.0065,0.0083,0.065,0.008,0.011,0.0136,,,,,,,,,,,,,,,,Kramer
0.78,0.18,,,,,-0.0684,0.0072,0.0071,0.0101,0.072,0.011,0.012,0.0163,,,,,,,,,,,,,,,,Kramer
0.94,0.19,,,,,-0.0643,0.0047,0.0055,0.0072,0.0706,0.008,0.0078,0.0112,,,,,,,,,,,,,,,,Kramer
1.13,0.19,,,,,-0.0612,0.0047,0.0059,0.0075,0.0457,0.0082,0.007,0.0108,,,,,,,,,,,,,,,,Kramer
1.34,0.2,,,,,-0.056,0.0048,0.0056,0.0074,0.0422,0.0078,0.0069,0.0104,,,,,,,,,,,,,,,,Kramer
2.038,0.277,2.4899,45.0,4.74,,-0.009,0.016,0.009,0.0184,-0.006,0.034,0.009,0.0352,-0.009,0.016,0.004,0.0165,-0.008,0.017,0.004,0.0175,-0.006,0.0345,,,,,,Flay
2.347,0.325,2.3989,45.0,4.74,,-0.009,0.008,0.002,0.0082,-0.001,0.014,0.006,0.0152,-0.01,0.009,0.001,0.0091,-0.01,0.01,0.001,0.01,-0.001,0.0173,,,,,,Flay
2.639,0.374,2.3016,45.0,4.74,,0.00.001,0.005,0.002,0.0054,-0.026,0.009,0.005,0.0103,0.001,0.007,0.001,0.0071,0.008,0.008,0.001,0.0081,-0.037,0.0126,,,,,,Flay
2.915,0.424,2.2001,45.0,4.74,,-0.014,0.004,0.003,0.005,0.001,0.006,0.002,0.0063,-0.026,0.007,0.002,0.0073,-0.027,0.008,0.003,0.0085,0.002,0.0112,,,,,,Flay
3.176,0.473,2.1021,45.0,4.74,,-0.010,0.003,0.002,0.0036,-0.002,0.004,0.001,0.0041,-0.023,0.008,0.002,0.0082,-0.022,0.009,0.002,0.0092,-0.005,0.011,,,,,,Flay
3.425,0.523,2.001,45.0,4.74,,0.00,0.003,0.0,0.003,-0.005,0.003,0.001,0.0032,0.0,0.009,0.001,0.0091,0.004,0.01,0.001,0.01,-0.015,0.0122,,,,,,Flay
3.662,0.574,1.8969,45.0,4.74,,0.00,0.003,0.001,0.0032,-0.005,0.004,0.001,0.0041,0.002,0.011,0.002,0.0112,0.008,0.012,0.002,0.0122,-0.02,0.0133,,,,,,Flay
3.886,0.623,1.7978,45.0,4.74,,0.005,0.002,0.001,0.0022,0.0,0.002,0.001,0.0022,0.031,0.013,0.002,0.0132,0.031,0.015,0.002,0.0151,0.0,0.0141,,,,,,Flay
4.099,0.673,1.6947,45.0,4.74,,0.003,0.002,0.001,0.0022,-0.002,0.002,0.001,0.0022,0.023,0.016,0.002,0.0161,0.03,0.018,0.003,0.0182,-0.017,0.0163,,,,,,Flay
4.307,0.723,1.5907,45.0,4.74,,0.002,0.0.002,0.001,,-0.003,0.002,0.001,0.0022,0.026,0.02,0.003,0.0202,0.041,0.022,0.004,0.0224,-0.036,0.0191,,,,,,Flay
4.504,0.773,1.4843,45.0,4.74,,-0.001,0.0.002,0.001,,0.002,0.001,0.001,0.0014,-0.023,0.025,0.007,0.026,-0.005,0.028,0.008,0.0291,-0.039,0.0224,,,,,,Flay
4.694,0.823,1.3747,45.0,4.74,,-0.001,0.001,0.001,0.0014,0.001,0.001,0.0,0.001,-0.032,0.032,0.006,0.0326,-0.041,0.037,0.007,0.0377,0.018,0.0275,,,,,,Flay
4.876,0.874,1.2583,45.0,4.74,,-0.001,0.001,0.001,0.0014,-0.002,0.001,0.001,0.0014,-0.035,0.041,0.009,0.042,0.004,0.048,0.01,0.049,-0.071,0.0334,,,,,,Flay
2.626,0.277,2.7811,45.0,5.89,,0.026,0.029,0.012,0.0314,0.046,0.047,0.019,0.0507,0.024,0.028,0.006,0.0286,0.02,0.029,0.006,0.0296,0.044,0.0447,,,,,,Flay
3.032,0.325,2.6791,45.0,5.89,,-0.013,0.010,0.003,0.0104,0.022,0.015,0.006,0.0162,-0.016,0.012,0.002,0.0122,-0.019,0.013,0.002,0.0132,0.026,0.0173,,,,,,Flay
3.421,0.374,2.5703,45.0,5.89,,-0.004,0.006,0.002,0.0063,0.0,0.008,0.002,0.0082,-0.006,0.009,0.001,0.0091,-0.006,0.01,0.001,0.01,-0.001,0.012,,,,,,Flay
